Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.431637E-6,9.743682E-6,9.743682E-6,1.0,0.0,4.0420677E-5,4.1758045E-5,4.1758045E-5,1.0,0.0,4.920106E-4,5.082987E-4,5.082987E-4,1.0,0.0,0.004909227,0.0050726538,0.005112451,1.0078454,4.0E-5
6.1,9.431637E-6,9.743682E-6,9.743682E-6,1.0,0.0,4.0420677E-5,4.1758045E-5,4.1758045E-5,1.0,0.0,4.920106E-4,5.082987E-4,5.082987E-4,1.0,0.0,0.004909227,0.0050726538,0.005112451,1.0078454,4.0E-5
6.2,9.431637E-6,9.743682E-6,9.743682E-6,1.0,0.0,4.0420677E-5,4.1758045E-5,4.1758045E-5,1.0,0.0,4.920106E-4,5.082987E-4,5.082987E-4,1.0,0.0,0.004909227,0.0050726538,0.005112451,1.0078454,4.0E-5
6.3,9.431637E-6,9.743682E-6,9.743682E-6,1.0,0.0,4.0420677E-5,4.1758045E-5,4.1758045E-5,1.0,0.0,4.920106E-4,5.082987E-4,5.082987E-4,1.0,0.0,0.004909227,0.0050726538,0.005112451,1.0078454,4.0E-5
6.4,5.144063E-6,5.301096E-6,5.301096E-6,1.0,0.0,2.2045799E-5,2.2718803E-5,2.2718803E-5,1.0,0.0,2.6837454E-4,2.7656977E-4,2.7656977E-4,1.0,0.0,0.0026805066,0.0027625964,0.0027725687,1.0036098,1.0E-5
6.5,5.144063E-6,5.301096E-6,5.301096E-6,1.0,0.0,2.2045799E-5,2.2718803E-5,2.2718803E-5,1.0,0.0,2.6837454E-4,2.7656977E-4,2.7656977E-4,1.0,0.0,0.0026805066,0.0027625964,0.0027725687,1.0036098,1.0E-5
6.6,3.4009804E-6,3.4994243E-6,3.4994243E-6,1.0,0.0,1.4575549E-5,1.4997456E-5,1.4997456E-5,1.0,0.0,1.7744285E-4,1.8258033E-4,1.8258033E-4,1.0,0.0,0.0017730123,0.001824461,0.0018344428,1.0054711,1.0E-5
6.7,3.3880428E-6,3.4862896E-6,3.4862896E-6,1.0,0.0,1.4520103E-5,1.4941165E-5,1.4941165E-5,1.0,0.0,1.767679E-4,1.818951E-4,1.818951E-4,1.0,0.0,0.0017662736,0.00181762,0.0018276018,1.0054917,1.0E-5
6.8,2.6582E-6,2.7341928E-6,2.7341928E-6,1.0,0.0,1.1392236E-5,1.1717923E-5,1.1717923E-5,1.0,0.0,1.3869164E-4,1.4265772E-4,1.4265772E-4,1.0,0.0,0.0013860512,0.0014257936,0.0014357794,1.0070037,1.0E-5
6.9,2.406011E-6,2.4747744E-6,2.4747744E-6,1.0,0.0,1.0311434E-5,1.0606141E-5,1.0606141E-5,1.0,0.0,1.2553448E-4,1.2912344E-4,1.2912344E-4,1.0,0.0,0.0012546359,0.0012906137,0.0013006008,1.0077382,1.0E-5
7.0,1.6953097E-6,1.7432478E-6,1.7432478E-6,1.0,0.0,7.265593E-6,7.4710465E-6,7.4710465E-6,1.0,0.0,8.8455E-5,9.095724E-5,9.095724E-5,1.0,0.0,8.84198E-4,9.0930297E-4,9.1929385E-4,1.0109874,1.0E-5
7.1,3.5013824E-7,3.5719356E-7,3.5719356E-7,1.0,0.0,1.5005916E-6,1.5308286E-6,1.5308286E-6,1.0,0.0,1.826955E-5,1.8637682E-5,1.8637682E-5,1.0,0.0,1.8268047E-4,1.8636145E-4,1.8636145E-4,1.0,0.0
7.2,2.2321095E-7,2.2753348E-7,2.2753348E-7,1.0,0.0,9.56618E-7,9.751432E-7,9.751432E-7,1.0,0.0,1.1646762E-5,1.1872304E-5,1.1872304E-5,1.0,0.0,1.1646151E-4,1.187168E-4,1.187168E-4,1.0,0.0
7.3,1.5760406E-7,1.6062863E-7,1.6062863E-7,1.0,0.0,6.7544585E-7,6.8840825E-7,6.8840825E-7,1.0,0.0,8.223522E-6,8.381339E-6,8.381339E-6,1.0,0.0,8.2232174E-5,8.381029E-5,8.381029E-5,1.0,0.0
7.4,1.1216497E-7,1.14330966E-7,1.14330966E-7,1.0,0.0,4.8070694E-7,4.8998976E-7,4.8998976E-7,1.0,0.0,5.852591E-6,5.9656095E-6,5.9656095E-6,1.0,0.0,5.8524372E-5,5.9654536E-5,5.9654536E-5,1.0,0.0
7.5,4.885185E-8,4.9793783E-8,4.9793783E-8,1.0,0.0,2.0936506E-7,2.1340192E-7,2.1340192E-7,1.0,0.0,2.5490165E-6,2.5981653E-6,2.5981653E-6,1.0,0.0,2.5489873E-5,2.5981368E-5,2.5981368E-5,1.0,0.0
7.6,1.504641E-9,1.5319654E-9,1.5319654E-9,1.0,0.0,6.4484613E-9,6.5655663E-9,6.5655663E-9,1.0,0.0,7.851001E-8,7.9935774E-8,7.9935774E-8,1.0,0.0,7.8509987E-7,7.993577E-7,7.993577E-7,1.0,0.0
