Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.4194956E-5,4.7931262E-5,4.7931262E-5,1.0,0.0,1.893932E-4,2.0540445E-4,2.0540445E-4,1.0,0.0,0.0023034236,0.002498095,0.0025080699,1.003993,1.0E-5,0.022796938,0.024717702,0.024776218,1.0023674,6.0E-5
6.1,4.4194956E-5,4.7931262E-5,4.7931262E-5,1.0,0.0,1.893932E-4,2.0540445E-4,2.0540445E-4,1.0,0.0,0.0023034236,0.002498095,0.0025080699,1.003993,1.0E-5,0.022796938,0.024717702,0.024776218,1.0023674,6.0E-5
6.2,4.4194956E-5,4.7931262E-5,4.7931262E-5,1.0,0.0,1.893932E-4,2.0540445E-4,2.0540445E-4,1.0,0.0,0.0023034236,0.002498095,0.0025080699,1.003993,1.0E-5,0.022796938,0.024717702,0.024776218,1.0023674,6.0E-5
6.3,4.4194956E-5,4.7931262E-5,4.7931262E-5,1.0,0.0,1.893932E-4,2.0540445E-4,2.0540445E-4,1.0,0.0,0.0023034236,0.002498095,0.0025080699,1.003993,1.0E-5,0.022796938,0.024717702,0.024776218,1.0023674,6.0E-5
6.4,3.729929E-5,3.9670558E-5,3.9670558E-5,1.0,0.0,1.5984432E-4,1.7000614E-4,1.7000614E-4,1.0,0.0,0.0019443673,0.002067953,0.0020779325,1.0048257,1.0E-5,0.019274427,0.020497149,0.02053633,1.0019115,4.0E-5
6.5,3.729929E-5,3.9670558E-5,3.9670558E-5,1.0,0.0,1.5984432E-4,1.7000614E-4,1.7000614E-4,1.0,0.0,0.0019443673,0.002067953,0.0020779325,1.0048257,1.0E-5,0.019274427,0.020497149,0.02053633,1.0019115,4.0E-5
6.6,3.0204548E-5,3.1262876E-5,3.1262876E-5,1.0,0.0,1.2944164E-4,1.3397708E-4,1.3397708E-4,1.0,0.0,0.0015748127,0.0016299852,0.001639969,1.006125,1.0E-5,0.015636992,0.016184177,0.016203854,1.0012158,2.0E-5
6.7,2.9857754E-5,3.087195E-5,3.087195E-5,1.0,0.0,1.2795553E-4,1.3230184E-4,1.3230184E-4,1.0,0.0,0.0015567453,0.0016096195,0.0016196034,1.0062027,1.0E-5,0.015458848,0.015983462,0.016003143,1.0012313,2.0E-5
6.8,2.4819734E-5,2.5060994E-5,2.5060994E-5,1.0,0.0,1.0636595E-4,1.0739996E-4,1.0739996E-4,1.0,0.0,0.0012942362,0.0013068318,0.0013068318,1.0,0.0,0.012867244,0.012993844,0.012993844,1.0,0.0
6.9,2.331124E-5,2.338812E-5,2.338812E-5,1.0,0.0,9.990149E-5,1.0023107E-4,1.0023107E-4,1.0,0.0,0.001215622,0.0012196505,0.0012196505,1.0,0.0,0.012089936,0.012131766,0.012131766,1.0,0.0
7.0,2.1818534E-5,2.1810289E-5,2.1810289E-5,1.0,0.0,9.3504656E-5,9.3469425E-5,9.3469425E-5,1.0,0.0,0.0011378246,0.0011374161,0.0011374161,1.0,0.0,0.011320163,0.011318054,0.011318054,1.0,0.0
7.1,2.066081E-5,2.0589017E-5,2.0589017E-5,1.0,0.0,8.854332E-5,8.823577E-5,8.823577E-5,1.0,0.0,0.0010774818,0.0010737607,0.0010737607,1.0,0.0,0.010722724,0.010687782,0.010687782,1.0,0.0
7.2,1.8990233E-5,1.9101382E-5,1.9101382E-5,1.0,0.0,8.138417E-5,8.1860606E-5,8.1860606E-5,1.0,0.0,9.904018E-4,9.962165E-4,9.962165E-4,1.0,0.0,0.009859995,0.009919512,0.009919512,1.0,0.0
7.3,1.3335872E-5,1.4950359E-5,1.4950359E-5,1.0,0.0,5.7152483E-5,6.407147E-5,6.407147E-5,1.0,0.0,6.956093E-4,7.798037E-4,7.798037E-4,1.0,0.0,0.006934359,0.0077719777,0.0077719777,1.0,0.0
7.4,9.414066E-6,1.1902035E-5,1.1902035E-5,1.0,0.0,4.0345374E-5,5.1007777E-5,5.1007777E-5,1.0,0.0,4.910942E-4,6.208522E-4,6.208522E-4,1.0,0.0,0.0049001034,0.006192129,0.006192129,1.0,0.0
7.5,7.2101157E-6,9.1983065E-6,9.1983065E-6,1.0,0.0,3.090013E-5,3.942076E-5,3.942076E-5,1.0,0.0,3.7614413E-4,4.798499E-4,4.798499E-4,1.0,0.0,0.0037550807,0.0047889166,0.0047889166,1.0,0.0
7.6,3.296375E-6,4.5839815E-6,4.5839815E-6,1.0,0.0,1.4127245E-5,1.9645495E-5,1.9645495E-5,1.0,0.0,1.7198564E-4,2.3915905E-4,2.3915905E-4,1.0,0.0,0.0017185259,0.002389157,0.002389157,1.0,0.0
7.7,2.5741092E-6,3.620492E-6,3.620492E-6,1.0,0.0,1.103185E-5,1.5516309E-5,1.5516309E-5,1.0,0.0,1.3430449E-4,1.8889603E-4,1.8889603E-4,1.0,0.0,0.0013422335,0.0018874872,0.0018874872,1.0,0.0
