Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0240792E-5,2.4110137E-5,2.4110137E-5,1.0,0.0,1.2959696E-4,1.03325634E-4,1.03325634E-4,1.0,0.0,0.0015767008,0.0012573645,0.0012573645,1.0,0.0,0.015655609,0.012512545,0.01252242,1.0007892,1.0E-5
6.1,3.0240792E-5,2.4110137E-5,2.4110137E-5,1.0,0.0,1.2959696E-4,1.03325634E-4,1.03325634E-4,1.0,0.0,0.0015767008,0.0012573645,0.0012573645,1.0,0.0,0.015655609,0.012512545,0.01252242,1.0007892,1.0E-5
6.2,3.0240792E-5,2.4110137E-5,2.4110137E-5,1.0,0.0,1.2959696E-4,1.03325634E-4,1.03325634E-4,1.0,0.0,0.0015767008,0.0012573645,0.0012573645,1.0,0.0,0.015655609,0.012512545,0.01252242,1.0007892,1.0E-5
6.3,2.0498217E-5,1.3647578E-5,1.3647578E-5,1.0,0.0,8.784654E-5,5.84884E-5,5.84884E-5,1.0,0.0,0.0010690069,7.1187987E-4,7.1187987E-4,1.0,0.0,0.01063879,0.0070976233,0.0070976233,1.0,0.0
6.4,2.0498217E-5,1.3647578E-5,1.3647578E-5,1.0,0.0,8.784654E-5,5.84884E-5,5.84884E-5,1.0,0.0,0.0010690069,7.1187987E-4,7.1187987E-4,1.0,0.0,0.01063879,0.0070976233,0.0070976233,1.0,0.0
6.5,1.7316182E-5,1.04841E-5,1.04841E-5,1.0,0.0,7.42101E-5,4.493114E-5,4.493114E-5,1.0,0.0,9.0313336E-4,5.4690934E-4,5.4690934E-4,1.0,0.0,0.008994718,0.0054566306,0.0054566306,1.0,0.0
6.6,1.5251077E-5,8.419841E-6,8.419841E-6,1.0,0.0,6.536012E-5,3.6084577E-5,3.6084577E-5,1.0,0.0,7.9546886E-4,4.392484E-4,4.392484E-4,1.0,0.0,0.007926274,0.00438452,0.00438452,1.0,0.0
6.7,1.2997425E-5,6.415708E-6,6.415708E-6,1.0,0.0,5.570206E-5,2.7495627E-5,2.7495627E-5,1.0,0.0,6.7796157E-4,3.347125E-4,3.347125E-4,1.0,0.0,0.0067589693,0.0033425442,0.0033425442,1.0,0.0
6.8,1.035386E-5,4.336644E-6,4.336644E-6,1.0,0.0,4.437293E-5,1.858549E-5,1.858549E-5,1.0,0.0,5.401065E-4,2.2625572E-4,2.2625572E-4,1.0,0.0,0.0053879567,0.0022603406,0.0022603406,1.0,0.0
6.9,8.816252E-6,3.58364E-6,3.58364E-6,1.0,0.0,3.778339E-5,1.535837E-5,1.535837E-5,1.0,0.0,4.5991567E-4,1.869727E-4,1.869727E-4,1.0,0.0,0.00458965,0.0018682124,0.0018682124,1.0,0.0
7.0,6.8232207E-6,2.5701238E-6,2.5701238E-6,1.0,0.0,2.9242048E-5,1.1014771E-5,1.1014771E-5,1.0,0.0,3.5596377E-4,1.340969E-4,1.340969E-4,1.0,0.0,0.0035539411,0.001340191,0.001340191,1.0,0.0
7.1,5.837013E-6,2.229504E-6,2.229504E-6,1.0,0.0,2.501553E-5,9.554984E-6,9.554984E-6,1.0,0.0,3.045215E-4,1.1632601E-4,1.1632601E-4,1.0,0.0,0.0030410455,0.0011626803,0.0011626803,1.0,0.0
7.2,4.278052E-6,1.6292055E-6,1.6292055E-6,1.0,0.0,1.833438E-5,6.982292E-6,6.982292E-6,1.0,0.0,2.231982E-4,8.500632E-5,8.500632E-5,1.0,0.0,0.0022297418,8.497613E-4,8.497613E-4,1.0,0.0
7.3,1.8803692E-6,8.3546604E-7,8.3546604E-7,1.0,0.0,8.0587E-6,3.5805647E-6,3.5805647E-6,1.0,0.0,9.811026E-5,4.3592652E-5,4.3592652E-5,1.0,0.0,9.806695E-4,4.358555E-4,4.358555E-4,1.0,0.0
