Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.390182E-5,1.3206927E-4,1.3206927E-4,1.0,0.0,3.1668364E-4,5.658885E-4,5.658885E-4,1.0,0.0,0.0038488081,0.006867881,0.006867881,1.0,0.0,0.037828278,0.06650675,0.06651609,1.0001403,1.0E-5
6.1,7.318768E-5,1.3104713E-4,1.3104713E-4,1.0,0.0,3.1362378E-4,5.615097E-4,5.615097E-4,1.0,0.0,0.0038116854,0.006814921,0.006814921,1.0,0.0,0.037469655,0.06601042,0.066019766,1.0001415,1.0E-5
6.2,7.1379836E-5,1.2797023E-4,1.2797023E-4,1.0,0.0,3.058777E-4,5.4832856E-4,5.4832856E-4,1.0,0.0,0.003717703,0.00665543,0.00665543,1.0,0.0,0.0365612,0.06453061,0.06453997,1.000145,1.0E-5
6.3,6.9255926E-5,1.2450645E-4,1.2450645E-4,1.0,0.0,2.9677735E-4,5.334902E-4,5.334902E-4,1.0,0.0,0.0036072785,0.0064759464,0.0064759464,1.0,0.0,0.035492823,0.06285924,0.06286861,1.0001491,1.0E-5
6.4,6.6757144E-5,1.2026594E-4,1.2026594E-4,1.0,0.0,2.8607066E-4,5.1532395E-4,5.1532395E-4,1.0,0.0,0.0034773487,0.0062560933,0.0062560933,1.0,0.0,0.034234364,0.06080627,0.060815662,1.0001545,1.0E-5
6.5,6.5735134E-5,1.1875417E-4,1.1875417E-4,1.0,0.0,2.8169158E-4,5.088476E-4,5.088476E-4,1.0,0.0,0.003424202,0.0061777057,0.0061777057,1.0,0.0,0.03371918,0.060069732,0.06007913,1.0001565,1.0E-5
6.6,6.289601E-5,1.1410185E-4,1.1410185E-4,1.0,0.0,2.6952647E-4,4.8891664E-4,4.8891664E-4,1.0,0.0,0.0032765474,0.005936395,0.005936395,1.0,0.0,0.032286562,0.057805277,0.0578147,1.000163,1.0E-5
6.7,6.115274E-5,1.11268164E-4,1.11268164E-4,1.0,0.0,2.6205686E-4,4.7677677E-4,4.7677677E-4,1.0,0.0,0.0031858748,0.0057893875,0.0057893875,1.0,0.0,0.031405866,0.05642232,0.056431755,1.0001673,1.0E-5
6.8,5.9232367E-5,1.0793501E-4,1.0793501E-4,1.0,0.0,2.538283E-4,4.6249697E-4,4.6249697E-4,1.0,0.0,0.0030859804,0.00561644,0.00561644,1.0,0.0,0.030434765,0.054786358,0.05479581,1.0001725,1.0E-5
6.9,5.4030377E-5,9.884019E-5,9.884019E-5,1.0,0.0,2.315382E-4,4.235324E-4,4.235324E-4,1.0,0.0,0.0028153337,0.005144382,0.005144382,1.0,0.0,0.027799325,0.05030494,0.05031444,1.0001888,1.0E-5
7.0,4.8260714E-5,8.798354E-5,8.798354E-5,1.0,0.0,2.0681522E-4,3.7701812E-4,3.7701812E-4,1.0,0.0,0.0025150678,0.0045805895,0.0045805895,1.0,0.0,0.024867928,0.04494214,0.044951692,1.0002126,1.0E-5
7.1,4.0294493E-5,7.441502E-5,7.441502E-5,1.0,0.0,1.7267925E-4,3.1888272E-4,3.1888272E-4,1.0,0.0,0.0021003427,0.0038755245,0.0038755245,1.0,0.0,0.02080602,0.038174227,0.038183846,1.000252,1.0E-5
