Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.877682E-5,1.982243E-4,1.982243E-4,1.0,0.0,4.2326056E-4,8.492563E-4,8.492563E-4,1.0,0.0,0.0051410277,0.010290811,0.010290811,1.0,0.0,0.05023708,0.100159176,0.10144467,1.0128344,0.0014285714
6.1,9.877682E-5,1.982243E-4,1.982243E-4,1.0,0.0,4.2326056E-4,8.492563E-4,8.492563E-4,1.0,0.0,0.0051410277,0.010290811,0.010290811,1.0,0.0,0.05023708,0.100159176,0.10144467,1.0128344,0.0014285714
6.2,9.877682E-5,1.982243E-4,1.982243E-4,1.0,0.0,4.2326056E-4,8.492563E-4,8.492563E-4,1.0,0.0,0.0051410277,0.010290811,0.010290811,1.0,0.0,0.05023708,0.100159176,0.10144467,1.0128344,0.0014285714
6.3,9.877682E-5,1.982243E-4,1.982243E-4,1.0,0.0,4.2326056E-4,8.492563E-4,8.492563E-4,1.0,0.0,0.0051410277,0.010290811,0.010290811,1.0,0.0,0.05023708,0.100159176,0.10144467,1.0128344,0.0014285714
6.4,9.877682E-5,1.982243E-4,1.982243E-4,1.0,0.0,4.2326056E-4,8.492563E-4,8.492563E-4,1.0,0.0,0.0051410277,0.010290811,0.010290811,1.0,0.0,0.05023708,0.100159176,0.10144467,1.0128344,0.0014285714
6.5,9.861474E-5,1.979607E-4,1.979607E-4,1.0,0.0,4.2256617E-4,8.4812735E-4,8.4812735E-4,1.0,0.0,0.0051326132,0.010277196,0.010277196,1.0,0.0,0.050156746,0.10003677,0.101322435,1.0128518,0.0014285714
6.6,9.861474E-5,1.979607E-4,1.979607E-4,1.0,0.0,4.2256617E-4,8.4812735E-4,8.4812735E-4,1.0,0.0,0.0051326132,0.010277196,0.010277196,1.0,0.0,0.050156746,0.10003677,0.101322435,1.0128518,0.0014285714
6.7,9.8552715E-5,1.9785976E-4,1.9785976E-4,1.0,0.0,4.223004E-4,8.47695E-4,8.47695E-4,1.0,0.0,0.0051293927,0.010271981,0.010271981,1.0,0.0,0.050125998,0.099989876,0.10127561,1.0128586,0.0014285714
6.8,9.8464974E-5,1.9771012E-4,1.9771012E-4,1.0,0.0,4.219245E-4,8.470542E-4,8.470542E-4,1.0,0.0,0.0051248376,0.010264253,0.010264253,1.0,0.0,0.05008251,0.099919714,0.10120554,1.0128686,0.0014285714
6.9,9.825824E-5,1.9738793E-4,1.9738793E-4,1.0,0.0,4.2103877E-4,8.456742E-4,8.456742E-4,1.0,0.0,0.0051141046,0.01024761,0.01024761,1.0,0.0,0.049980022,0.09976834,0.101054385,1.0128903,0.0014285714
