Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.7930133E-4,6.7930133E-4,1.0,0.0,0.0013306376,0.0029081719,0.0029081719,1.0,0.0,0.016080605,0.03495954,0.03495954,1.0,0.0,0.1496549,0.28809732,0.2891143,1.00353,0.0014285714
6.1,3.1064058E-4,6.7930133E-4,6.7930133E-4,1.0,0.0,0.0013306376,0.0029081719,0.0029081719,1.0,0.0,0.016080605,0.03495954,0.03495954,1.0,0.0,0.1496549,0.28809732,0.2891143,1.00353,0.0014285714
6.2,3.1064058E-4,6.7930133E-4,6.7930133E-4,1.0,0.0,0.0013306376,0.0029081719,0.0029081719,1.0,0.0,0.016080605,0.03495954,0.03495954,1.0,0.0,0.1496549,0.28809732,0.2891143,1.00353,0.0014285714
6.3,3.1064058E-4,6.7930133E-4,6.7930133E-4,1.0,0.0,0.0013306376,0.0029081719,0.0029081719,1.0,0.0,0.016080605,0.03495954,0.03495954,1.0,0.0,0.1496549,0.28809732,0.2891143,1.00353,0.0014285714
6.4,1.9872203E-4,4.3626045E-4,4.3626045E-4,1.0,0.0,8.5138786E-4,0.0018683762,0.0018683762,1.0,0.0,0.010316478,0.022516405,0.022516405,1.0,0.0,0.098504856,0.1987191,0.19986379,1.0057603,0.0014285714
6.5,1.291105E-4,2.9176622E-4,2.9176622E-4,1.0,0.0,5.5321335E-4,0.0012498302,0.0012498302,1.0,0.0,0.006714592,0.015111359,0.015111359,1.0,0.0,0.065152965,0.13981766,0.14063688,1.0058593,9.5238094E-4
6.6,1.291105E-4,2.9176622E-4,2.9176622E-4,1.0,0.0,5.5321335E-4,0.0012498302,0.0012498302,1.0,0.0,0.006714592,0.015111359,0.015111359,1.0,0.0,0.065152965,0.13981766,0.14063688,1.0058593,9.5238094E-4
6.7,1.08001186E-4,2.4751498E-4,2.4751498E-4,1.0,0.0,4.6278012E-4,0.0010603479,0.0010603479,1.0,0.0,0.0056198016,0.012833631,0.012833631,1.0,0.0,0.054797906,0.12096708,0.12180426,1.0069207,9.5238094E-4
6.8,1.0624356E-4,2.4267983E-4,2.4267983E-4,1.0,0.0,4.5525006E-4,0.0010396424,0.0010396424,1.0,0.0,0.0055285925,0.012584471,0.012584471,1.0,0.0,0.053930566,0.11891585,0.11975498,1.0070565,9.5238094E-4
6.9,1.0393785E-4,2.3636775E-4,2.3636775E-4,1.0,0.0,4.4537184E-4,0.0010126118,0.0010126118,1.0,0.0,0.0054089287,0.012259118,0.012259118,1.0,0.0,0.05279156,0.1162116,0.1170533,1.0072428,9.5238094E-4
7.0,1.0155622E-4,2.3004526E-4,2.3004526E-4,1.0,0.0,4.3516833E-4,9.855361E-4,9.855361E-4,1.0,0.0,0.005285311,0.011933125,0.011933125,1.0,0.0,0.05161361,0.11346437,0.11430869,1.0074413,9.5238094E-4
7.1,9.885595E-5,2.2290873E-4,2.2290873E-4,1.0,0.0,4.2359953E-4,9.549737E-4,9.549737E-4,1.0,0.0,0.0051451353,0.011565031,0.011565031,1.0,0.0,0.05027629,0.11034351,0.111190796,1.0076786,9.5238094E-4
7.2,9.6411415E-5,2.1651939E-4,2.1651939E-4,1.0,0.0,4.1312634E-4,9.276105E-4,9.276105E-4,1.0,0.0,0.005018219,0.0112353675,0.0112353675,1.0,0.0,0.049064007,0.1075345,0.10838447,1.0079042,9.5238094E-4
7.3,9.1180635E-5,1.9869446E-4,1.9869446E-4,1.0,0.0,3.907156E-4,8.5126987E-4,8.5126987E-4,1.0,0.0,0.004746591,0.010315078,0.010315078,1.0,0.0,0.046464786,0.0996885,0.10054594,1.0086012,9.5238094E-4
7.4,8.887388E-5,1.9113533E-4,1.9113533E-4,1.0,0.0,3.8083247E-4,8.188943E-4,8.188943E-4,1.0,0.0,0.0046267817,0.009924565,0.009924565,1.0,0.0,0.045316286,0.09630895,0.09716961,1.0089364,9.5238094E-4
7.5,8.6750515E-5,1.8440884E-4,1.8440884E-4,1.0,0.0,3.7173493E-4,7.900843E-4,7.900843E-4,1.0,0.0,0.004516484,0.009576941,0.009576941,1.0,0.0,0.04425787,0.09326121,0.09412477,1.0092596,9.5238094E-4
7.6,8.453092E-5,1.7823435E-4,1.7823435E-4,1.0,0.0,3.6222505E-4,7.636379E-4,7.636379E-4,1.0,0.0,0.0044011753,0.0092577385,0.0092577385,1.0,0.0,0.04315024,0.090408996,0.091275275,1.0095818,9.5238094E-4
7.7,8.259102E-5,1.7341365E-4,1.7341365E-4,1.0,0.0,3.539135E-4,7.429897E-4,7.429897E-4,1.0,0.0,0.004300386,0.009008454,0.009008454,1.0,0.0,0.042181134,0.08814498,0.08901341,1.0098523,9.5238094E-4
7.8,7.444844E-5,1.5630001E-4,1.5630001E-4,1.0,0.0,3.1902574E-4,6.6968525E-4,6.6968525E-4,1.0,0.0,0.0038772223,0.00812299,0.00812299,1.0,0.0,0.03810269,0.07984235,0.080718696,1.0109758,9.5238094E-4
7.9,5.2586525E-5,1.0243819E-4,1.0243819E-4,1.0,0.0,2.2535135E-4,4.3894697E-4,4.3894697E-4,1.0,0.0,0.0027402006,0.005331096,0.005331096,1.0,0.0,0.027066574,0.05330797,0.053758774,1.0084566,4.7619047E-4
8.0,3.379877E-5,5.545441E-5,5.545441E-5,1.0,0.0,1.4484383E-4,2.3764011E-4,2.3764011E-4,1.0,0.0,0.0017620471,0.0028894318,0.0028894318,1.0,0.0,0.017481409,0.029510684,0.029510684,1.0,0.0
8.1,1.8668277E-5,1.9967014E-5,1.9967014E-5,1.0,0.0,8.000444E-5,8.5570115E-5,8.5570115E-5,1.0,0.0,9.736188E-4,0.0010413189,0.0010413189,1.0,0.0,0.009693642,0.011142582,0.011142582,1.0,0.0
8.2,8.541571E-6,5.710346E-6,5.710346E-6,1.0,0.0,3.660622E-5,2.4472683E-5,2.4472683E-5,1.0,0.0,4.455896E-4,2.9791426E-4,2.9791426E-4,1.0,0.0,0.0044469717,0.0033772404,0.0033772404,1.0,0.0
8.3,1.983087E-6,8.0775357E-7,8.0775357E-7,1.0,0.0,8.498917E-6,3.4617965E-6,3.4617965E-6,1.0,0.0,1.034694E-4,4.2146577E-5,4.2146577E-5,1.0,0.0,0.0010342124,4.9591257E-4,4.9591257E-4,1.0,0.0
