Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.6200685E-5,2.6332096E-5,2.6332096E-5,1.0,0.0,3.6937918E-4,1.12846974E-4,1.12846974E-4,1.0,0.0,0.0044879215,0.0013730477,0.001383034,1.0072731,1.0E-5,0.043983612,0.015386331,0.015396177,1.0006399,1.0E-5
6.1,8.6200685E-5,2.6332096E-5,2.6332096E-5,1.0,0.0,3.6937918E-4,1.12846974E-4,1.12846974E-4,1.0,0.0,0.0044879215,0.0013730477,0.001383034,1.0072731,1.0E-5,0.043983612,0.015386331,0.015396177,1.0006399,1.0E-5
6.2,8.6200685E-5,2.6332096E-5,2.6332096E-5,1.0,0.0,3.6937918E-4,1.12846974E-4,1.12846974E-4,1.0,0.0,0.0044879215,0.0013730477,0.001383034,1.0072731,1.0E-5,0.043983612,0.015386331,0.015396177,1.0006399,1.0E-5
6.3,8.551163E-5,2.6016049E-5,2.6016049E-5,1.0,0.0,3.6642692E-4,1.1149259E-4,1.1149259E-4,1.0,0.0,0.004452125,0.0013565789,0.0013665652,1.0073615,1.0E-5,0.043639794,0.015209466,0.015219314,1.0006475,1.0E-5
6.4,8.551163E-5,2.6016049E-5,2.6016049E-5,1.0,0.0,3.6642692E-4,1.1149259E-4,1.1149259E-4,1.0,0.0,0.004452125,0.0013565789,0.0013665652,1.0073615,1.0E-5,0.043639794,0.015209466,0.015219314,1.0006475,1.0E-5
6.5,8.511146E-5,2.5832931E-5,2.5832931E-5,1.0,0.0,3.647124E-4,1.1070787E-4,1.1070787E-4,1.0,0.0,0.004431336,0.0013470367,0.0013570231,1.0074137,1.0E-5,0.04344007,0.015107164,0.015117013,1.000652,1.0E-5
6.6,8.4985084E-5,2.5762276E-5,2.5762276E-5,1.0,0.0,3.6417096E-4,1.1040509E-4,1.1040509E-4,1.0,0.0,0.0044247704,0.0013433549,0.0013533415,1.007434,1.0E-5,0.043376986,0.0150684705,0.01507832,1.0006536,1.0E-5
6.7,8.462618E-5,2.5586914E-5,2.5586914E-5,1.0,0.0,3.6263323E-4,1.0965361E-4,1.0965361E-4,1.0,0.0,0.004406125,0.0013342168,0.0013442035,1.007485,1.0E-5,0.043197807,0.014971037,0.014980888,1.0006579,1.0E-5
6.8,8.42337E-5,2.547959E-5,2.547959E-5,1.0,0.0,3.6095164E-4,1.0919369E-4,1.0919369E-4,1.0,0.0,0.004385734,0.0013286241,0.0013386108,1.0075166,1.0E-5,0.043001823,0.014910164,0.014920015,1.0006607,1.0E-5
6.9,8.365989E-5,2.5279473E-5,2.5279473E-5,1.0,0.0,3.5849313E-4,1.08336106E-4,1.08336106E-4,1.0,0.0,0.004355922,0.0013181957,0.0013281825,1.0075761,1.0E-5,0.04271523,0.014800054,0.0148099065,1.0006657,1.0E-5
7.0,8.30936E-5,2.5036616E-5,2.5036616E-5,1.0,0.0,3.560668E-4,1.07295375E-4,1.07295375E-4,1.0,0.0,0.004326499,0.0013055401,0.0013155271,1.0076497,1.0E-5,0.042432297,0.014668808,0.014678662,1.0006717,1.0E-5
7.1,8.041264E-5,2.4713529E-5,2.4713529E-5,1.0,0.0,3.4458007E-4,1.0591083E-4,1.0591083E-4,1.0,0.0,0.0041871946,0.0012887034,0.0012986906,1.0077498,1.0E-5,0.041091725,0.014486081,0.014495936,1.0006803,1.0E-5
7.2,7.8427016E-5,2.4125187E-5,2.4125187E-5,1.0,0.0,3.3607247E-4,1.0338957E-4,1.0338957E-4,1.0,0.0,0.004084008,0.0012580429,0.0012680303,1.0079389,1.0E-5,0.040097635,0.014163305,0.014173163,1.0006961,1.0E-5
7.3,7.721087E-5,2.3905744E-5,2.3905744E-5,1.0,0.0,3.3086175E-4,1.0244917E-4,1.0244917E-4,1.0,0.0,0.004020803,0.0012466067,0.0012565942,1.0080118,1.0E-5,0.03948827,0.014044627,0.0140544865,1.000702,1.0E-5
7.4,7.3536525E-5,2.1958123E-5,2.1958123E-5,1.0,0.0,3.1511846E-4,9.4102856E-5,9.4102856E-5,1.0,0.0,0.0038298194,0.0011451015,0.00115509,1.0087229,1.0E-5,0.037644852,0.012969838,0.012979709,1.000761,1.0E-5
7.5,6.806207E-5,1.9675905E-5,1.9675905E-5,1.0,0.0,2.9166197E-4,8.4322586E-5,8.4322586E-5,1.0,0.0,0.0035452035,0.0010261451,0.0010361348,1.0097352,1.0E-5,0.034891766,0.011677509,0.011687392,1.0008464,1.0E-5
7.6,5.6731416E-5,1.4874105E-5,1.4874105E-5,1.0,0.0,2.43112E-4,6.374461E-5,6.374461E-5,1.0,0.0,0.0029558712,7.758144E-4,7.858066E-4,1.0128797,1.0E-5,0.02916862,0.0088784825,0.008888394,1.0011163,1.0E-5
7.7,4.946994E-5,1.3890131E-5,1.3890131E-5,1.0,0.0,2.1199681E-4,5.9527774E-5,5.9527774E-5,1.0,0.0,0.002578006,7.245098E-4,7.3450257E-4,1.0137924,1.0E-5,0.02548303,0.008270163,0.008280081,1.0011991,1.0E-5
7.8,3.9718198E-5,1.3601313E-5,1.3601313E-5,1.0,0.0,1.7020974E-4,5.829004E-5,5.829004E-5,1.0,0.0,0.0020703338,7.0945034E-4,7.1944325E-4,1.0140854,1.0E-5,0.020511515,0.008063734,0.008073652,1.0012301,1.0E-5
7.9,2.4115114E-5,1.2734049E-5,1.2734049E-5,1.0,0.0,1.0334639E-4,5.4573353E-5,5.4573353E-5,1.0,0.0,0.001257516,6.6422817E-4,6.7422155E-4,1.015045,1.0E-5,0.012504238,0.0074577127,0.007467638,1.0013309,1.0E-5
8.0,1.7756569E-5,1.1904279E-5,1.1904279E-5,1.0,0.0,7.6097356E-5,5.101734E-5,5.101734E-5,1.0,0.0,9.260915E-4,6.2095927E-4,6.3095306E-4,1.0160941,1.0E-5,0.009222416,0.0069254814,0.006935412,1.001434,1.0E-5
8.1,1.3159258E-5,1.0164196E-5,1.0164196E-5,1.0,0.0,5.6395602E-5,4.3560114E-5,4.3560114E-5,1.0,0.0,6.864001E-4,5.302155E-4,5.4021017E-4,1.0188502,1.0E-5,0.0068428386,0.005914624,0.005924565,1.0016807,1.0E-5
8.2,8.635426E-6,5.7173233E-6,5.7173233E-6,1.0,0.0,3.700844E-5,2.4502584E-5,2.4502584E-5,1.0,0.0,4.5048463E-4,2.9827823E-4,2.9827823E-4,1.0,0.0,0.004495725,0.003381454,0.003381454,1.0,0.0
8.3,1.983087E-6,8.077986E-7,8.077986E-7,1.0,0.0,8.498917E-6,3.4619893E-6,3.4619893E-6,1.0,0.0,1.034694E-4,4.2148924E-5,4.2148924E-5,1.0,0.0,0.0010342124,4.9595156E-4,4.9595156E-4,1.0,0.0
