Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4273766E-4,3.1963122E-4,3.1963122E-4,1.0,0.0,6.115894E-4,0.0013691349,0.0013691349,1.0,0.0,0.0074207084,0.016543332,0.016543332,1.0,0.0,0.07177748,0.15181157,0.15221547,1.0026605,4.7619047E-4
6.1,1.4273766E-4,3.1963122E-4,3.1963122E-4,1.0,0.0,6.115894E-4,0.0013691349,0.0013691349,1.0,0.0,0.0074207084,0.016543332,0.016543332,1.0,0.0,0.07177748,0.15181157,0.15221547,1.0026605,4.7619047E-4
6.2,1.4273766E-4,3.1963122E-4,3.1963122E-4,1.0,0.0,6.115894E-4,0.0013691349,0.0013691349,1.0,0.0,0.0074207084,0.016543332,0.016543332,1.0,0.0,0.07177748,0.15181157,0.15221547,1.0026605,4.7619047E-4
6.3,1.3730655E-4,3.0866158E-4,3.0866158E-4,1.0,0.0,5.883239E-4,0.0013221705,0.0013221705,1.0,0.0,0.0071393442,0.015980031,0.015980031,1.0,0.0,0.06914291,0.14711323,0.14751936,1.0027606,4.7619047E-4
6.4,1.3730655E-4,3.0866158E-4,3.0866158E-4,1.0,0.0,5.883239E-4,0.0013221705,0.0013221705,1.0,0.0,0.0071393442,0.015980031,0.015980031,1.0,0.0,0.06914291,0.14711323,0.14751936,1.0027606,4.7619047E-4
6.5,1.2942807E-4,2.9277994E-4,2.9277994E-4,1.0,0.0,5.545738E-4,0.001254173,0.001254173,1.0,0.0,0.0067310524,0.015163913,0.015163913,1.0,0.0,0.06530788,0.14024831,0.14065772,1.0029192,4.7619047E-4
6.6,1.1125901E-4,2.571011E-4,2.571011E-4,1.0,0.0,4.767372E-4,0.001101399,0.001101399,1.0,0.0,0.005788839,0.01332773,0.01332773,1.0,0.0,0.056403454,0.12449872,0.12491562,1.0033487,4.7619047E-4
6.7,1.02209575E-4,2.3842507E-4,2.3842507E-4,1.0,0.0,4.3796748E-4,0.001021423,0.001021423,1.0,0.0,0.0053192247,0.012365349,0.012365349,1.0,0.0,0.051936906,0.1162689,0.11668973,1.0036194,4.7619047E-4
6.8,9.610582E-5,2.2363455E-4,2.2363455E-4,1.0,0.0,4.1181705E-4,9.5808244E-4,9.5808244E-4,1.0,0.0,0.0050023515,0.0116025405,0.0116025405,1.0,0.0,0.048912346,0.109663144,0.11008711,1.0038661,4.7619047E-4
6.9,9.3877505E-5,2.1817573E-4,2.1817573E-4,1.0,0.0,4.0227012E-4,9.3470444E-4,9.3470444E-4,1.0,0.0,0.0048866454,0.0113209,0.0113209,1.0,0.0,0.04780577,0.10724847,0.10767359,1.0039638,4.7619047E-4
7.0,9.1019785E-5,2.1142345E-4,2.1142345E-4,1.0,0.0,3.900265E-4,9.0578647E-4,9.0578647E-4,1.0,0.0,0.0047382377,0.01097242,0.01097242,1.0,0.0,0.046384744,0.1042095,0.104636066,1.0040934,4.7619047E-4
7.1,8.771155E-5,2.0314447E-4,2.0314447E-4,1.0,0.0,3.758525E-4,8.703292E-4,8.703292E-4,1.0,0.0,0.0045664064,0.01054498,0.01054498,1.0,0.0,0.044737056,0.10051153,0.10093986,1.0042615,4.7619047E-4
7.2,8.0830236E-5,1.8714796E-4,1.8714796E-4,1.0,0.0,3.4636928E-4,8.018163E-4,8.018163E-4,1.0,0.0,0.0042088944,0.009718529,0.009718529,1.0,0.0,0.041300658,0.09322956,0.09366135,1.0046315,4.7619047E-4
7.3,7.7668235E-5,1.7652528E-4,1.7652528E-4,1.0,0.0,3.328214E-4,7.563177E-4,7.563177E-4,1.0,0.0,0.0040445733,0.009169374,0.009169374,1.0,0.0,0.03971748,0.08848123,0.08891529,1.0049056,4.7619047E-4
