Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.31567E-5,2.3583963E-4,2.3583963E-4,1.0,0.0,3.5633717E-4,0.0010103473,0.0010203372,1.0098876,1.0E-5,0.004329778,0.012231482,0.012270994,1.0032302,4.0E-5,0.042463828,0.11340258,0.11348237,1.0007036,9.0E-5
6.1,8.31567E-5,2.3583963E-4,2.3583963E-4,1.0,0.0,3.5633717E-4,0.0010103473,0.0010203372,1.0098876,1.0E-5,0.004329778,0.012231482,0.012270994,1.0032302,4.0E-5,0.042463828,0.11340258,0.11348237,1.0007036,9.0E-5
6.2,8.31567E-5,2.3583963E-4,2.3583963E-4,1.0,0.0,3.5633717E-4,0.0010103473,0.0010203372,1.0098876,1.0E-5,0.004329778,0.012231482,0.012270994,1.0032302,4.0E-5,0.042463828,0.11340258,0.11348237,1.0007036,9.0E-5
6.3,8.31567E-5,2.3583963E-4,2.3583963E-4,1.0,0.0,3.5633717E-4,0.0010103473,0.0010203372,1.0098876,1.0E-5,0.004329778,0.012231482,0.012270994,1.0032302,4.0E-5,0.042463828,0.11340258,0.11348237,1.0007036,9.0E-5
6.4,8.059055E-5,2.3140394E-4,2.3140394E-4,1.0,0.0,3.4534236E-4,9.913519E-4,0.001001342,1.0100772,1.0E-5,0.0041964394,0.012003137,0.012042657,1.0032924,4.0E-5,0.041180745,0.111380845,0.11146082,1.000718,9.0E-5
6.5,8.059055E-5,2.3140394E-4,2.3140394E-4,1.0,0.0,3.4534236E-4,9.913519E-4,0.001001342,1.0100772,1.0E-5,0.0041964394,0.012003137,0.012042657,1.0032924,4.0E-5,0.041180745,0.111380845,0.11146082,1.000718,9.0E-5
6.6,7.619237E-5,2.2383234E-4,2.2383234E-4,1.0,0.0,3.2649786E-4,9.5893105E-4,9.6892146E-4,1.0104183,1.0E-5,0.0039678677,0.011613044,0.0116525795,1.0034044,4.0E-5,0.03897764,0.107913435,0.10799372,1.000744,9.0E-5
6.7,7.440636E-5,2.2058628E-4,2.2058628E-4,1.0,0.0,3.188454E-4,9.4502955E-4,9.550201E-4,1.0105717,1.0E-5,0.0038750346,0.011445579,0.011485121,1.0034548,4.0E-5,0.038081564,0.10642142,0.10650184,1.0007557,9.0E-5
6.8,7.3735864E-5,2.1905196E-4,2.1905196E-4,1.0,0.0,3.1597257E-4,9.3845866E-4,9.4844925E-4,1.0106457,1.0E-5,0.0038401815,0.011366419,0.011405963,1.0034791,4.0E-5,0.03774495,0.10572102,0.1058015,1.0007613,9.0E-5
6.9,7.27575E-5,2.1673701E-4,2.1673701E-4,1.0,0.0,3.117806E-4,9.2854456E-4,9.3853526E-4,1.0107596,1.0E-5,0.003789323,0.011246966,0.011286517,1.0035166,4.0E-5,0.037253562,0.104667746,0.10474832,1.0007699,9.0E-5
7.0,7.102591E-5,2.1256867E-4,2.1256867E-4,1.0,0.0,3.0436125E-4,9.1069285E-4,9.206837E-4,1.0109706,1.0E-5,0.003699303,0.011031841,0.0110714,1.0035858,4.0E-5,0.03638325,0.102767445,0.1028482,1.0007857,9.0E-5
7.1,7.028513E-5,2.1091932E-4,2.1091932E-4,1.0,0.0,3.0118722E-4,9.03629E-4,9.1362E-4,1.0110565,1.0E-5,0.0036607897,0.010946707,0.010986269,1.0036141,4.0E-5,0.036010686,0.10200856,0.10208938,1.0007923,9.0E-5
