Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.681379E-5,8.175327E-5,8.175327E-5,1.0,0.0,2.8631336E-4,3.5032624E-4,3.5032624E-4,1.0,0.0,0.003480294,0.004257375,0.0048529147,1.1398842,5.980861E-4,0.03426291,0.041813284,0.04238636,1.0137056,5.980861E-4
6.1,6.681379E-5,8.175327E-5,8.175327E-5,1.0,0.0,2.8631336E-4,3.5032624E-4,3.5032624E-4,1.0,0.0,0.003480294,0.004257375,0.0048529147,1.1398842,5.980861E-4,0.03426291,0.041813284,0.04238636,1.0137056,5.980861E-4
6.2,3.9400576E-5,4.650548E-5,4.650548E-5,1.0,0.0,1.6884868E-4,1.9929423E-4,1.9929423E-4,1.0,0.0,0.0020537945,0.0024237619,0.0024237619,1.0,0.0,0.020349167,0.0239799,0.0239799,1.0,0.0
6.3,3.2590255E-5,3.7968726E-5,3.7968726E-5,1.0,0.0,1.3966505E-4,1.6271316E-4,1.6271316E-4,1.0,0.0,0.0016990956,0.0019792633,0.0019792633,1.0,0.0,0.01686163,0.01962014,0.01962014,1.0,0.0
6.4,2.9454652E-5,3.4131994E-5,3.4131994E-5,1.0,0.0,1.2622811E-4,1.4627194E-4,1.4627194E-4,1.0,0.0,0.0015357438,0.0017794324,0.0017794324,1.0,0.0,0.015251739,0.017655015,0.017655015,1.0,0.0
6.5,2.790836E-5,3.227938E-5,3.227938E-5,1.0,0.0,1.1960178E-4,1.3833301E-4,1.3833301E-4,1.0,0.0,0.001455179,0.0016829289,0.0016829289,1.0,0.0,0.014456868,0.01670486,0.01670486,1.0,0.0
6.6,2.2492153E-5,2.5786498E-5,2.5786498E-5,1.0,0.0,9.639138E-5,1.1050897E-4,1.1050897E-4,1.0,0.0,0.0011729331,0.001344631,0.001344631,1.0,0.0,0.011667615,0.013366669,0.013366669,1.0,0.0
6.7,1.9862755E-5,2.2686727E-5,2.2686727E-5,1.0,0.0,8.512331E-5,9.7225275E-5,9.7225275E-5,1.0,0.0,0.0010358836,0.0011830862,0.0011830862,1.0,0.0,0.010310682,0.011769173,0.011769173,1.0,0.0
6.8,1.6697575E-5,1.8994138E-5,1.8994138E-5,1.0,0.0,7.155907E-5,8.140096E-5,8.140096E-5,1.0,0.0,8.7088346E-4,9.906155E-4,9.906155E-4,1.0,0.0,0.008674784,0.009863026,0.009863026,1.0,0.0
6.9,1.5218415E-5,1.728415E-5,1.728415E-5,1.0,0.0,6.522015E-5,7.407287E-5,7.407287E-5,1.0,0.0,7.93766E-4,9.0147293E-4,9.0147293E-4,1.0,0.0,0.007909367,0.008979109,0.008979109,1.0,0.0
7.0,1.2392958E-5,1.404478E-5,1.404478E-5,1.0,0.0,5.3111595E-5,6.019057E-5,6.019057E-5,1.0,0.0,6.4644177E-4,7.325814E-4,7.325814E-4,1.0,0.0,0.0064456454,0.007302452,0.007302452,1.0,0.0
7.1,1.0934128E-5,1.238547E-5,1.238547E-5,1.0,0.0,4.6859706E-5,5.3079544E-5,5.3079544E-5,1.0,0.0,5.7036756E-4,6.4605917E-4,6.4605917E-4,1.0,0.0,0.0056890585,0.006442557,0.006442557,1.0,0.0
7.2,9.5798805E-6,1.0854007E-5,1.0854007E-5,1.0,0.0,4.1055984E-5,4.6516383E-5,4.6516383E-5,1.0,0.0,4.9974193E-4,5.6619704E-4,5.6619704E-4,1.0,0.0,0.0049861963,0.00564827,0.00564827,1.0,0.0
7.3,8.0167365E-6,9.091577E-6,9.091577E-6,1.0,0.0,3.4356988E-5,3.896336E-5,3.896336E-5,1.0,0.0,4.1821605E-4,4.7428272E-4,4.7428272E-4,1.0,0.0,0.0041742986,0.0047334093,0.0047334093,1.0,0.0
7.4,2.9581017E-6,3.3652898E-6,3.3652898E-6,1.0,0.0,1.2677518E-5,1.442262E-5,1.442262E-5,1.0,0.0,1.5433785E-4,1.755863E-4,1.755863E-4,1.0,0.0,0.001542307,0.0017549716,0.0017549716,1.0,0.0
