Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.083775E-5,1.208861E-5,1.208861E-5,1.0,0.0,4.6446676E-5,5.1807365E-5,5.1807365E-5,1.0,0.0,5.653415E-4,6.3058344E-4,6.3058344E-4,1.0,0.0,0.0056390543,0.006300381,0.0063103177,1.0015773,1.0E-5
6.1,1.083775E-5,1.208861E-5,1.208861E-5,1.0,0.0,4.6446676E-5,5.1807365E-5,5.1807365E-5,1.0,0.0,5.653415E-4,6.3058344E-4,6.3058344E-4,1.0,0.0,0.0056390543,0.006300381,0.0063103177,1.0015773,1.0E-5
6.2,1.083775E-5,1.208861E-5,1.208861E-5,1.0,0.0,4.6446676E-5,5.1807365E-5,5.1807365E-5,1.0,0.0,5.653415E-4,6.3058344E-4,6.3058344E-4,1.0,0.0,0.0056390543,0.006300381,0.0063103177,1.0015773,1.0E-5
6.3,1.083775E-5,1.208861E-5,1.208861E-5,1.0,0.0,4.6446676E-5,5.1807365E-5,5.1807365E-5,1.0,0.0,5.653415E-4,6.3058344E-4,6.3058344E-4,1.0,0.0,0.0056390543,0.006300381,0.0063103177,1.0015773,1.0E-5
6.4,1.083775E-5,1.208861E-5,1.208861E-5,1.0,0.0,4.6446676E-5,5.1807365E-5,5.1807365E-5,1.0,0.0,5.653415E-4,6.3058344E-4,6.3058344E-4,1.0,0.0,0.0056390543,0.006300381,0.0063103177,1.0015773,1.0E-5
6.5,6.7317824E-6,7.819297E-6,7.819297E-6,1.0,0.0,2.8850178E-5,3.351085E-5,3.351085E-5,1.0,0.0,3.511943E-4,4.0791926E-4,4.0791926E-4,1.0,0.0,0.003506398,0.004083145,0.004093104,1.0024391,1.0E-5
6.6,6.7317824E-6,7.819297E-6,7.819297E-6,1.0,0.0,2.8850178E-5,3.351085E-5,3.351085E-5,1.0,0.0,3.511943E-4,4.0791926E-4,4.0791926E-4,1.0,0.0,0.003506398,0.004083145,0.004093104,1.0024391,1.0E-5
6.7,6.274881E-6,7.3481247E-6,7.3481247E-6,1.0,0.0,2.6892068E-5,3.149159E-5,3.149159E-5,1.0,0.0,3.2736175E-4,3.833436E-4,3.833436E-4,1.0,0.0,0.0032687993,0.0038382565,0.0038482181,1.0025953,1.0E-5
6.8,5.996209E-6,7.0607884E-6,7.0607884E-6,1.0,0.0,2.5697784E-5,3.0260177E-5,3.0260177E-5,1.0,0.0,3.128256E-4,3.6835633E-4,3.6835633E-4,1.0,0.0,0.003123856,0.0036888882,0.0036988512,1.0027008,1.0E-5
6.9,5.686331E-6,6.725432E-6,6.725432E-6,1.0,0.0,2.4369761E-5,2.8822968E-5,2.8822968E-5,1.0,0.0,2.9666146E-4,3.5086405E-4,3.5086405E-4,1.0,0.0,0.0029626573,0.0035145301,0.0035244948,1.0028353,1.0E-5
7.0,5.2329838E-6,6.249058E-6,6.249058E-6,1.0,0.0,2.242688E-5,2.6781407E-5,2.6781407E-5,1.0,0.0,2.7301308E-4,3.260156E-4,3.260156E-4,1.0,0.0,0.002726779,0.0032667904,0.0032767577,1.0030512,1.0E-5
7.1,5.135671E-6,6.1389196E-6,6.1389196E-6,1.0,0.0,2.2009834E-5,2.6309395E-5,2.6309395E-5,1.0,0.0,2.6793676E-4,3.2027057E-4,3.2027057E-4,1.0,0.0,0.0026761394,0.0032095073,0.0032194753,1.0031058,1.0E-5
7.2,4.989062E-6,5.9718454E-6,5.9718454E-6,1.0,0.0,2.1381518E-5,2.5593376E-5,2.5593376E-5,1.0,0.0,2.6028889E-4,3.1155557E-4,3.1155557E-4,1.0,0.0,0.0025998424,0.0031226052,0.0031325738,1.0031924,1.0E-5
7.3,4.8219395E-6,5.802997E-6,5.802997E-6,1.0,0.0,2.0665291E-5,2.4869752E-5,2.4869752E-5,1.0,0.0,2.5157086E-4,3.0274794E-4,3.0274794E-4,1.0,0.0,0.0025128627,0.0030347726,0.0030347726,1.0,0.0
7.4,4.7118383E-6,5.6911895E-6,5.6911895E-6,1.0,0.0,2.0193436E-5,2.4390589E-5,2.4390589E-5,1.0,0.0,2.4582737E-4,2.969157E-4,2.969157E-4,1.0,0.0,0.002455556,0.0029766068,0.0029766068,1.0,0.0
7.5,4.5506545E-6,5.536028E-6,5.536028E-6,1.0,0.0,1.9502659E-5,2.3725623E-5,2.3725623E-5,1.0,0.0,2.37419E-4,2.8882193E-4,2.8882193E-4,1.0,0.0,0.002371655,0.0028958814,0.0028958814,1.0,0.0
7.6,4.343636E-6,5.328063E-6,5.328063E-6,1.0,0.0,1.861545E-5,2.283436E-5,2.283436E-5,1.0,0.0,2.2661954E-4,2.7797362E-4,2.7797362E-4,1.0,0.0,0.0022638857,0.0027876664,0.0027876664,1.0,0.0
7.7,2.936235E-6,2.810787E-6,2.810787E-6,1.0,0.0,1.2583803E-5,1.2046175E-5,1.2046175E-5,1.0,0.0,1.5319703E-4,1.4665234E-4,1.4665234E-4,1.0,0.0,0.0015309147,0.0014730524,0.0014730524,1.0,0.0
7.8,1.4541639E-6,9.3947057E-7,9.3947057E-7,1.0,0.0,6.232116E-6,4.026296E-6,4.026296E-6,1.0,0.0,7.587337E-5,4.9019054E-5,4.9019054E-5,1.0,0.0,7.584747E-4,4.9518066E-4,4.9518066E-4,1.0,0.0
