Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.2919327E-6,3.014024E-6,3.014024E-6,1.0,0.0,1.4108206E-5,1.29172E-5,1.29172E-5,1.0,0.0,1.7175387E-4,1.5725874E-4,1.9725245E-4,1.2543179,4.0E-5,0.0017162118,0.0015717862,0.0016316919,1.0381131,6.0E-5
6.1,1.8663811E-6,1.5494795E-6,1.5494795E-6,1.0,0.0,7.998751E-6,6.6406124E-6,6.6406124E-6,1.0,0.0,9.738045E-5,8.0846956E-5,8.0846956E-5,1.0,0.0,9.7337784E-4,8.0822426E-4,8.0822426E-4,1.0,0.0
6.2,1.8663811E-6,1.5494795E-6,1.5494795E-6,1.0,0.0,7.998751E-6,6.6406124E-6,6.6406124E-6,1.0,0.0,9.738045E-5,8.0846956E-5,8.0846956E-5,1.0,0.0,9.7337784E-4,8.0822426E-4,8.0822426E-4,1.0,0.0
6.3,1.8663811E-6,1.5494795E-6,1.5494795E-6,1.0,0.0,7.998751E-6,6.6406124E-6,6.6406124E-6,1.0,0.0,9.738045E-5,8.0846956E-5,8.0846956E-5,1.0,0.0,9.7337784E-4,8.0822426E-4,8.0822426E-4,1.0,0.0
6.4,1.8663811E-6,1.5494795E-6,1.5494795E-6,1.0,0.0,7.998751E-6,6.6406124E-6,6.6406124E-6,1.0,0.0,9.738045E-5,8.0846956E-5,8.0846956E-5,1.0,0.0,9.7337784E-4,8.0822426E-4,8.0822426E-4,1.0,0.0
6.5,1.8106311E-6,1.4913983E-6,1.4913983E-6,1.0,0.0,7.759824E-6,6.391694E-6,6.391694E-6,1.0,0.0,9.447177E-5,7.781659E-5,7.781659E-5,1.0,0.0,9.4431615E-4,7.779421E-4,7.779421E-4,1.0,0.0
6.6,1.2414679E-6,9.0002476E-7,9.0002476E-7,1.0,0.0,5.320566E-6,3.857244E-6,3.857244E-6,1.0,0.0,6.477596E-5,4.696102E-5,4.696102E-5,1.0,0.0,6.475708E-4,4.695196E-4,4.695196E-4,1.0,0.0
6.7,1.1062215E-6,7.596667E-7,7.596667E-7,1.0,0.0,4.7409408E-6,3.255711E-6,3.255711E-6,1.0,0.0,5.7719422E-5,3.963763E-5,3.963763E-5,1.0,0.0,5.770443E-4,3.963126E-4,3.963126E-4,1.0,0.0
6.8,1.0006736E-6,6.5025006E-7,6.5025006E-7,1.0,0.0,4.288594E-6,2.7867832E-6,2.7867832E-6,1.0,0.0,5.221238E-5,3.392862E-5,3.392862E-5,1.0,0.0,5.220012E-4,3.3924048E-4,3.3924048E-4,1.0,0.0
6.9,9.167364E-7,5.633535E-7,5.633535E-7,1.0,0.0,3.9288643E-6,2.4143703E-6,2.4143703E-6,1.0,0.0,4.7832873E-5,2.9394621E-5,2.9394621E-5,1.0,0.0,4.782258E-4,2.93913E-4,2.93913E-4,1.0,0.0
7.0,7.6987664E-7,4.1149684E-7,4.1149684E-7,1.0,0.0,3.2994672E-6,1.7635568E-6,1.7635568E-6,1.0,0.0,4.0170275E-5,2.1471133E-5,2.1471133E-5,1.0,0.0,4.0163012E-4,2.1469445E-4,2.1469445E-4,1.0,0.0
7.1,7.1038727E-7,3.5226094E-7,3.5226094E-7,1.0,0.0,3.0445133E-6,1.509689E-6,1.509689E-6,1.0,0.0,3.706632E-5,1.8380344E-5,1.8380344E-5,1.0,0.0,3.7060137E-4,1.8379174E-4,1.8379174E-4,1.0,0.0
7.2,2.0799602E-7,3.12255E-8,3.12255E-8,1.0,0.0,8.914113E-7,1.3382358E-7,1.3382358E-7,1.0,0.0,1.0852878E-5,1.6293009E-6,1.6293009E-6,1.0,0.0,1.08523476E-4,1.6292895E-5,1.6292895E-5,1.0,0.0
7.3,1.5048182E-7,1.5973221E-8,1.5973221E-8,1.0,0.0,6.449219E-7,6.845666E-8,6.845666E-8,1.0,0.0,7.851896E-6,8.334595E-7,8.334595E-7,1.0,0.0,7.851618E-5,8.334567E-6,8.334567E-6,1.0,0.0
7.4,5.9334678E-8,4.880312E-9,4.880312E-9,1.0,0.0,2.5429145E-7,2.0915623E-8,2.0915623E-8,1.0,0.0,3.095994E-6,2.546477E-7,2.546477E-7,1.0,0.0,3.095951E-5,2.5464751E-6,2.5464751E-6,1.0,0.0
