Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.1,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.2,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.3,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.4,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.5,7.7690465E-6,6.979292E-6,6.979292E-6,1.0,0.0,3.329549E-5,2.9911109E-5,2.9911109E-5,1.0,0.0,4.0529718E-4,3.6414276E-4,3.6414276E-4,1.0,0.0,0.004045588,0.003638979,0.0042348886,1.1637574,5.980861E-4
6.6,2.653E-6,1.6161958E-6,1.6161958E-6,1.0,0.0,1.136995E-5,6.9265357E-6,6.9265357E-6,1.0,0.0,1.3842035E-4,8.4327345E-5,8.4327345E-5,1.0,0.0,0.0013833415,8.429569E-4,0.0014405388,1.7089117,5.980861E-4
6.7,2.5902466E-6,1.5515169E-6,1.5515169E-6,1.0,0.0,1.11010095E-5,6.6493417E-6,6.6493417E-6,1.0,0.0,1.351464E-4,8.0952756E-5,8.0952756E-5,1.0,0.0,0.0013506424,8.092357E-4,0.0014068378,1.7384772,5.980861E-4
6.8,2.5853892E-6,1.5483113E-6,1.5483113E-6,1.0,0.0,1.1080193E-5,6.635603E-6,6.635603E-6,1.0,0.0,1.34893E-4,8.07855E-5,8.07855E-5,1.0,0.0,0.0013481114,8.075643E-4,0.0014051675,1.7400068,5.980861E-4
6.9,2.458257E-6,1.4233572E-6,1.4233572E-6,1.0,0.0,1.0535345E-5,6.100088E-6,6.100088E-6,1.0,0.0,1.2826028E-4,7.426606E-5,7.426606E-5,1.0,0.0,0.0012818627,7.424144E-4,0.0013400564,1.804998,5.980861E-4
7.0,2.4341468E-6,1.4003072E-6,1.4003072E-6,1.0,0.0,1.0432016E-5,6.0013026E-6,6.0013026E-6,1.0,0.0,1.270024E-4,7.306343E-5,7.306343E-5,1.0,0.0,0.0012692984,7.30396E-4,0.0013280453,1.8182538,5.980861E-4
7.1,2.3652476E-6,1.3352203E-6,1.3352203E-6,1.0,0.0,1.0136736E-5,5.7223606E-6,5.7223606E-6,1.0,0.0,1.2340778E-4,6.966753E-5,6.966753E-5,1.0,0.0,0.0012333926,6.9645856E-4,0.0012941281,1.8581553,5.980861E-4
7.2,2.272158E-6,1.2514812E-6,1.2514812E-6,1.0,0.0,9.737784E-6,5.36348E-6,5.36348E-6,1.0,0.0,1.1855107E-4,6.529843E-5,6.529843E-5,1.0,0.0,0.0011848784,6.527939E-4,0.0012504896,1.9155964,5.980861E-4
7.3,2.1382127E-6,1.1431241E-6,1.1431241E-6,1.0,0.0,9.163737E-6,4.899094E-6,4.899094E-6,1.0,0.0,1.1156279E-4,5.964485E-5,5.964485E-5,1.0,0.0,0.001115068,5.9628964E-4,5.9628964E-4,1.0,0.0
7.4,1.9048055E-6,9.586106E-7,9.586106E-7,1.0,0.0,8.163426E-6,4.1083244E-6,4.1083244E-6,1.0,0.0,9.9385186E-5,5.001771E-5,5.001771E-5,1.0,0.0,9.934074E-4,5.000652E-4,5.000652E-4,1.0,0.0
7.5,1.5373403E-6,7.569202E-7,7.569202E-7,1.0,0.0,6.5885843E-6,3.2439398E-6,3.2439398E-6,1.0,0.0,8.021306E-5,3.9494254E-5,3.9494254E-5,1.0,0.0,8.0184115E-4,3.9487283E-4,3.9487283E-4,1.0,0.0
7.6,1.0680322E-6,4.6661395E-7,4.6661395E-7,1.0,0.0,4.577273E-6,1.9997726E-6,1.9997726E-6,1.0,0.0,5.5726876E-5,2.4346962E-5,2.4346962E-5,1.0,0.0,5.5712904E-4,2.4344321E-4,2.4344321E-4,1.0,0.0
7.7,5.509146E-7,1.5612838E-7,1.5612838E-7,1.0,0.0,2.3610605E-6,6.6912145E-7,6.6912145E-7,1.0,0.0,2.8745531E-5,8.146524E-6,8.146524E-6,1.0,0.0,2.8741814E-4,8.146237E-5,8.146237E-5,1.0,0.0
