Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.198912E-5,2.229419E-5,2.229419E-5,1.0,0.0,9.4235686E-5,9.5543284E-5,9.5543284E-5,1.0,0.0,0.0011467156,0.0011626626,0.0011626626,1.0,0.0,0.011408163,0.011570253,0.012040934,1.0406803,4.7619047E-4
6.1,2.198912E-5,2.229419E-5,2.229419E-5,1.0,0.0,9.4235686E-5,9.5543284E-5,9.5543284E-5,1.0,0.0,0.0011467156,0.0011626626,0.0011626626,1.0,0.0,0.011408163,0.011570253,0.012040934,1.0406803,4.7619047E-4
6.2,1.69983E-5,1.6682923E-5,1.6682923E-5,1.0,0.0,7.284782E-5,7.149645E-5,7.149645E-5,1.0,0.0,8.865613E-4,8.701508E-4,8.701508E-4,1.0,0.0,0.008830327,0.008670363,0.009142424,1.0544454,4.7619047E-4
6.3,1.69983E-5,1.6682923E-5,1.6682923E-5,1.0,0.0,7.284782E-5,7.149645E-5,7.149645E-5,1.0,0.0,8.865613E-4,8.701508E-4,8.701508E-4,1.0,0.0,0.008830327,0.008670363,0.009142424,1.0544454,4.7619047E-4
6.4,1.4666188E-5,1.4064888E-5,1.4064888E-5,1.0,0.0,6.285358E-5,6.027684E-5,6.027684E-5,1.0,0.0,7.6497364E-4,7.3364837E-4,7.3364837E-4,1.0,0.0,0.0076234564,0.0073147435,0.0077874507,1.064624,4.7619047E-4
6.5,1.4666188E-5,1.4064888E-5,1.4064888E-5,1.0,0.0,6.285358E-5,6.027684E-5,6.027684E-5,1.0,0.0,7.6497364E-4,7.3364837E-4,7.3364837E-4,1.0,0.0,0.0076234564,0.0073147435,0.0077874507,1.064624,4.7619047E-4
6.6,1.4377586E-5,1.3741685E-5,1.3741685E-5,1.0,0.0,6.1616774E-5,5.8891743E-5,5.8891743E-5,1.0,0.0,7.4992597E-4,7.16796E-4,7.16796E-4,1.0,0.0,0.007474003,0.0071473126,0.0076200995,1.0661489,4.7619047E-4
6.7,1.3881404E-5,1.3219251E-5,1.3219251E-5,1.0,0.0,5.9490372E-5,5.665284E-5,5.665284E-5,1.0,0.0,7.240546E-4,6.895548E-4,6.895548E-4,1.0,0.0,0.007217,0.006876606,0.007349522,1.0687717,4.7619047E-4
6.8,1.0176516E-5,9.1626025E-6,9.1626025E-6,1.0,0.0,4.3612912E-5,3.92678E-5,3.92678E-5,1.0,0.0,5.308578E-4,4.7799718E-4,4.7799718E-4,1.0,0.0,0.0052959146,0.0047713267,0.0052452455,1.0993264,4.7619047E-4
6.9,9.699797E-6,8.782784E-6,8.782784E-6,1.0,0.0,4.15699E-5,3.7640053E-5,3.7640053E-5,1.0,0.0,5.05996E-4,4.5818774E-4,4.5818774E-4,1.0,0.0,0.005048454,0.0045740516,0.0050480636,1.1036308,4.7619047E-4
7.0,7.4049476E-6,6.5653257E-6,6.5653257E-6,1.0,0.0,3.1735104E-5,2.8136878E-5,2.8136878E-5,1.0,0.0,3.8630638E-4,3.425253E-4,3.425253E-4,1.0,0.0,0.0038563553,0.0034212184,0.0038957796,1.1387112,4.7619047E-4
7.1,3.873439E-6,2.7620874E-6,2.7620874E-6,1.0,0.0,1.6600346E-5,1.1837465E-5,1.1837465E-5,1.0,0.0,2.0209046E-4,1.4411184E-4,1.4411184E-4,1.0,0.0,0.0020190678,0.0014402075,0.0019157121,1.330164,4.7619047E-4
7.2,3.417706E-6,2.3699506E-6,2.3699506E-6,1.0,0.0,1.4647229E-5,1.0156893E-5,1.0156893E-5,1.0,0.0,1.7831543E-4,1.2365339E-4,1.2365339E-4,1.0,0.0,0.0017817242,0.0012358681,0.0017114701,1.3848323,4.7619047E-4
