Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,84.65566,42.0,242.0,65.0,59.0,1.0,0.0084,42.98455
2.6,67.24635,32.0,193.0,52.0,47.0,1.0,0.0084,34.14475
2.7,53.40714,24.0,154.0,41.0,37.0,1.0,0.0084,27.12113
2.8,42.42136,18.0,123.0,33.0,31.0,1.0,0.0084,21.54103
2.9,33.69524,14.0,99.0,26.0,23.0,1.0,0.0084,17.11039
3.0,26.75724,10.0,79.0,21.0,19.0,1.0,0.0084,13.59258
3.1,21.26046,7.0,63.0,17.0,14.0,1.0,0.0084,10.79909
3.2,16.87623,5.0,51.0,13.0,11.0,0.99999,0.0084,8.57171
3.3,13.39831,4.0,41.0,10.0,9.0,0.99971,0.0084,6.804
3.4,10.64417,2.0,33.0,8.0,7.0,0.99871,0.0084,5.40725
3.5,8.45081,1.0,27.0,7.0,5.0,0.99519,0.0084,4.29176
3.6,6.70779,1.0,22.0,5.0,4.0,0.98657,0.0084,3.40751
3.7,5.33012,0.0,18.0,4.0,3.0,0.96939,0.0084,2.70502
3.8,4.23507,0.0,15.0,3.0,2.0,0.93867,0.0084,2.15006
3.9,3.35642,0.0,12.0,2.0,2.0,0.89473,0.0084,1.70303
4.0,2.66201,0.0,10.0,2.0,1.0,0.83627,0.0084,1.34955
4.1,2.11126,0.0,8.0,1.0,1.0,0.76759,0.0084,1.07144
4.2,1.67574,0.0,7.0,1.0,0.0,0.69178,0.0084,0.85093
4.3,1.3297,0.0,6.0,1.0,0.0,0.61198,0.0084,0.67237
4.4,1.05523,0.0,5.0,1.0,0.0,0.53332,0.0084,0.532
4.5,0.83658,0.0,4.0,0.0,0.0,0.45785,0.0084,0.42314
4.6,0.66396,0.0,4.0,0.0,0.0,0.38884,0.0084,0.33587
4.7,0.52583,0.0,3.0,0.0,0.0,0.32698,0.0084,0.26571
4.8,0.41555,0.0,3.0,0.0,0.0,0.27242,0.0084,0.21012
4.9,0.32841,0.0,2.0,0.0,0.0,0.22486,0.0084,0.1667
5.0,0.25899,0.0,2.0,0.0,0.0,0.18438,0.0084,0.13155
5.1,0.20321,0.0,2.0,0.0,0.0,0.14981,0.0084,0.10369
5.2,0.15965,0.0,1.0,0.0,0.0,0.12163,0.0084,0.0817
5.3,0.1245,0.0,1.0,0.0,0.0,0.09726,0.0084,0.06397
5.4,0.09695,0.0,1.0,0.0,0.0,0.07791,0.0084,0.04991
5.5,0.0753,0.0,1.0,0.0,0.0,0.06188,0.0084,0.03887
5.6,0.05768,0.0,1.0,0.0,0.0,0.04837,0.0084,0.0298
5.7,0.04412,0.0,1.0,0.0,0.0,0.03768,0.0084,0.02287
5.8,0.03323,0.0,1.0,0.0,0.0,0.02895,0.0084,0.01711
5.9,0.02459,0.0,0.0,0.0,0.0,0.02191,0.0084,0.01301
6.0,0.01766,0.0,0.0,0.0,0.0,0.01613,0.0084,0.00948
6.1,0.0142,0.0,0.0,0.0,0.0,0.01318,0.00839,0.00786
6.2,0.0113,0.0,0.0,0.0,0.0,0.01088,0.00834,0.00641
6.3,0.00965,0.0,0.0,0.0,0.0,0.00947,0.00819,0.0056
6.4,0.00901,0.0,0.0,0.0,0.0,0.00887,0.00812,0.00525
6.5,0.00837,0.0,0.0,0.0,0.0,0.00832,0.00798,0.00489
6.6,8.3E-4,0.0,0.0,0.0,0.0,8.2E-4,6.1E-4,4.6E-4
6.7,6.7E-4,0.0,0.0,0.0,0.0,6.7E-4,5.2E-4,3.5E-4
6.8,5.1E-4,0.0,0.0,0.0,0.0,5.1E-4,4.2E-4,3.0E-4
6.9,3.9E-4,0.0,0.0,0.0,0.0,3.9E-4,3.2E-4,2.3E-4
7.0,3.3E-4,0.0,0.0,0.0,0.0,3.3E-4,2.9E-4,1.9E-4
7.1,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.7E-4,1.7E-4
7.2,2.4E-4,0.0,0.0,0.0,0.0,2.4E-4,2.3E-4,1.4E-4
7.3,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.8E-4,1.1E-4
7.4,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,6.0E-5
7.5,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,3.0E-5
7.6,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.7,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
