Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,57.5426,28.0,153.0,46.0,42.0,1.0,0.00574,31.64863
2.6,45.7109,21.0,122.0,37.0,33.0,1.0,0.00574,25.14097
2.7,36.30886,16.0,98.0,29.0,26.0,1.0,0.00574,19.97329
2.8,28.84677,12.0,78.0,23.0,21.0,1.0,0.00574,15.8684
2.9,22.91053,9.0,62.0,18.0,17.0,1.0,0.00574,12.6022
3.0,18.19067,6.0,50.0,15.0,13.0,0.99999,0.00574,10.01125
3.1,14.45697,4.0,40.0,12.0,10.0,0.99989,0.00574,7.95473
3.2,11.47776,3.0,33.0,9.0,8.0,0.9995,0.00574,6.31257
3.3,9.11498,2.0,26.0,7.0,6.0,0.99785,0.00574,5.00955
3.4,7.2389,1.0,21.0,6.0,5.0,0.99263,0.00574,3.98049
3.5,5.74758,1.0,18.0,4.0,4.0,0.98044,0.00574,3.15773
3.6,4.56,0.0,14.0,4.0,3.0,0.95731,0.00574,2.50628
3.7,3.62272,0.0,12.0,3.0,2.0,0.92037,0.00574,1.98811
3.8,2.87787,0.0,10.0,2.0,1.0,0.86887,0.00574,1.57886
3.9,2.28024,0.0,8.0,2.0,1.0,0.80499,0.00574,1.24998
4.0,1.8065,0.0,7.0,1.0,1.0,0.73103,0.00574,0.98956
4.1,1.43257,0.0,6.0,1.0,0.0,0.65283,0.00574,0.78552
4.2,1.13919,0.0,5.0,1.0,0.0,0.57442,0.00574,0.62573
4.3,0.90374,0.0,4.0,0.0,0.0,0.49596,0.00574,0.49453
4.4,0.71731,0.0,4.0,0.0,0.0,0.42344,0.00574,0.39147
4.5,0.56897,0.0,3.0,0.0,0.0,0.35721,0.00574,0.31151
4.6,0.4506,0.0,3.0,0.0,0.0,0.29826,0.00574,0.2467
4.7,0.35649,0.0,2.0,0.0,0.0,0.24665,0.00574,0.19516
4.8,0.28249,0.0,2.0,0.0,0.0,0.20352,0.00574,0.15467
4.9,0.2232,0.0,2.0,0.0,0.0,0.16643,0.00574,0.12244
5.0,0.17666,0.0,2.0,0.0,0.0,0.13581,0.00574,0.09679
5.1,0.13877,0.0,1.0,0.0,0.0,0.1095,0.00574,0.07631
5.2,0.10885,0.0,1.0,0.0,0.0,0.08798,0.00574,0.06
5.3,0.0846,0.0,1.0,0.0,0.0,0.06975,0.00574,0.04675
5.4,0.06554,0.0,1.0,0.0,0.0,0.0553,0.00574,0.03626
5.5,0.05066,0.0,1.0,0.0,0.0,0.04355,0.00574,0.02825
5.6,0.03874,0.0,1.0,0.0,0.0,0.03383,0.00574,0.02162
5.7,0.02984,0.0,1.0,0.0,0.0,0.02638,0.00574,0.01676
5.8,0.02254,0.0,0.0,0.0,0.0,0.02028,0.00574,0.01255
5.9,0.01681,0.0,0.0,0.0,0.0,0.01538,0.00574,0.0095
6.0,0.01219,0.0,0.0,0.0,0.0,0.01146,0.00574,0.00703
6.1,0.00967,0.0,0.0,0.0,0.0,0.00923,0.00574,0.00577
6.2,0.00777,0.0,0.0,0.0,0.0,0.00758,0.00572,0.00468
6.3,0.00664,0.0,0.0,0.0,0.0,0.00654,0.00563,0.00405
6.4,0.00619,0.0,0.0,0.0,0.0,0.0061,0.00558,0.00378
6.5,0.00573,0.0,0.0,0.0,0.0,0.00571,0.00548,0.00354
6.6,5.2E-4,0.0,0.0,0.0,0.0,5.2E-4,3.7E-4,3.1E-4
6.7,4.5E-4,0.0,0.0,0.0,0.0,4.5E-4,3.3E-4,2.6E-4
6.8,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,2.6E-4,2.1E-4
6.9,2.7E-4,0.0,0.0,0.0,0.0,2.7E-4,2.1E-4,1.7E-4
7.0,2.1E-4,0.0,0.0,0.0,0.0,2.1E-4,1.8E-4,1.3E-4
7.1,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,1.6E-4,1.1E-4
7.2,1.4E-4,0.0,0.0,0.0,0.0,1.4E-4,1.3E-4,9.0E-5
7.3,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,9.0E-5,6.0E-5
7.4,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.5,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
