Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6707214E-5,1.8685068E-5,1.8685068E-5,1.0,0.0,7.160038E-5,8.007645E-5,8.007645E-5,1.0,0.0,8.71386E-4,9.745023E-4,9.944828E-4,1.0205033,2.0E-5,0.00867977,0.009703145,0.00975266,1.005103,5.0E-5
6.1,1.6707214E-5,1.8685068E-5,1.8685068E-5,1.0,0.0,7.160038E-5,8.007645E-5,8.007645E-5,1.0,0.0,8.71386E-4,9.745023E-4,9.944828E-4,1.0205033,2.0E-5,0.00867977,0.009703145,0.00975266,1.005103,5.0E-5
6.2,1.6707214E-5,1.8685068E-5,1.8685068E-5,1.0,0.0,7.160038E-5,8.007645E-5,8.007645E-5,1.0,0.0,8.71386E-4,9.745023E-4,9.944828E-4,1.0205033,2.0E-5,0.00867977,0.009703145,0.00975266,1.005103,5.0E-5
6.3,1.6707214E-5,1.8685068E-5,1.8685068E-5,1.0,0.0,7.160038E-5,8.007645E-5,8.007645E-5,1.0,0.0,8.71386E-4,9.745023E-4,9.944828E-4,1.0205033,2.0E-5,0.00867977,0.009703145,0.00975266,1.005103,5.0E-5
6.4,1.5515609E-5,1.7351957E-5,1.7351957E-5,1.0,0.0,6.649377E-5,7.436344E-5,7.436344E-5,1.0,0.0,8.0926094E-4,9.0500497E-4,9.2498685E-4,1.0220793,2.0E-5,0.008063202,0.00901388,0.009063429,1.005497,5.0E-5
6.5,1.5515609E-5,1.7351957E-5,1.7351957E-5,1.0,0.0,6.649377E-5,7.436344E-5,7.436344E-5,1.0,0.0,8.0926094E-4,9.0500497E-4,9.2498685E-4,1.0220793,2.0E-5,0.008063202,0.00901388,0.009063429,1.005497,5.0E-5
6.6,1.5041828E-5,1.6822472E-5,1.6822472E-5,1.0,0.0,6.4463384E-5,7.209435E-5,7.209435E-5,1.0,0.0,7.8455906E-4,8.7740115E-4,8.973836E-4,1.0227746,2.0E-5,0.00781795,0.0087400265,0.00878959,1.0056708,5.0E-5
6.7,1.4634985E-5,1.6368997E-5,1.6368997E-5,1.0,0.0,6.271985E-5,7.015099E-5,7.015099E-5,1.0,0.0,7.6334673E-4,8.537594E-4,8.7374233E-4,1.0234058,2.0E-5,0.007607299,0.008505432,0.008555007,1.0058286,5.0E-5
6.8,1.4209158E-5,1.5894668E-5,1.5894668E-5,1.0,0.0,6.089497E-5,6.811826E-5,6.811826E-5,1.0,0.0,7.4114406E-4,8.290298E-4,8.490133E-4,1.0241046,2.0E-5,0.007386771,0.008259988,0.008309575,1.0060033,5.0E-5
6.9,1.3780098E-5,1.541685E-5,1.541685E-5,1.0,0.0,5.9056227E-5,6.607058E-5,6.607058E-5,1.0,0.0,7.1877235E-4,8.041178E-4,8.2410173E-4,1.0248519,2.0E-5,0.0071645193,0.0080126785,0.008062278,1.0061901,5.0E-5
7.0,1.3585064E-5,1.5200253E-5,1.5200253E-5,1.0,0.0,5.8220405E-5,6.514235E-5,6.514235E-5,1.0,0.0,7.086029E-4,7.9282495E-4,8.128091E-4,1.0252062,2.0E-5,0.007063476,0.0079005575,0.0079501625,1.0062786,5.0E-5
7.1,1.3398601E-5,1.4993285E-5,1.4993285E-5,1.0,0.0,5.742131E-5,6.4255386E-5,6.4255386E-5,1.0,0.0,6.9888023E-4,7.82034E-4,8.0201833E-4,1.0255543,2.0E-5,0.0069668638,0.0077934097,0.00784302,1.0063657,5.0E-5
7.2,1.3126312E-5,1.4691286E-5,1.4691286E-5,1.0,0.0,5.6254412E-5,6.296117E-5,6.296117E-5,1.0,0.0,6.846822E-4,7.662881E-4,7.8627275E-4,1.0260799,2.0E-5,0.006825765,0.007637043,0.007686661,1.006497,5.0E-5
7.3,1.2922429E-5,1.446535E-5,1.446535E-5,1.0,0.0,5.5380664E-5,6.199292E-5,6.199292E-5,1.0,0.0,6.74051E-4,7.5450784E-4,7.7449274E-4,1.0264874,2.0E-5,0.006720101,0.0075200438,0.0075696674,1.006599,5.0E-5
7.4,1.2768878E-5,1.429521E-5,1.429521E-5,1.0,0.0,5.4722615E-5,6.1263774E-5,6.1263774E-5,1.0,0.0,6.660441E-4,7.456367E-4,7.656218E-4,1.0268027,2.0E-5,0.0066405144,0.0074319285,0.0074815573,1.0066777,5.0E-5
7.5,1.2521929E-5,1.4023268E-5,1.4023268E-5,1.0,0.0,5.366431E-5,6.0098366E-5,6.0098366E-5,1.0,0.0,6.531671E-4,7.314574E-4,7.5144274E-4,1.0273226,2.0E-5,0.006512506,0.0072910753,0.007340711,1.0068077,5.0E-5
7.6,1.1301089E-5,1.2658322E-5,1.2658322E-5,1.0,0.0,4.8432343E-5,5.4248852E-5,5.4248852E-5,1.0,0.0,5.895042E-4,6.6028495E-4,6.8027177E-4,1.03027,2.0E-5,0.0058794282,0.0065837847,0.0066334554,1.0075444,5.0E-5
