Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0074807E-5,2.2518458E-5,2.2518458E-5,1.0,0.0,8.603206E-5,9.650415E-5,9.650415E-5,1.0,0.0,0.001046937,0.0011743121,0.0012042769,1.0255169,3.0E-5,0.010420183,0.011681983,0.011741282,1.0050762,6.0E-5
6.1,2.0074807E-5,2.2518458E-5,2.2518458E-5,1.0,0.0,8.603206E-5,9.650415E-5,9.650415E-5,1.0,0.0,0.001046937,0.0011743121,0.0012042769,1.0255169,3.0E-5,0.010420183,0.011681983,0.011741282,1.0050762,6.0E-5
6.2,2.0074807E-5,2.2518458E-5,2.2518458E-5,1.0,0.0,8.603206E-5,9.650415E-5,9.650415E-5,1.0,0.0,0.001046937,0.0011743121,0.0012042769,1.0255169,3.0E-5,0.010420183,0.011681983,0.011741282,1.0050762,6.0E-5
6.3,1.9050609E-5,2.135426E-5,2.135426E-5,1.0,0.0,8.164292E-5,9.151509E-5,9.151509E-5,1.0,0.0,9.935491E-4,0.0011136334,0.0011436,1.0269089,3.0E-5,0.009891188,0.011081354,0.011140688,1.0053545,6.0E-5
6.4,1.9050609E-5,2.135426E-5,2.135426E-5,1.0,0.0,8.164292E-5,9.151509E-5,9.151509E-5,1.0,0.0,9.935491E-4,0.0011136334,0.0011436,1.0269089,3.0E-5,0.009891188,0.011081354,0.011140688,1.0053545,6.0E-5
6.5,1.8367004E-5,2.0577616E-5,2.0577616E-5,1.0,0.0,7.8713354E-5,8.818684E-5,8.818684E-5,1.0,0.0,9.5791375E-4,0.0010731525,0.0011031203,1.027925,3.0E-5,0.009537951,0.01068049,0.010739849,1.0055578,6.0E-5
6.6,1.779439E-5,1.9926943E-5,1.9926943E-5,1.0,0.0,7.625944E-5,8.539843E-5,8.539843E-5,1.0,0.0,9.280632E-4,0.0010392363,0.0010692051,1.0288373,3.0E-5,0.009241969,0.010344524,0.010403903,1.0057402,6.0E-5
6.7,1.7025437E-5,1.9058689E-5,1.9058689E-5,1.0,0.0,7.296412E-5,8.167757E-5,8.167757E-5,1.0,0.0,8.87976E-4,9.93977E-4,0.0010239471,1.0301518,3.0E-5,0.008844362,0.0098960325,0.009955439,1.006003,6.0E-5
6.8,1.6545107E-5,1.8527426E-5,1.8527426E-5,1.0,0.0,7.090568E-5,7.9400874E-5,7.9400874E-5,1.0,0.0,8.629347E-4,9.6628297E-4,9.96254E-4,1.0310168,3.0E-5,0.008595915,0.00962152,0.009680943,1.006176,6.0E-5
6.9,1.615478E-5,1.8102213E-5,1.8102213E-5,1.0,0.0,6.9232934E-5,7.757864E-5,7.757864E-5,1.0,0.0,8.4258494E-4,9.441168E-4,9.7408844E-4,1.0317457,3.0E-5,0.008393973,0.009401754,0.009461189,1.0063218,6.0E-5
