Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.0179969E-4,2.0513387E-4,2.0513387E-4,1.0,0.0,4.362114E-4,8.7885E-4,8.8884117E-4,1.0113685,1.0E-5,0.0052979486,0.010647798,0.010667585,1.0018584,2.0E-5,0.051734097,0.10334714,0.10336507,1.0001736,2.0E-5
6.1,1.0179969E-4,2.0513387E-4,2.0513387E-4,1.0,0.0,4.362114E-4,8.7885E-4,8.8884117E-4,1.0113685,1.0E-5,0.0052979486,0.010647798,0.010667585,1.0018584,2.0E-5,0.051734097,0.10334714,0.10336507,1.0001736,2.0E-5
6.2,1.0179969E-4,2.0513387E-4,2.0513387E-4,1.0,0.0,4.362114E-4,8.7885E-4,8.8884117E-4,1.0113685,1.0E-5,0.0052979486,0.010647798,0.010667585,1.0018584,2.0E-5,0.051734097,0.10334714,0.10336507,1.0001736,2.0E-5
6.3,1.0179969E-4,2.0513387E-4,2.0513387E-4,1.0,0.0,4.362114E-4,8.7885E-4,8.8884117E-4,1.0113685,1.0E-5,0.0052979486,0.010647798,0.010667585,1.0018584,2.0E-5,0.051734097,0.10334714,0.10336507,1.0001736,2.0E-5
6.4,9.1639464E-5,1.8862031E-4,1.8862031E-4,1.0,0.0,3.9268145E-4,8.0812257E-4,8.181145E-4,1.0123644,1.0E-5,0.0047704205,0.009794632,0.009814437,1.0020219,2.0E-5,0.046693064,0.09567851,0.09569659,1.0001891,2.0E-5
6.5,9.1639464E-5,1.8862031E-4,1.8862031E-4,1.0,0.0,3.9268145E-4,8.0812257E-4,8.181145E-4,1.0123644,1.0E-5,0.0047704205,0.009794632,0.009814437,1.0020219,2.0E-5,0.046693064,0.09567851,0.09569659,1.0001891,2.0E-5
6.6,9.042622E-5,1.866807E-4,1.866807E-4,1.0,0.0,3.8748336E-4,7.99815E-4,8.0980704E-4,1.0124929,1.0E-5,0.0047074095,0.00969439,0.009714196,1.002043,2.0E-5,0.046089325,0.09476572,0.09478383,1.0001911,2.0E-5
6.7,8.9836685E-5,1.8582045E-4,1.8582045E-4,1.0,0.0,3.8495753E-4,7.961305E-4,8.0612255E-4,1.0125507,1.0E-5,0.00467679,0.009649929,0.009669736,1.0020525,2.0E-5,0.045795817,0.094359145,0.09437726,1.0001919,2.0E-5
6.8,8.9471854E-5,1.8528425E-4,1.8528425E-4,1.0,0.0,3.8339442E-4,7.938339E-4,8.0382597E-4,1.0125871,1.0E-5,0.004657841,0.009622215,0.009642023,1.0020585,2.0E-5,0.04561414,0.09410469,0.09412281,1.0001925,2.0E-5
6.9,8.858234E-5,1.8409711E-4,1.8409711E-4,1.0,0.0,3.7958333E-4,7.8874925E-4,7.9874136E-4,1.0126683,1.0E-5,0.004611638,0.009560853,0.0095806625,1.0020719,2.0E-5,0.04517103,0.09354269,0.09356082,1.0001938,2.0E-5
