Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.556969E-4,8.2744216E-4,8.2744216E-4,1.0,0.0,0.0023793848,0.0035420002,0.0035420002,1.0,0.0,0.028586963,0.04258572,0.04262402,1.0008993,4.0E-5,0.25176284,0.3445485,0.34458128,1.0000951,5.0E-5
6.1,1.925858E-4,3.167734E-4,3.167734E-4,1.0,0.0,8.2510663E-4,0.0013570045,0.0013570045,1.0,0.0,0.0099994885,0.016463788,0.016473623,1.0005974,1.0E-5,0.095613256,0.15315329,0.15317023,1.0001106,2.0E-5
6.2,9.4306815E-5,1.8637735E-4,1.8637735E-4,1.0,0.0,4.0410945E-4,7.9851685E-4,7.9851685E-4,1.0,0.0,0.0049089384,0.009678836,0.009678836,1.0,0.0,0.048019063,0.09355672,0.09355672,1.0,0.0
6.3,9.283051E-5,1.8332624E-4,1.8332624E-4,1.0,0.0,3.9778434E-4,7.8544853E-4,7.8544853E-4,1.0,0.0,0.0048322747,0.009521128,0.009521128,1.0,0.0,0.047285385,0.092206284,0.092206284,1.0,0.0
6.4,9.138826E-5,1.8092178E-4,1.8092178E-4,1.0,0.0,3.916052E-4,7.751499E-4,7.751499E-4,1.0,0.0,0.0047573745,0.0093968315,0.0093968315,1.0,0.0,0.046568092,0.09110157,0.09110157,1.0,0.0
6.5,9.000255E-5,1.7847955E-4,1.7847955E-4,1.0,0.0,3.8566816E-4,7.6468935E-4,7.6468935E-4,1.0,0.0,0.0046854047,0.009270566,0.009270566,1.0,0.0,0.045878403,0.08997778,0.08997778,1.0,0.0
6.6,8.8109264E-5,1.7524116E-4,1.7524116E-4,1.0,0.0,3.7755648E-4,7.508186E-4,7.508186E-4,1.0,0.0,0.0045870654,0.009103129,0.009103129,1.0,0.0,0.04493529,0.088492416,0.088492416,1.0,0.0
6.7,8.738073E-5,1.7390113E-4,1.7390113E-4,1.0,0.0,3.7443507E-4,7.450789E-4,7.450789E-4,1.0,0.0,0.0045492216,0.00903387,0.00903387,1.0,0.0,0.04457213,0.08788955,0.08788955,1.0,0.0
6.8,8.710195E-5,1.733474E-4,1.733474E-4,1.0,0.0,3.7324068E-4,7.427071E-4,7.427071E-4,1.0,0.0,0.0045347405,0.00900524,0.00900524,1.0,0.0,0.04443313,0.08763391,0.08763391,1.0,0.0
6.9,8.6801556E-5,1.7274925E-4,1.7274925E-4,1.0,0.0,3.7195362E-4,7.4014504E-4,7.4014504E-4,1.0,0.0,0.0045191357,0.008974304,0.008974304,1.0,0.0,0.044283327,0.08735735,0.08735735,1.0,0.0
7.0,8.5571606E-5,1.7024668E-4,1.7024668E-4,1.0,0.0,3.6668387E-4,7.2942575E-4,7.2942575E-4,1.0,0.0,0.004455241,0.008844865,0.008844865,1.0,0.0,0.043669727,0.08619535,0.08619535,1.0,0.0
7.1,7.82589E-5,1.5491617E-4,1.5491617E-4,1.0,0.0,3.3535215E-4,6.6375826E-4,6.6375826E-4,1.0,0.0,0.0040752706,0.00805149,0.00805149,1.0,0.0,0.040013418,0.0790677,0.0790677,1.0,0.0
7.2,7.690929E-5,1.5226092E-4,1.5226092E-4,1.0,0.0,3.2956956E-4,6.5238436E-4,6.5238436E-4,1.0,0.0,0.004005129,0.007914027,0.007914027,1.0,0.0,0.0393371,0.07783194,0.07783194,1.0,0.0
7.3,7.5543794E-5,1.4918107E-4,1.4918107E-4,1.0,0.0,3.2371894E-4,6.391915E-4,6.391915E-4,1.0,0.0,0.003934157,0.0077545578,0.0077545578,1.0,0.0,0.038652334,0.07637734,0.07637734,1.0,0.0
7.4,7.4214564E-5,1.4614301E-4,1.4614301E-4,1.0,0.0,3.1802364E-4,6.261776E-4,6.261776E-4,1.0,0.0,0.003865065,0.007597229,0.007597229,1.0,0.0,0.03798529,0.07493406,0.07493406,1.0,0.0
7.5,6.149578E-5,1.14938E-4,1.14938E-4,1.0,0.0,2.6352672E-4,4.924985E-4,4.924985E-4,1.0,0.0,0.0032037178,0.005979718,0.005979718,1.0,0.0,0.03157923,0.059952214,0.059952214,1.0,0.0
7.6,6.0643448E-5,1.1319707E-4,1.1319707E-4,1.0,0.0,2.598746E-4,4.8504022E-4,4.8504022E-4,1.0,0.0,0.0031593828,0.005889408,0.005889408,1.0,0.0,0.031148417,0.059102565,0.059102565,1.0,0.0
7.7,5.1652263E-5,9.444703E-5,9.444703E-5,1.0,0.0,2.2134806E-4,4.047102E-4,4.047102E-4,1.0,0.0,0.002691582,0.0049162256,0.0049162256,1.0,0.0,0.026592141,0.049797118,0.049797118,1.0,0.0
7.8,4.8090482E-5,8.808308E-5,8.808308E-5,1.0,0.0,2.060858E-4,3.7744432E-4,3.7744432E-4,1.0,0.0,0.0025062072,0.0045857104,0.0045857104,1.0,0.0,0.024781305,0.04646787,0.04646787,1.0,0.0
