Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.849728E-6,3.894957E-6,3.894957E-6,1.0,0.0,1.649873E-5,1.6692591E-5,2.6692423E-5,1.5990582,1.0E-5,2.0085352E-4,2.0321771E-4,2.3321161E-4,1.1475949,3.0E-5,0.0020067208,0.002030748,0.0020706668,1.0196571,4.0E-5
6.1,3.849728E-6,3.894957E-6,3.894957E-6,1.0,0.0,1.649873E-5,1.6692591E-5,2.6692423E-5,1.5990582,1.0E-5,2.0085352E-4,2.0321771E-4,2.3321161E-4,1.1475949,3.0E-5,0.0020067208,0.002030748,0.0020706668,1.0196571,4.0E-5
6.2,3.849728E-6,3.894957E-6,3.894957E-6,1.0,0.0,1.649873E-5,1.6692591E-5,2.6692423E-5,1.5990582,1.0E-5,2.0085352E-4,2.0321771E-4,2.3321161E-4,1.1475949,3.0E-5,0.0020067208,0.002030748,0.0020706668,1.0196571,4.0E-5
6.3,3.849728E-6,3.894957E-6,3.894957E-6,1.0,0.0,1.649873E-5,1.6692591E-5,2.6692423E-5,1.5990582,1.0E-5,2.0085352E-4,2.0321771E-4,2.3321161E-4,1.1475949,3.0E-5,0.0020067208,0.002030748,0.0020706668,1.0196571,4.0E-5
6.4,3.849728E-6,3.894957E-6,3.894957E-6,1.0,0.0,1.649873E-5,1.6692591E-5,2.6692423E-5,1.5990582,1.0E-5,2.0085352E-4,2.0321771E-4,2.3321161E-4,1.1475949,3.0E-5,0.0020067208,0.002030748,0.0020706668,1.0196571,4.0E-5
6.5,1.1953545E-6,1.2032147E-6,1.2032147E-6,1.0,0.0,5.1229376E-6,5.156625E-6,5.156625E-6,1.0,0.0,6.236998E-5,6.2780215E-5,6.2780215E-5,1.0,0.0,6.235248E-4,6.276365E-4,6.276365E-4,1.0,0.0
6.6,1.1953545E-6,1.2032147E-6,1.2032147E-6,1.0,0.0,5.1229376E-6,5.156625E-6,5.156625E-6,1.0,0.0,6.236998E-5,6.2780215E-5,6.2780215E-5,1.0,0.0,6.235248E-4,6.276365E-4,6.276365E-4,1.0,0.0
6.7,8.375951E-7,8.412009E-7,8.412009E-7,1.0,0.0,3.5896885E-6,3.6051422E-6,3.6051422E-6,1.0,0.0,4.370358E-5,4.389178E-5,4.389178E-5,1.0,0.0,4.3694986E-4,4.3883684E-4,4.3883684E-4,1.0,0.0
6.8,6.38041E-7,6.393339E-7,6.393339E-7,1.0,0.0,2.7344586E-6,2.74E-6,2.74E-6,1.0,0.0,3.3291526E-5,3.3359025E-5,3.3359025E-5,1.0,0.0,3.3286537E-4,3.3354398E-4,3.3354398E-4,1.0,0.0
6.9,5.3460053E-7,5.346431E-7,5.346431E-7,1.0,0.0,2.2911431E-6,2.291326E-6,2.291326E-6,1.0,0.0,2.789431E-5,2.7896569E-5,2.7896569E-5,1.0,0.0,2.789081E-4,2.78934E-4,2.78934E-4,1.0,0.0
7.0,3.557783E-7,3.5333522E-7,3.5333522E-7,1.0,0.0,1.5247632E-6,1.514293E-6,1.514293E-6,1.0,0.0,1.8563835E-5,1.843637E-5,1.843637E-5,1.0,0.0,1.8562283E-4,1.8434925E-4,1.8434925E-4,1.0,0.0
7.1,3.037942E-7,3.0010665E-7,3.0010665E-7,1.0,0.0,1.3019744E-6,1.2861707E-6,1.2861707E-6,1.0,0.0,1.5851423E-5,1.5659023E-5,1.5659023E-5,1.0,0.0,1.5850292E-4,1.5657995E-4,1.5657995E-4,1.0,0.0
7.2,2.0808248E-7,2.0224587E-7,2.0224587E-7,1.0,0.0,8.917818E-7,8.667677E-7,8.667677E-7,1.0,0.0,1.0857389E-5,1.0552851E-5,1.0552851E-5,1.0,0.0,1.0856859E-4,1.0552396E-4,1.0552396E-4,1.0,0.0
7.3,1.1162073E-7,1.0641119E-7,1.0641119E-7,1.0,0.0,4.7837443E-7,4.560479E-7,4.560479E-7,1.0,0.0,5.8241935E-6,5.552371E-6,5.552371E-6,1.0,0.0,5.8240406E-5,5.5522523E-5,5.5522523E-5,1.0,0.0
