Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.1,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.2,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.3,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.4,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.5,1.6763008E-5,2.5151874E-5,2.5151874E-5,1.0,0.0,7.183948E-5,1.077897E-4,1.077897E-4,1.0,0.0,8.742947E-4,0.0013116217,0.0013116217,1.0,0.0,0.00870863,0.01314964,0.013166365,1.001272,1.6949152E-5
6.6,9.910213E-6,1.7596816E-5,1.7596816E-5,1.0,0.0,4.247165E-5,7.541277E-5,7.541277E-5,1.0,0.0,5.169696E-4,9.1776747E-4,9.1776747E-4,1.0,0.0,0.0051576863,0.009244191,0.009260984,1.0018165,1.6949152E-5
6.7,9.910213E-6,1.7596816E-5,1.7596816E-5,1.0,0.0,4.247165E-5,7.541277E-5,7.541277E-5,1.0,0.0,5.169696E-4,9.1776747E-4,9.1776747E-4,1.0,0.0,0.0051576863,0.009244191,0.009260984,1.0018165,1.6949152E-5
6.8,8.300162E-6,1.5855352E-5,1.5855352E-5,1.0,0.0,3.557164E-5,6.7949746E-5,6.7949746E-5,1.0,0.0,4.3299864E-4,8.269756E-4,8.269756E-4,1.0,0.0,0.004321559,0.008343249,0.008343249,1.0,0.0
6.9,8.183114E-6,1.5726395E-5,1.5726395E-5,1.0,0.0,3.5070017E-5,6.73971E-5,6.73971E-5,1.0,0.0,4.2689382E-4,8.2025223E-4,8.2025223E-4,1.0,0.0,0.0042607468,0.008276517,0.008276517,1.0,0.0
7.0,7.1748823E-6,1.4508649E-5,1.4508649E-5,1.0,0.0,3.0749135E-5,6.217844E-5,6.217844E-5,1.0,0.0,3.743064E-4,7.567602E-4,7.567602E-4,1.0,0.0,0.0037367654,0.007645698,0.007645698,1.0,0.0
7.1,7.1671807E-6,1.4498968E-5,1.4498968E-5,1.0,0.0,3.0716128E-5,6.2136955E-5,6.2136955E-5,1.0,0.0,3.7390468E-4,7.562554E-4,7.562554E-4,1.0,0.0,0.0037327618,0.007640685,0.007640685,1.0,0.0
7.2,7.0649667E-6,1.4345022E-5,1.4345022E-5,1.0,0.0,3.0278077E-5,6.1477214E-5,6.1477214E-5,1.0,0.0,3.6857324E-4,7.4822863E-4,7.4822863E-4,1.0,0.0,0.0036796255,0.007560829,0.007560829,1.0,0.0
7.3,7.02082E-6,1.4287755E-5,1.4287755E-5,1.0,0.0,3.008888E-5,6.12318E-5,6.12318E-5,1.0,0.0,3.6627054E-4,7.4524275E-4,7.4524275E-4,1.0,0.0,0.0036566744,0.0075309603,0.0075309603,1.0,0.0
7.4,6.987146E-6,1.4246909E-5,1.4246909E-5,1.0,0.0,2.9944567E-5,6.105676E-5,6.105676E-5,1.0,0.0,3.6451413E-4,7.43113E-4,7.43113E-4,1.0,0.0,0.0036391679,0.007509692,0.007509692,1.0,0.0
7.5,6.9494554E-6,1.4203505E-5,1.4203505E-5,1.0,0.0,2.9783041E-5,6.087075E-5,6.087075E-5,1.0,0.0,3.625482E-4,7.408499E-4,7.408499E-4,1.0,0.0,0.0036195726,0.007487165,0.007487165,1.0,0.0
7.6,6.92694E-6,1.4162044E-5,1.4162044E-5,1.0,0.0,2.9686547E-5,6.0693066E-5,6.0693066E-5,1.0,0.0,3.6137376E-4,7.386881E-4,7.386881E-4,1.0,0.0,0.0036078666,0.0074656312,0.0074656312,1.0,0.0
7.7,6.395867E-6,1.3025254E-5,1.3025254E-5,1.0,0.0,2.741057E-5,5.5821325E-5,5.5821325E-5,1.0,0.0,3.336726E-4,6.7941303E-4,6.7941303E-4,1.0,0.0,0.0033317201,0.0068764156,0.0068764156,1.0,0.0
7.8,5.8664327E-6,1.1862054E-5,1.1862054E-5,1.0,0.0,2.5141611E-5,5.083638E-5,5.083638E-5,1.0,0.0,3.060561E-4,6.187574E-4,6.187574E-4,1.0,0.0,0.0030563495,0.006266286,0.006266286,1.0,0.0
7.9,3.7167474E-6,7.311904E-6,7.311904E-6,1.0,0.0,1.592882E-5,3.1336356E-5,3.1336356E-5,1.0,0.0,1.9391612E-4,3.8145352E-4,3.8145352E-4,1.0,0.0,0.0019374699,0.0038679536,0.0038679536,1.0,0.0
8.0,1.0903841E-6,1.3316964E-6,1.3316964E-6,1.0,0.0,4.6730665E-6,5.7072575E-6,5.7072575E-6,1.0,0.0,5.68931E-5,6.9483656E-5,6.9483656E-5,1.0,0.0,5.6878536E-4,7.1713596E-4,7.1713596E-4,1.0,0.0
8.1,2.6894583E-7,1.18020544E-7,1.18020544E-7,1.0,0.0,1.1526245E-6,5.0580223E-7,5.0580223E-7,1.0,0.0,1.4033113E-5,6.158125E-6,6.158125E-6,1.0,0.0,1.4032227E-4,6.87054E-5,6.87054E-5,1.0,0.0
8.2,5.2967013E-9,2.6330147E-9,2.6330147E-9,1.0,0.0,2.2700148E-8,1.12843495E-8,1.12843495E-8,1.0,0.0,2.7637427E-7,1.3738693E-7,1.3738693E-7,1.0,0.0,2.7637393E-6,1.557188E-6,1.557188E-6,1.0,0.0
