Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.803051E-4,6.9724274E-4,1.0248971,1.6949152E-5,0.0013306376,0.0029124643,0.002929364,1.0058026,1.6949152E-5,0.016080605,0.034851927,0.034950078,1.0028162,1.0169492E-4,0.1496549,0.288512,0.2885964,1.0002925,1.1864407E-4
6.1,3.1064058E-4,6.803051E-4,6.9724274E-4,1.0248971,1.6949152E-5,0.0013306376,0.0029124643,0.002929364,1.0058026,1.6949152E-5,0.016080605,0.034851927,0.034950078,1.0028162,1.0169492E-4,0.1496549,0.288512,0.2885964,1.0002925,1.1864407E-4
6.2,3.1064058E-4,6.803051E-4,6.9724274E-4,1.0248971,1.6949152E-5,0.0013306376,0.0029124643,0.002929364,1.0058026,1.6949152E-5,0.016080605,0.034851927,0.034950078,1.0028162,1.0169492E-4,0.1496549,0.288512,0.2885964,1.0002925,1.1864407E-4
6.3,3.1064058E-4,6.803051E-4,6.9724274E-4,1.0248971,1.6949152E-5,0.0013306376,0.0029124643,0.002929364,1.0058026,1.6949152E-5,0.016080605,0.034851927,0.034950078,1.0028162,1.0169492E-4,0.1496549,0.288512,0.2885964,1.0002925,1.1864407E-4
6.4,1.9872203E-4,4.372217E-4,4.541634E-4,1.0387486,1.6949152E-5,8.5138786E-4,0.0018724899,0.0018894073,1.0090348,1.6949152E-5,0.010316478,0.022565454,0.022664854,1.004405,1.0169492E-4,0.098504856,0.19901595,0.19911097,1.0004776,1.1864407E-4
6.5,1.291105E-4,2.926863E-4,3.096305E-4,1.057892,1.6949152E-5,5.5321335E-4,0.0012537696,0.0012706976,1.0135016,1.6949152E-5,0.006714592,0.015158655,0.015258809,1.006607,1.0169492E-4,0.065152965,0.14012633,0.14022836,1.000728,1.1864407E-4
6.6,1.291105E-4,2.926863E-4,3.096305E-4,1.057892,1.6949152E-5,5.5321335E-4,0.0012537696,0.0012706976,1.0135016,1.6949152E-5,0.006714592,0.015158655,0.015258809,1.006607,1.0169492E-4,0.065152965,0.14012633,0.14022836,1.000728,1.1864407E-4
6.7,1.08001186E-4,2.4842174E-4,2.6536666E-4,1.0682104,1.6949152E-5,4.6278012E-4,0.0010642307,0.0010811619,1.0159092,1.6949152E-5,0.0056198016,0.012880347,0.012980731,1.0077937,1.0169492E-4,0.054797906,0.12132011,0.12142436,1.0008593,1.1864407E-4
6.8,1.0624356E-4,2.4358416E-4,2.605292E-4,1.0695654,1.6949152E-5,4.5525006E-4,0.001043515,0.0010604465,1.0162255,1.6949152E-5,0.0055285925,0.012631075,0.012731486,1.0079495,1.0169492E-4,0.053930566,0.11926875,0.11937325,1.0008761,1.1864407E-4
6.9,1.0393785E-4,2.3726874E-4,2.5421387E-4,1.0714175,1.6949152E-5,4.4537184E-4,0.0010164703,0.0010334022,1.0166576,1.6949152E-5,0.0054089287,0.012305565,0.012406009,1.0081625,1.0169492E-4,0.05279156,0.11656059,0.11666541,1.0008992,1.1864407E-4
