Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.6200685E-5,2.6536545E-5,2.6536545E-5,1.0,0.0,3.6937918E-4,1.1372311E-4,1.1372311E-4,1.0,0.0,0.0044879215,0.0013837012,0.0014006268,1.0122322,1.6949152E-5,0.043983612,0.015496844,0.015513531,1.0010768,1.6949152E-5
6.1,8.6200685E-5,2.6536545E-5,2.6536545E-5,1.0,0.0,3.6937918E-4,1.1372311E-4,1.1372311E-4,1.0,0.0,0.0044879215,0.0013837012,0.0014006268,1.0122322,1.6949152E-5,0.043983612,0.015496844,0.015513531,1.0010768,1.6949152E-5
6.2,8.6200685E-5,2.6536545E-5,2.6536545E-5,1.0,0.0,3.6937918E-4,1.1372311E-4,1.1372311E-4,1.0,0.0,0.0044879215,0.0013837012,0.0014006268,1.0122322,1.6949152E-5,0.043983612,0.015496844,0.015513531,1.0010768,1.6949152E-5
6.3,8.551163E-5,2.6218822E-5,2.6218822E-5,1.0,0.0,3.6642692E-4,1.1236155E-4,1.1236155E-4,1.0,0.0,0.004452125,0.0013671452,0.0013840712,1.0123805,1.6949152E-5,0.043639794,0.015319543,0.015336232,1.0010895,1.6949152E-5
6.4,8.551163E-5,2.6218822E-5,2.6218822E-5,1.0,0.0,3.6642692E-4,1.1236155E-4,1.1236155E-4,1.0,0.0,0.004452125,0.0013671452,0.0013840712,1.0123805,1.6949152E-5,0.043639794,0.015319543,0.015336232,1.0010895,1.6949152E-5
6.5,8.511146E-5,2.603478E-5,2.603478E-5,1.0,0.0,3.647124E-4,1.1157287E-4,1.1157287E-4,1.0,0.0,0.004431336,0.001357555,0.0013744811,1.0124681,1.6949152E-5,0.04344007,0.015216432,0.015233123,1.001097,1.6949152E-5
6.6,8.4985084E-5,2.5963698E-5,2.5963698E-5,1.0,0.0,3.6417096E-4,1.1126825E-4,1.1126825E-4,1.0,0.0,0.0044247704,0.0013538509,0.0013707771,1.0125023,1.6949152E-5,0.043376986,0.015178012,0.015194704,1.0010997,1.6949152E-5
6.7,8.462618E-5,2.5787478E-5,2.5787478E-5,1.0,0.0,3.6263323E-4,1.1051309E-4,1.1051309E-4,1.0,0.0,0.004406125,0.0013446682,0.0013615945,1.0125878,1.6949152E-5,0.043197807,0.015080341,0.015097034,1.001107,1.6949152E-5
6.8,8.42337E-5,2.567951E-5,2.567951E-5,1.0,0.0,3.6095164E-4,1.1005041E-4,1.1005041E-4,1.0,0.0,0.004385734,0.001339042,0.0013559684,1.0126407,1.6949152E-5,0.043001823,0.015018939,0.015035633,1.0011116,1.6949152E-5
6.9,8.365989E-5,2.5478512E-5,2.5478512E-5,1.0,0.0,3.5849313E-4,1.0918906E-4,1.0918906E-4,1.0,0.0,0.004355922,0.0013285679,0.0013454945,1.0127405,1.6949152E-5,0.04271523,0.014908531,0.0149252275,1.00112,1.6949152E-5
