Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,9.88407,0.0,16.0,4.0,3.0,0.9715,0.00282,3.1722
2.6,7.84889,0.0,13.0,3.0,2.0,0.94095,0.00282,2.52151
2.7,6.23419,0.0,10.0,2.0,2.0,0.89681,0.00282,2.00447
2.8,4.95156,0.0,9.0,2.0,1.0,0.839,0.00282,1.59234
2.9,3.93105,0.0,7.0,1.0,1.0,0.7672,0.00282,1.26495
3.0,3.11772,0.0,6.0,1.0,1.0,0.68878,0.00282,1.00338
3.1,2.47741,0.0,5.0,1.0,0.0,0.60831,0.00282,0.7971
3.2,1.96768,0.0,4.0,1.0,0.0,0.52804,0.00282,0.63337
3.3,1.56103,0.0,4.0,0.0,0.0,0.45319,0.00282,0.50227
3.4,1.24095,0.0,3.0,0.0,0.0,0.38519,0.00282,0.39883
3.5,0.98517,0.0,3.0,0.0,0.0,0.32268,0.00282,0.31646
3.6,0.78266,0.0,3.0,0.0,0.0,0.26848,0.00282,0.25088
3.7,0.62153,0.0,2.0,0.0,0.0,0.22284,0.00282,0.20008
3.8,0.49344,0.0,2.0,0.0,0.0,0.18284,0.00282,0.15828
3.9,0.39205,0.0,2.0,0.0,0.0,0.15012,0.00282,0.12615
4.0,0.31137,0.0,1.0,0.0,0.0,0.12241,0.00282,0.09985
4.1,0.24733,0.0,1.0,0.0,0.0,0.09969,0.00282,0.07931
4.2,0.19621,0.0,1.0,0.0,0.0,0.08101,0.00282,0.06279
4.3,0.15717,0.0,1.0,0.0,0.0,0.06628,0.00282,0.05019
4.4,0.12518,0.0,1.0,0.0,0.0,0.05436,0.00282,0.04025
4.5,0.09893,0.0,1.0,0.0,0.0,0.04422,0.00282,0.03195
4.6,0.07891,0.0,1.0,0.0,0.0,0.03662,0.00282,0.02593
4.7,0.06306,0.0,1.0,0.0,0.0,0.03032,0.00282,0.02102
4.8,0.04981,0.0,0.0,0.0,0.0,0.02492,0.00282,0.0167
4.9,0.0392,0.0,0.0,0.0,0.0,0.02039,0.00282,0.01328
5.0,0.03161,0.0,0.0,0.0,0.0,0.01687,0.00282,0.01082
5.1,0.02511,0.0,0.0,0.0,0.0,0.01404,0.00282,0.00878
5.2,0.0198,0.0,0.0,0.0,0.0,0.01154,0.00282,0.00712
5.3,0.01567,0.0,0.0,0.0,0.0,0.00965,0.00282,0.00597
5.4,0.01216,0.0,0.0,0.0,0.0,0.0079,0.00282,0.00482
5.5,0.00957,0.0,0.0,0.0,0.0,0.00654,0.00282,0.00403
5.6,0.0076,0.0,0.0,0.0,0.0,0.00558,0.00282,0.00346
5.7,0.00592,0.0,0.0,0.0,0.0,0.00461,0.00282,0.00286
5.8,0.00462,0.0,0.0,0.0,0.0,0.00381,0.00282,0.00241
5.9,0.00354,0.0,0.0,0.0,0.0,0.0031,0.00273,0.00199
6.0,0.00312,0.0,0.0,0.0,0.0,0.00278,0.00254,0.00182
6.1,0.00278,0.0,0.0,0.0,0.0,0.0026,0.0025,0.00179
6.2,0.00262,0.0,0.0,0.0,0.0,0.00247,0.00242,0.00172
6.3,0.00251,0.0,0.0,0.0,0.0,0.00241,0.00236,0.00167
6.4,0.00202,0.0,0.0,0.0,0.0,0.00194,0.0019,0.00129
6.5,0.00176,0.0,0.0,0.0,0.0,0.00168,0.00166,0.00111
6.6,0.00143,0.0,0.0,0.0,0.0,0.00139,0.00139,9.6E-4
6.7,0.00131,0.0,0.0,0.0,0.0,0.00129,0.00129,8.9E-4
6.8,0.0011,0.0,0.0,0.0,0.0,0.00108,0.00108,7.4E-4
6.9,9.2E-4,0.0,0.0,0.0,0.0,9.1E-4,9.1E-4,6.5E-4
7.0,7.4E-4,0.0,0.0,0.0,0.0,7.3E-4,7.3E-4,5.5E-4
7.1,7.3E-4,0.0,0.0,0.0,0.0,7.2E-4,7.2E-4,5.4E-4
7.2,5.9E-4,0.0,0.0,0.0,0.0,5.9E-4,5.9E-4,4.3E-4
7.3,5.5E-4,0.0,0.0,0.0,0.0,5.5E-4,5.5E-4,4.0E-4
7.4,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,3.4E-4,2.3E-4
7.5,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,2.3E-4,1.6E-4
7.6,1.5E-4,0.0,0.0,0.0,0.0,1.5E-4,1.5E-4,1.1E-4
7.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,7.0E-5
7.8,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,6.0E-5
7.9,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
8.0,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
