Magnitude,ComCat Data
0.0,301.0
0.1,301.0
0.2,301.0
0.3,301.0
0.4,301.0
0.5,301.0
0.6,301.0
0.7,301.0
0.8,301.0
0.9,301.0
1.0,301.0
1.1,300.0
1.2,299.0
1.3,289.0
1.4,275.0
1.5,247.0
1.6,224.0
1.7,205.0
1.8,184.0
1.9,160.0
2.0,145.0
2.1,129.0
2.2,116.0
2.3,100.0
2.4,81.0
2.5,70.0
2.6,60.0
2.7,48.0
2.8,41.0
2.9,37.0
3.0,33.0
3.1,31.0
3.2,23.0
3.3,18.0
3.4,13.0
3.5,7.0
3.6,6.0
3.7,5.0
3.8,4.0
3.9,4.0
4.0,4.0
4.1,3.0
4.2,1.0
4.3,1.0
4.4,1.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
