Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.5131142E-5,7.066859E-5,7.066859E-5,1.0,0.0,2.3625491E-4,3.0283057E-4,3.0283057E-4,1.0,0.0,0.0028726095,0.0036807938,0.0036907569,1.0027068,1.0E-5,0.028357591,0.036306854,0.03631649,1.0002655,1.0E-5
6.1,5.5131142E-5,7.066859E-5,7.066859E-5,1.0,0.0,2.3625491E-4,3.0283057E-4,3.0283057E-4,1.0,0.0,0.0028726095,0.0036807938,0.0036907569,1.0027068,1.0E-5,0.028357591,0.036306854,0.03631649,1.0002655,1.0E-5
6.2,4.216245E-5,5.204706E-5,5.204706E-5,1.0,0.0,1.806837E-4,2.2303993E-4,2.2303993E-4,1.0,0.0,0.0021976046,0.0027121613,0.002722134,1.0036771,1.0E-5,0.021759989,0.026870111,0.026879841,1.0003622,1.0E-5
6.3,4.216245E-5,5.204706E-5,5.204706E-5,1.0,0.0,1.806837E-4,2.2303993E-4,2.2303993E-4,1.0,0.0,0.0021976046,0.0027121613,0.002722134,1.0036771,1.0E-5,0.021759989,0.026870111,0.026879841,1.0003622,1.0E-5
6.4,3.6858168E-5,4.4480963E-5,4.4480963E-5,1.0,0.0,1.5795401E-4,1.9061891E-4,1.9061891E-4,1.0,0.0,0.0019213937,0.0023183406,0.0023283174,1.0043035,1.0E-5,0.019048655,0.0230343,0.02304407,1.0004241,1.0E-5
6.5,3.39199E-5,4.0381747E-5,4.0381747E-5,1.0,0.0,1.453629E-4,1.7305327E-4,1.7305327E-4,1.0,0.0,0.0017683565,0.0021049096,0.0021148885,1.0047408,1.0E-5,0.017543508,0.020934941,0.020944731,1.0004677,1.0E-5
6.6,3.3571985E-5,3.9834733E-5,3.9834733E-5,1.0,0.0,1.4387199E-4,1.7070923E-4,1.7070923E-4,1.0,0.0,0.0017502342,0.0020764256,0.002086405,1.0048059,1.0E-5,0.017365133,0.020655293,0.020665087,1.0004741,1.0E-5
6.7,3.2580007E-5,3.8448794E-5,3.8448794E-5,1.0,0.0,1.3962112E-4,1.6477026E-4,1.6477026E-4,1.0,0.0,0.0016985617,0.002004254,0.0020142337,1.0049794,1.0E-5,0.016856372,0.0199541,0.019963901,1.0004911,1.0E-5
6.8,3.2185937E-5,3.787392E-5,3.787392E-5,1.0,0.0,1.3793244E-4,1.6230682E-4,1.6230682E-4,1.0,0.0,0.0016780337,0.001974316,0.0019842964,1.0050551,1.0E-5,0.016654192,0.019659849,0.019669652,1.0004987,1.0E-5
6.9,3.165394E-5,3.7076166E-5,3.7076166E-5,1.0,0.0,1.3565269E-4,1.588883E-4,1.588883E-4,1.0,0.0,0.0016503202,0.0019327702,0.0019427509,1.0051639,1.0E-5,0.01638118,0.019252008,0.019261817,1.0005094,1.0E-5
