Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2407607E-5,2.3668592E-5,2.3668592E-5,1.0,0.0,9.602906E-5,1.0143313E-4,1.0143313E-4,1.0,0.0,0.0011685267,0.0012342929,0.0012442805,1.0080918,1.0E-5,0.011624013,0.01227889,0.012288768,1.0008044,1.0E-5
6.1,2.2407607E-5,2.3668592E-5,2.3668592E-5,1.0,0.0,9.602906E-5,1.0143313E-4,1.0143313E-4,1.0,0.0,0.0011685267,0.0012342929,0.0012442805,1.0080918,1.0E-5,0.011624013,0.01227889,0.012288768,1.0008044,1.0E-5
6.2,1.0781252E-5,1.1370958E-5,1.1370958E-5,1.0,0.0,4.620455E-5,4.873179E-5,4.873179E-5,1.0,0.0,5.623952E-4,5.931521E-4,5.931521E-4,1.0,0.0,0.00560974,0.005916108,0.005916108,1.0,0.0
6.3,1.0781252E-5,1.1370958E-5,1.1370958E-5,1.0,0.0,4.620455E-5,4.873179E-5,4.873179E-5,1.0,0.0,5.623952E-4,5.931521E-4,5.931521E-4,1.0,0.0,0.00560974,0.005916108,0.005916108,1.0,0.0
6.4,7.814439E-6,8.241564E-6,8.241564E-6,1.0,0.0,3.3490025E-5,3.5320518E-5,3.5320518E-5,1.0,0.0,4.0766477E-4,4.2994384E-4,4.2994384E-4,1.0,0.0,0.0040691774,0.004291267,0.004291267,1.0,0.0
6.5,6.4986366E-6,6.8541117E-6,6.8541117E-6,1.0,0.0,2.7851002E-5,2.937444E-5,2.937444E-5,1.0,0.0,3.390332E-4,3.5757603E-4,3.5757603E-4,1.0,0.0,0.003385164,0.003570103,0.003570103,1.0,0.0
6.6,5.582177E-6,5.8887595E-6,5.8887595E-6,1.0,0.0,2.3923398E-5,2.52373E-5,2.52373E-5,1.0,0.0,2.9122844E-4,3.0722152E-4,3.0722152E-4,1.0,0.0,0.0029084706,0.0030680415,0.0030680415,1.0,0.0
6.7,4.6858763E-6,4.942734E-6,4.942734E-6,1.0,0.0,2.0082172E-5,2.1182977E-5,2.1182977E-5,1.0,0.0,2.4447302E-4,2.5787277E-4,2.5787277E-4,1.0,0.0,0.0024420423,0.002575792,0.002575792,1.0,0.0
6.8,3.5584908E-6,3.7537718E-6,3.7537718E-6,1.0,0.0,1.5250586E-5,1.6087497E-5,1.6087497E-5,1.0,0.0,1.8566006E-4,1.9584807E-4,1.9584807E-4,1.0,0.0,0.0018550502,0.0019567958,0.0019567958,1.0,0.0
6.9,2.532834E-6,2.6722553E-6,2.6722553E-6,1.0,0.0,1.0854958E-5,1.1452474E-5,1.1452474E-5,1.0,0.0,1.3215111E-4,1.3942523E-4,1.3942523E-4,1.0,0.0,0.0013207254,0.0013934051,0.0013934051,1.0,0.0
7.0,1.7083285E-6,1.8027921E-6,1.8027921E-6,1.0,0.0,7.3213873E-6,7.72623E-6,7.72623E-6,1.0,0.0,8.913424E-5,9.406296E-5,9.406296E-5,1.0,0.0,8.9098496E-4,9.4024796E-4,9.4024796E-4,1.0,0.0
7.1,1.0905424E-6,1.1502983E-6,1.1502983E-6,1.0,0.0,4.6737446E-6,4.9298415E-6,4.9298415E-6,1.0,0.0,5.6901354E-5,6.0019265E-5,6.0019265E-5,1.0,0.0,5.6886784E-4,6.000403E-4,6.000403E-4,1.0,0.0
7.2,6.06668E-7,6.390177E-7,6.390177E-7,1.0,0.0,2.600003E-6,2.7386448E-6,2.7386448E-6,1.0,0.0,3.1654577E-5,3.334256E-5,3.334256E-5,1.0,0.0,3.1650066E-4,3.3338243E-4,3.3338243E-4,1.0,0.0
