Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.31567E-5,2.367261E-4,0.0013464633,5.6878533,0.00111,3.5633717E-4,0.0010141394,0.0027024255,2.6647477,0.00169,0.004329778,0.012277169,0.014657581,1.1938894,0.00241,0.042463828,0.11376813,0.11655089,1.02446,0.00314
6.1,8.31567E-5,2.367261E-4,0.0013464633,5.6878533,0.00111,3.5633717E-4,0.0010141394,0.0027024255,2.6647477,0.00169,0.004329778,0.012277169,0.014657581,1.1938894,0.00241,0.042463828,0.11376813,0.11655089,1.02446,0.00314
6.2,8.31567E-5,2.367261E-4,0.0013464633,5.6878533,0.00111,3.5633717E-4,0.0010141394,0.0027024255,2.6647477,0.00169,0.004329778,0.012277169,0.014657581,1.1938894,0.00241,0.042463828,0.11376813,0.11655089,1.02446,0.00314
6.3,8.31567E-5,2.367261E-4,0.0013464633,5.6878533,0.00111,3.5633717E-4,0.0010141394,0.0027024255,2.6647477,0.00169,0.004329778,0.012277169,0.014657581,1.1938894,0.00241,0.042463828,0.11376813,0.11655089,1.02446,0.00314
6.4,8.059055E-5,2.3228588E-4,0.001342028,5.7774844,0.00111,3.4534236E-4,9.951292E-4,0.0026834474,2.6965818,0.00169,0.0041964394,0.012048633,0.014429595,1.1976126,0.00241,0.041180745,0.111745566,0.1145258,1.02488,0.00313
6.5,8.059055E-5,2.3228588E-4,0.001342028,5.7774844,0.00111,3.4534236E-4,9.951292E-4,0.0026834474,2.6965818,0.00169,0.0041964394,0.012048633,0.014429595,1.1976126,0.00241,0.041180745,0.111745566,0.1145258,1.02488,0.00313
6.6,7.619237E-5,2.2470883E-4,0.0013344594,5.938616,0.00111,3.2649786E-4,9.6268475E-4,0.0026410674,2.7434397,0.00168,0.0039678677,0.011658259,0.014030279,1.2034626,0.0024,0.03897764,0.108277135,0.11105931,1.025695,0.00312
6.7,7.440636E-5,2.2146133E-4,0.0013312155,6.0110517,0.00111,3.188454E-4,9.48777E-4,0.002627183,2.7690206,0.00168,0.0038750346,0.011490726,0.013863148,1.206464,0.0024,0.038081564,0.1067851,0.109571934,1.0260975,0.00312
6.8,7.3735864E-5,2.1992615E-4,0.0013296821,6.0460386,0.00111,3.1597257E-4,9.4220246E-4,0.0026206195,2.7813761,0.00168,0.0038401815,0.011411525,0.013784138,1.2079138,0.0024,0.03774495,0.10608461,0.10887363,1.0262905,0.00312
6.9,7.27575E-5,2.1760869E-4,0.0013273672,6.0997896,0.00111,3.117806E-4,9.322776E-4,0.0026107114,2.8003583,0.00168,0.003789323,0.011291948,0.013664847,1.2101408,0.0024,0.037253562,0.10503087,0.10782318,1.0265856,0.00312
7.0,7.102591E-5,2.1343704E-4,0.0013232002,6.1994867,0.00111,3.0436125E-4,9.1441174E-4,0.0025928756,2.8355668,0.00168,0.003699303,0.011076662,0.013450078,1.2142718,0.0024,0.03638325,0.10312992,0.10592816,1.0271331,0.00312
7.1,7.028513E-5,2.1178552E-4,0.0013215505,6.2400417,0.00111,3.0118722E-4,9.0733875E-4,0.0025858143,2.8498886,0.00168,0.0036607897,0.010991421,0.0133650405,1.2159522,0.0024,0.036010686,0.102370284,0.10517088,1.0273576,0.00312
7.2,6.8498244E-5,2.0785132E-4,0.0013176206,6.339246,0.00111,2.9353087E-4,8.904895E-4,0.0025689935,2.8849227,0.00168,0.003567883,0.010788328,0.013162436,1.2200626,0.0024,0.035111405,0.10055892,0.103365175,1.0279065,0.00312
7.3,6.622592E-5,2.0008611E-4,0.001289868,6.446564,0.00109,2.8379448E-4,8.572323E-4,0.0024958265,2.9114935,0.00164,0.0034497243,0.010387352,0.012693149,1.2219813,0.00233,0.033966612,0.09704447,0.099780425,1.0281928,0.00303
7.4,5.1050705E-5,1.4926674E-4,8.391637E-4,5.621907,6.9E-4,2.1877038E-4,6.3955865E-4,0.0015989447,2.500075,9.6E-4,0.002660276,0.007759024,0.009158084,1.1803138,0.00141,0.02628654,0.07388877,0.07561134,1.0233129,0.00186
