Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.4193904E-5,9.651431E-5,2.065037E-4,2.1396172,1.1E-4,2.7508775E-4,4.135756E-4,5.8350526E-4,1.4108794,1.7E-4,0.0033440501,0.0050250376,0.0053135804,1.057421,2.9E-4,0.03294174,0.049078282,0.049477667,1.0081377,4.2E-4
6.1,6.4193904E-5,9.651431E-5,2.065037E-4,2.1396172,1.1E-4,2.7508775E-4,4.135756E-4,5.8350526E-4,1.4108794,1.7E-4,0.0033440501,0.0050250376,0.0053135804,1.057421,2.9E-4,0.03294174,0.049078282,0.049477667,1.0081377,4.2E-4
6.2,5.7023593E-5,8.363274E-5,1.736252E-4,2.0760436,9.0E-5,2.4436394E-4,3.5838588E-4,5.0833216E-4,1.4183933,1.5E-4,0.002971072,0.0043562646,0.0046151318,1.0594242,2.6E-4,0.029316625,0.042748563,0.04311232,1.0085092,3.8E-4
6.3,5.6940098E-5,8.34778E-5,1.7347028E-4,2.078041,9.0E-5,2.4400617E-4,3.5772208E-4,5.076684E-4,1.4191699,1.5E-4,0.002966728,0.0043482147,0.004607084,1.0595347,2.6E-4,0.029274331,0.04267181,0.043035597,1.0085251,3.8E-4
6.4,5.4171585E-5,7.796189E-5,1.6795487E-4,2.15432,9.0E-5,2.3214328E-4,3.3408895E-4,4.8403884E-4,1.4488323,1.5E-4,0.0028226813,0.0040615983,0.0043205423,1.0637542,2.6E-4,0.02787096,0.0399569,0.040321715,1.0091302,3.8E-4
6.5,4.375144E-5,5.6860263E-5,1.1685685E-4,2.0551586,6.0E-5,1.874927E-4,2.4367071E-4,3.336488E-4,1.3692609,9.0E-5,0.0022803338,0.0029638323,0.0031333284,1.0571882,1.7E-4,0.022570757,0.029459026,0.029701661,1.0082364,2.5E-4
6.6,2.772192E-5,2.5906586E-5,4.590607E-5,1.7719845,2.0E-5,1.1880282E-4,1.1102361E-4,1.3102138E-4,1.1801219,2.0E-5,0.0014454646,0.001350894,0.0014008264,1.0369625,5.0E-5,0.014360986,0.013757898,0.013836797,1.0057348,8.0E-5
6.7,2.7124124E-5,2.5115616E-5,4.5115114E-5,1.7962973,2.0E-5,1.1624106E-4,1.0763402E-4,1.2763187E-4,1.1857948,2.0E-5,0.0014143161,0.0013096759,0.0013596105,1.0381274,5.0E-5,0.014053487,0.01335037,0.013419435,1.0051733,7.0E-5
6.8,2.5475807E-5,2.2571003E-5,4.257055E-5,1.8860726,2.0E-5,1.0917746E-4,9.672935E-5,1.1672742E-4,1.2067425,2.0E-5,0.001328425,0.0011770558,0.0012170087,1.033943,4.0E-5,0.0132051185,0.012033579,0.012092858,1.0049261,6.0E-5
6.9,2.1162023E-5,1.8002966E-5,1.8002966E-5,1.0,0.0,9.069123E-5,7.71533E-5,7.71533E-5,1.0,0.0,0.0011036064,9.3894056E-4,9.3894056E-4,1.0,0.0,0.010981417,0.009644291,0.009654195,1.0010269,1.0E-5
