Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,14.73747,1.0,45.0,8.0,5.0,0.99253,0.0046,8.5814
2.6,11.71126,1.0,36.0,6.0,4.0,0.98413,0.0046,6.82002
2.7,9.30121,0.0,29.0,5.0,3.0,0.9692,0.0046,5.41357
2.8,7.39923,0.0,23.0,4.0,2.0,0.94663,0.0046,4.31075
2.9,5.87685,0.0,19.0,3.0,2.0,0.91397,0.0046,3.42588
3.0,4.66593,0.0,15.0,2.0,1.0,0.86967,0.0046,2.71661
3.1,3.70262,0.0,12.0,2.0,1.0,0.81514,0.0046,2.15732
3.2,2.93137,0.0,10.0,1.0,1.0,0.75148,0.0046,1.7075
3.3,2.33046,0.0,8.0,1.0,0.0,0.68339,0.0046,1.35559
3.4,1.84993,0.0,7.0,1.0,0.0,0.61156,0.0046,1.07519
3.5,1.4719,0.0,6.0,1.0,0.0,0.54113,0.0046,0.85495
3.6,1.1695,0.0,5.0,0.0,0.0,0.47255,0.0046,0.67884
3.7,0.92901,0.0,4.0,0.0,0.0,0.40749,0.0046,0.53978
3.8,0.74243,0.0,3.0,0.0,0.0,0.34855,0.0046,0.43051
3.9,0.5892,0.0,3.0,0.0,0.0,0.29489,0.0046,0.34221
4.0,0.47062,0.0,2.0,0.0,0.0,0.24765,0.0046,0.27262
4.1,0.37276,0.0,2.0,0.0,0.0,0.206,0.0046,0.21582
4.2,0.29603,0.0,2.0,0.0,0.0,0.17012,0.0046,0.17142
4.3,0.23421,0.0,2.0,0.0,0.0,0.13967,0.0046,0.13603
4.4,0.18614,0.0,1.0,0.0,0.0,0.11421,0.0046,0.10809
4.5,0.14816,0.0,1.0,0.0,0.0,0.09394,0.0046,0.08625
4.6,0.11713,0.0,1.0,0.0,0.0,0.0762,0.0046,0.06812
4.7,0.09338,0.0,1.0,0.0,0.0,0.06213,0.0046,0.05464
4.8,0.07412,0.0,1.0,0.0,0.0,0.05023,0.0046,0.04359
4.9,0.05862,0.0,1.0,0.0,0.0,0.04055,0.0046,0.03475
5.0,0.04694,0.0,1.0,0.0,0.0,0.03304,0.0046,0.02785
5.1,0.03741,0.0,1.0,0.0,0.0,0.02702,0.0046,0.02252
5.2,0.02979,0.0,0.0,0.0,0.0,0.02174,0.0046,0.01788
5.3,0.02329,0.0,0.0,0.0,0.0,0.01725,0.0046,0.014
5.4,0.01859,0.0,0.0,0.0,0.0,0.01407,0.0046,0.01142
5.5,0.01448,0.0,0.0,0.0,0.0,0.01126,0.0046,0.00888
5.6,0.01153,0.0,0.0,0.0,0.0,0.00929,0.0046,0.00726
5.7,0.00914,0.0,0.0,0.0,0.0,0.0076,0.0046,0.00588
5.8,0.00708,0.0,0.0,0.0,0.0,0.00609,0.0046,0.00469
5.9,0.00549,0.0,0.0,0.0,0.0,0.00486,0.00444,0.00371
6.0,0.00479,0.0,0.0,0.0,0.0,0.0043,0.00408,0.00334
6.1,0.0036,0.0,0.0,0.0,0.0,0.00331,0.00325,0.0026
6.2,0.00346,0.0,0.0,0.0,0.0,0.00327,0.00324,0.00258
6.3,0.00331,0.0,0.0,0.0,0.0,0.00315,0.00313,0.0025
6.4,0.00265,0.0,0.0,0.0,0.0,0.00252,0.0025,0.00199
6.5,0.00243,0.0,0.0,0.0,0.0,0.00232,0.0023,0.00183
6.6,0.00168,0.0,0.0,0.0,0.0,0.00165,0.00164,0.00128
6.7,0.00148,0.0,0.0,0.0,0.0,0.00145,0.00145,0.00111
6.8,0.00129,0.0,0.0,0.0,0.0,0.00128,0.00128,9.8E-4
6.9,0.00117,0.0,0.0,0.0,0.0,0.00116,0.00116,8.7E-4
7.0,9.1E-4,0.0,0.0,0.0,0.0,9.1E-4,9.1E-4,6.6E-4
7.1,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4,6.6E-4
7.2,8.1E-4,0.0,0.0,0.0,0.0,8.1E-4,8.1E-4,5.9E-4
7.3,7.8E-4,0.0,0.0,0.0,0.0,7.8E-4,7.8E-4,5.6E-4
7.4,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,3.5E-4
7.5,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,1.9E-4
7.6,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,1.3E-4,8.0E-5
7.7,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,6.0E-5
7.8,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,5.0E-5
7.9,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,5.0E-5
8.0,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,4.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
