Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,1.47061,0.0,5.0,1.0,0.0,0.59548,4.8E-4,1.04653
2.6,1.17096,0.0,5.0,1.0,0.0,0.52536,4.8E-4,0.83241
2.7,0.93039,0.0,4.0,0.0,0.0,0.45634,4.8E-4,0.66066
2.8,0.74052,0.0,3.0,0.0,0.0,0.39178,4.8E-4,0.52606
2.9,0.58738,0.0,3.0,0.0,0.0,0.33132,4.8E-4,0.41652
3.0,0.46821,0.0,2.0,0.0,0.0,0.27916,4.8E-4,0.33175
3.1,0.37028,0.0,2.0,0.0,0.0,0.23252,4.8E-4,0.26278
3.2,0.29278,0.0,2.0,0.0,0.0,0.19147,4.8E-4,0.20758
3.3,0.2341,0.0,2.0,0.0,0.0,0.15823,4.8E-4,0.16561
3.4,0.18524,0.0,1.0,0.0,0.0,0.12898,4.8E-4,0.13068
3.5,0.14816,0.0,1.0,0.0,0.0,0.10553,4.8E-4,0.10408
3.6,0.11827,0.0,1.0,0.0,0.0,0.08616,4.8E-4,0.08304
3.7,0.0937,0.0,1.0,0.0,0.0,0.0694,4.8E-4,0.06565
3.8,0.07432,0.0,1.0,0.0,0.0,0.05591,4.8E-4,0.05188
3.9,0.05868,0.0,1.0,0.0,0.0,0.04498,4.8E-4,0.04103
4.0,0.04697,0.0,1.0,0.0,0.0,0.03665,4.8E-4,0.03292
4.1,0.03733,0.0,1.0,0.0,0.0,0.02964,4.8E-4,0.02611
4.2,0.02962,0.0,0.0,0.0,0.0,0.02374,4.8E-4,0.02071
4.3,0.02339,0.0,0.0,0.0,0.0,0.0189,4.8E-4,0.0163
4.4,0.01863,0.0,0.0,0.0,0.0,0.01525,4.8E-4,0.01308
4.5,0.01497,0.0,0.0,0.0,0.0,0.01237,4.8E-4,0.01045
4.6,0.01173,0.0,0.0,0.0,0.0,0.00981,4.8E-4,0.00817
4.7,0.00919,0.0,0.0,0.0,0.0,0.00774,4.8E-4,0.00649
4.8,0.00735,0.0,0.0,0.0,0.0,0.00624,4.8E-4,0.00521
4.9,0.00582,0.0,0.0,0.0,0.0,0.00497,4.8E-4,0.00419
5.0,0.0048,0.0,0.0,0.0,0.0,0.00416,4.8E-4,0.00345
5.1,0.00382,0.0,0.0,0.0,0.0,0.00337,4.8E-4,0.00281
5.2,0.00309,0.0,0.0,0.0,0.0,0.00275,4.8E-4,0.00223
5.3,0.00255,0.0,0.0,0.0,0.0,0.0023,4.8E-4,0.00183
5.4,0.00204,0.0,0.0,0.0,0.0,0.00186,4.8E-4,0.00146
5.5,0.0015,0.0,0.0,0.0,0.0,0.0014,4.8E-4,0.0011
5.6,0.00118,0.0,0.0,0.0,0.0,0.00111,4.8E-4,8.9E-4
5.7,8.9E-4,0.0,0.0,0.0,0.0,8.5E-4,4.8E-4,6.8E-4
5.8,6.9E-4,0.0,0.0,0.0,0.0,6.6E-4,4.8E-4,5.1E-4
5.9,4.8E-4,0.0,0.0,0.0,0.0,4.7E-4,4.4E-4,3.7E-4
6.0,4.0E-4,0.0,0.0,0.0,0.0,3.9E-4,3.7E-4,3.2E-4
6.1,2.8E-4,0.0,0.0,0.0,0.0,2.7E-4,2.7E-4,2.3E-4
6.2,2.8E-4,0.0,0.0,0.0,0.0,2.7E-4,2.7E-4,2.3E-4
6.3,2.7E-4,0.0,0.0,0.0,0.0,2.6E-4,2.6E-4,2.2E-4
6.4,2.4E-4,0.0,0.0,0.0,0.0,2.3E-4,2.3E-4,1.9E-4
6.5,2.3E-4,0.0,0.0,0.0,0.0,2.2E-4,2.2E-4,1.8E-4
6.6,1.2E-4,0.0,0.0,0.0,0.0,1.1E-4,1.1E-4,1.0E-4
6.7,1.0E-4,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,8.0E-5
6.8,1.0E-4,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,8.0E-5
6.9,9.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,7.0E-5
7.0,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,7.0E-5
7.1,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,7.0E-5
7.2,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,7.0E-5
7.3,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5,6.0E-5
7.4,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,5.0E-5
7.5,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,3.0E-5
7.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.8,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
