Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,51.12747,6.0,144.0,21.0,13.0,0.99988,0.01215,20.54774
2.6,40.61198,4.0,115.0,16.0,11.0,0.99963,0.01215,16.31225
2.7,32.26128,3.0,92.0,13.0,8.0,0.99887,0.01215,12.95149
2.8,25.64396,2.0,74.0,10.0,6.0,0.99716,0.01215,10.29786
2.9,20.37159,1.0,59.0,8.0,5.0,0.99282,0.01215,8.18377
3.0,16.17562,1.0,47.0,7.0,4.0,0.98424,0.01215,6.49285
3.1,12.84777,0.0,38.0,5.0,3.0,0.96904,0.01215,5.15719
3.2,10.19173,0.0,30.0,4.0,2.0,0.94436,0.01215,4.08991
3.3,8.09699,0.0,24.0,3.0,2.0,0.91002,0.01215,3.24764
3.4,6.43086,0.0,20.0,2.0,1.0,0.86709,0.01215,2.57814
3.5,5.11262,0.0,16.0,2.0,1.0,0.81395,0.01215,2.04921
3.6,4.06322,0.0,13.0,1.0,1.0,0.75267,0.01215,1.62684
3.7,3.23131,0.0,11.0,1.0,0.0,0.68521,0.01215,1.29696
3.8,2.56837,0.0,9.0,1.0,0.0,0.61702,0.01215,1.03272
3.9,2.03742,0.0,7.0,1.0,0.0,0.54787,0.01215,0.82124
4.0,1.61763,0.0,6.0,0.0,0.0,0.47989,0.01215,0.65275
4.1,1.28172,0.0,5.0,0.0,0.0,0.41532,0.01215,0.51853
4.2,1.01722,0.0,4.0,0.0,0.0,0.3567,0.01215,0.412
4.3,0.80574,0.0,4.0,0.0,0.0,0.30171,0.01215,0.32663
4.4,0.63865,0.0,3.0,0.0,0.0,0.25377,0.01215,0.25845
4.5,0.50618,0.0,3.0,0.0,0.0,0.21225,0.01215,0.20545
4.6,0.40074,0.0,2.0,0.0,0.0,0.17681,0.01215,0.16284
4.7,0.31793,0.0,2.0,0.0,0.0,0.14667,0.01215,0.13012
4.8,0.25111,0.0,2.0,0.0,0.0,0.1207,0.01215,0.10339
4.9,0.1991,0.0,1.0,0.0,0.0,0.09974,0.01215,0.08279
5.0,0.15691,0.0,1.0,0.0,0.0,0.08135,0.01215,0.06558
5.1,0.12418,0.0,1.0,0.0,0.0,0.06695,0.01215,0.05269
5.2,0.09855,0.0,1.0,0.0,0.0,0.05468,0.01215,0.04218
5.3,0.07748,0.0,1.0,0.0,0.0,0.04431,0.01215,0.03349
5.4,0.06128,0.0,1.0,0.0,0.0,0.03629,0.01215,0.02699
5.5,0.04742,0.0,1.0,0.0,0.0,0.02941,0.01215,0.02123
5.6,0.03712,0.0,0.0,0.0,0.0,0.02414,0.01215,0.01721
5.7,0.02872,0.0,0.0,0.0,0.0,0.0199,0.01215,0.01396
5.8,0.02193,0.0,0.0,0.0,0.0,0.01633,0.01215,0.01122
5.9,0.01615,0.0,0.0,0.0,0.0,0.01283,0.01168,0.00873
6.0,0.01383,0.0,0.0,0.0,0.0,0.01131,0.01061,0.00772
6.1,0.0105,0.0,0.0,0.0,0.0,0.00899,0.00872,0.00606
6.2,0.00998,0.0,0.0,0.0,0.0,0.00883,0.00866,0.00601
6.3,0.0094,0.0,0.0,0.0,0.0,0.00848,0.00835,0.00579
6.4,0.00757,0.0,0.0,0.0,0.0,0.00687,0.00676,0.00467
6.5,0.00699,0.0,0.0,0.0,0.0,0.0064,0.0063,0.00431
6.6,0.005,0.0,0.0,0.0,0.0,0.00478,0.00472,0.00317
6.7,0.0044,0.0,0.0,0.0,0.0,0.00422,0.00418,0.00276
6.8,0.00377,0.0,0.0,0.0,0.0,0.00363,0.00361,0.00234
6.9,0.00324,0.0,0.0,0.0,0.0,0.00316,0.00316,0.00205
7.0,0.0025,0.0,0.0,0.0,0.0,0.00248,0.00248,0.00161
7.1,0.00245,0.0,0.0,0.0,0.0,0.00243,0.00243,0.00158
7.2,0.00222,0.0,0.0,0.0,0.0,0.00221,0.00221,0.00143
7.3,0.00204,0.0,0.0,0.0,0.0,0.00204,0.00204,0.00131
7.4,0.00132,0.0,0.0,0.0,0.0,0.00132,0.00132,8.5E-4
7.5,8.4E-4,0.0,0.0,0.0,0.0,8.4E-4,8.4E-4,5.3E-4
7.6,4.9E-4,0.0,0.0,0.0,0.0,4.9E-4,4.9E-4,3.0E-4
7.7,2.9E-4,0.0,0.0,0.0,0.0,2.9E-4,2.9E-4,2.0E-4
7.8,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,1.7E-4,1.5E-4
7.9,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,1.2E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,8.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
