Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,32.94123,4.0,96.0,15.0,11.0,0.99946,0.00856,15.58873
2.6,26.16947,3.0,76.0,12.0,8.0,0.99837,0.00856,12.37909
2.7,20.78526,2.0,61.0,9.0,6.0,0.99608,0.00856,9.8258
2.8,16.52029,1.0,49.0,8.0,5.0,0.99117,0.00856,7.81416
2.9,13.12763,1.0,39.0,6.0,4.0,0.98049,0.00856,6.2104
3.0,10.42374,0.0,31.0,5.0,3.0,0.96365,0.00856,4.92657
3.1,8.27595,0.0,25.0,4.0,2.0,0.93734,0.00856,3.91252
3.2,6.56304,0.0,20.0,3.0,2.0,0.89954,0.00856,3.10046
3.3,5.21525,0.0,16.0,2.0,1.0,0.85203,0.00856,2.46306
3.4,4.14207,0.0,13.0,2.0,1.0,0.79626,0.00856,1.95513
3.5,3.29356,0.0,11.0,1.0,0.0,0.73288,0.00856,1.55373
3.6,2.61818,0.0,9.0,1.0,0.0,0.66451,0.00856,1.23424
3.7,2.08341,0.0,7.0,1.0,0.0,0.59338,0.00856,0.9841
3.8,1.65766,0.0,6.0,1.0,0.0,0.52556,0.00856,0.78447
3.9,1.31702,0.0,5.0,0.0,0.0,0.45903,0.00856,0.62504
4.0,1.04729,0.0,4.0,0.0,0.0,0.39616,0.00856,0.4975
4.1,0.8298,0.0,4.0,0.0,0.0,0.33822,0.00856,0.39534
4.2,0.65799,0.0,3.0,0.0,0.0,0.28607,0.00856,0.31402
4.3,0.52087,0.0,3.0,0.0,0.0,0.23924,0.00856,0.2488
4.4,0.41315,0.0,2.0,0.0,0.0,0.1991,0.00856,0.19733
4.5,0.32747,0.0,2.0,0.0,0.0,0.16524,0.00856,0.15685
4.6,0.2598,0.0,2.0,0.0,0.0,0.13624,0.00856,0.12422
4.7,0.20579,0.0,1.0,0.0,0.0,0.11189,0.00856,0.0992
4.8,0.16259,0.0,1.0,0.0,0.0,0.09139,0.00856,0.07888
4.9,0.12903,0.0,1.0,0.0,0.0,0.07503,0.00856,0.06321
5.0,0.10174,0.0,1.0,0.0,0.0,0.06096,0.00856,0.0502
5.1,0.08061,0.0,1.0,0.0,0.0,0.05001,0.00856,0.04048
5.2,0.06378,0.0,1.0,0.0,0.0,0.04047,0.00856,0.03238
5.3,0.0505,0.0,1.0,0.0,0.0,0.03275,0.00856,0.02578
5.4,0.04002,0.0,1.0,0.0,0.0,0.02665,0.00856,0.02079
5.5,0.03092,0.0,0.0,0.0,0.0,0.02134,0.00856,0.01615
5.6,0.02412,0.0,0.0,0.0,0.0,0.01727,0.00856,0.01296
5.7,0.0187,0.0,0.0,0.0,0.0,0.01413,0.00856,0.01045
5.8,0.01442,0.0,0.0,0.0,0.0,0.01149,0.00856,0.00841
5.9,0.0108,0.0,0.0,0.0,0.0,0.0091,0.00825,0.00657
6.0,0.0093,0.0,0.0,0.0,0.0,0.00801,0.0075,0.00584
6.1,0.00716,0.0,0.0,0.0,0.0,0.00638,0.00618,0.00457
6.2,0.00683,0.0,0.0,0.0,0.0,0.00627,0.00615,0.00452
6.3,0.00647,0.0,0.0,0.0,0.0,0.00604,0.00594,0.00437
6.4,0.00515,0.0,0.0,0.0,0.0,0.00484,0.00477,0.00348
6.5,0.00472,0.0,0.0,0.0,0.0,0.00445,0.00438,0.00317
6.6,0.00339,0.0,0.0,0.0,0.0,0.00331,0.00326,0.00228
6.7,0.003,0.0,0.0,0.0,0.0,0.00294,0.00291,0.00199
6.8,0.00259,0.0,0.0,0.0,0.0,0.00255,0.00254,0.0017
6.9,0.00227,0.0,0.0,0.0,0.0,0.00224,0.00224,0.0015
7.0,0.00174,0.0,0.0,0.0,0.0,0.00173,0.00173,0.00117
7.1,0.00171,0.0,0.0,0.0,0.0,0.0017,0.0017,0.00116
7.2,0.00155,0.0,0.0,0.0,0.0,0.00154,0.00154,0.00104
7.3,0.00146,0.0,0.0,0.0,0.0,0.00146,0.00146,9.7E-4
7.4,9.4E-4,0.0,0.0,0.0,0.0,9.4E-4,9.4E-4,6.2E-4
7.5,5.7E-4,0.0,0.0,0.0,0.0,5.7E-4,5.7E-4,3.5E-4
7.6,3.1E-4,0.0,0.0,0.0,0.0,3.1E-4,3.1E-4,1.9E-4
7.7,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,1.3E-4
7.8,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,1.3E-4,1.1E-4
7.9,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,7.0E-5
8.0,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5,5.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
