Time (days),ComCat Data
0.0,0.0
3.2275444E-4,0.0
6.455089E-4,0.0
9.682633E-4,1.0
0.0012910177,1.0
0.0016137722,1.0
0.0019365266,2.0
0.002259281,3.0
0.0025820355,3.0
0.00290479,3.0
0.0032275445,3.0
0.003550299,6.0
0.0038730532,6.0
0.004195808,6.0
0.004518562,6.0
0.0048413165,7.0
0.005164071,8.0
0.0054868255,9.0
0.00580958,9.0
0.0061323345,9.0
0.006455089,9.0
0.0067778435,9.0
0.007100598,9.0
0.007423352,9.0
0.0077461065,9.0
0.008068861,10.0
0.008391616,11.0
0.00871437,12.0
0.009037124,13.0
0.0093598785,13.0
0.009682633,13.0
0.0100053875,14.0
0.010328142,14.0
0.0106508965,16.0
0.010973651,17.0
0.011296405,17.0
0.01161916,17.0
0.011941914,18.0
0.012264669,19.0
0.012587423,19.0
0.012910178,19.0
0.013232932,19.0
0.013555687,19.0
0.013878441,20.0
0.014201196,21.0
0.01452395,22.0
0.014846704,22.0
0.015169458,23.0
0.015492213,23.0
0.015814967,23.0
0.016137723,24.0
0.016460476,24.0
0.016783232,24.0
0.017105985,25.0
0.01742874,26.0
0.017751494,27.0
0.018074248,28.0
0.018397003,28.0
0.018719757,28.0
0.019042512,28.0
0.019365266,28.0
0.019688021,28.0
0.020010775,28.0
0.02033353,28.0
0.020656284,28.0
0.02097904,28.0
0.021301793,28.0
0.021624548,28.0
0.021947302,28.0
0.022270057,28.0
0.02259281,28.0
0.022915566,28.0
0.02323832,28.0
0.023561075,29.0
0.023883829,29.0
0.024206582,29.0
0.024529338,30.0
0.024852091,31.0
0.025174847,31.0
0.0254976,32.0
0.025820356,32.0
0.02614311,33.0
0.026465865,34.0
0.026788618,34.0
0.027111374,34.0
0.027434127,34.0
0.027756883,34.0
0.028079636,34.0
0.028402392,35.0
0.028725145,36.0
0.0290479,36.0
0.029370654,36.0
0.029693408,36.0
0.030016163,36.0
0.030338917,37.0
0.030661672,38.0
0.030984426,39.0
0.03130718,39.0
0.031629935,39.0
0.03195269,41.0
0.032275446,41.0
0.032598197,41.0
0.032920953,42.0
0.03324371,42.0
0.033566464,43.0
0.033889215,43.0
0.03421197,44.0
0.034534726,44.0
0.03485748,45.0
0.035180233,45.0
0.03550299,45.0
0.035825744,47.0
0.036148496,48.0
0.03647125,49.0
0.036794007,50.0
0.037116762,51.0
0.037439514,51.0
0.03776227,52.0
0.038085025,52.0
0.03840778,53.0
0.038730532,54.0
0.039053287,54.0
0.039376043,55.0
0.0396988,55.0
0.04002155,55.0
0.040344305,55.0
0.04066706,55.0
0.040989816,55.0
0.041312568,55.0
0.041635323,56.0
0.04195808,57.0
0.04228083,57.0
0.042603586,57.0
0.04292634,58.0
0.043249097,58.0
0.04357185,58.0
0.043894604,59.0
0.04421736,59.0
0.044540115,60.0
0.044862866,61.0
0.04518562,61.0
0.045508377,61.0
0.045831133,62.0
0.046153884,62.0
0.04647664,63.0
0.046799395,64.0
0.04712215,64.0
0.047444902,64.0
0.047767658,65.0
0.048090413,65.0
0.048413165,66.0
0.04873592,66.0
0.049058676,67.0
0.04938143,67.0
0.049704183,68.0
0.05002694,69.0
0.050349694,70.0
0.05067245,70.0
0.0509952,70.0
0.051317956,70.0
0.05164071,72.0
0.051963467,73.0
0.05228622,73.0
0.052608974,73.0
0.05293173,74.0
0.053254485,74.0
0.053577237,75.0
