Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.20513E-5,4.8799928E-5,4.8799928E-5,1.0,0.0,1.8020741E-4,2.0912904E-4,2.1912695E-4,1.0478073,1.0E-5,0.0021918174,0.0025436897,0.0025935625,1.0196065,5.0E-5,0.021703249,0.025196934,0.025274917,1.003095,8.0E-5
6.1,4.20513E-5,4.8799928E-5,4.8799928E-5,1.0,0.0,1.8020741E-4,2.0912904E-4,2.1912695E-4,1.0478073,1.0E-5,0.0021918174,0.0025436897,0.0025935625,1.0196065,5.0E-5,0.021703249,0.025196934,0.025274917,1.003095,8.0E-5
6.2,2.3413893E-5,2.4775765E-5,2.4775765E-5,1.0,0.0,1.0034139E-4,1.0617805E-4,1.0617805E-4,1.0,0.0,0.0012209718,0.0012920402,0.0013220015,1.0231891,3.0E-5,0.012142851,0.012853932,0.012903289,1.0038399,5.0E-5
6.3,2.3413893E-5,2.4775765E-5,2.4775765E-5,1.0,0.0,1.0034139E-4,1.0617805E-4,1.0617805E-4,1.0,0.0,0.0012209718,0.0012920402,0.0013220015,1.0231891,3.0E-5,0.012142851,0.012853932,0.012903289,1.0038399,5.0E-5
6.4,1.6894814E-5,1.6622114E-5,1.6622114E-5,1.0,0.0,7.240433E-5,7.123589E-5,7.123589E-5,1.0,0.0,8.811662E-4,8.6698856E-4,8.769799E-4,1.0115242,1.0E-5,0.0087768035,0.008639719,0.008659546,1.0022949,2.0E-5
6.5,1.6894814E-5,1.6622114E-5,1.6622114E-5,1.0,0.0,7.240433E-5,7.123589E-5,7.123589E-5,1.0,0.0,8.811662E-4,8.6698856E-4,8.769799E-4,1.0115242,1.0E-5,0.0087768035,0.008639719,0.008659546,1.0022949,2.0E-5
6.6,1.1910969E-5,1.0567457E-5,1.0567457E-5,1.0,0.0,5.1046012E-5,4.5288394E-5,4.5288394E-5,1.0,0.0,6.21308E-4,5.5125984E-4,5.6125433E-4,1.0181303,1.0E-5,0.0061957375,0.0055002267,0.005520117,1.0036162,2.0E-5
6.7,9.1486E-6,7.230514E-6,7.230514E-6,1.0,0.0,3.9207694E-5,3.0987572E-5,3.0987572E-5,1.0,0.0,4.7724912E-4,3.772122E-4,3.8720842E-4,1.0265002,1.0E-5,0.0047622547,0.003766101,0.0037760632,1.0026453,1.0E-5
6.8,7.90441E-6,5.7530547E-6,5.7530547E-6,1.0,0.0,3.3875604E-5,2.4655723E-5,2.4655723E-5,1.0,0.0,4.1235742E-4,3.0014338E-4,3.1014037E-4,1.0333074,1.0E-5,0.0041159308,0.0029975097,0.0030074797,1.003326,1.0E-5
6.9,7.77015E-6,5.6068384E-6,5.6068384E-6,1.0,0.0,3.3300217E-5,2.4029094E-5,2.4029094E-5,1.0,0.0,4.0535472E-4,2.9251623E-4,3.025133E-4,1.0341761,1.0E-5,0.004046161,0.0029214402,0.002931411,1.003413,1.0E-5
7.0,7.675798E-6,5.5035694E-6,5.5035694E-6,1.0,0.0,3.289586E-5,2.358652E-5,2.358652E-5,1.0,0.0,4.004335E-4,2.871293E-4,2.9712645E-4,1.0348175,1.0E-5,0.003997127,0.0028677108,0.0028776822,1.0034771,1.0E-5
7.1,7.447814E-6,5.2622436E-6,5.2622436E-6,1.0,0.0,3.191881E-5,2.2552284E-5,2.2552284E-5,1.0,0.0,3.8854225E-4,2.745407E-4,2.8453796E-4,1.0364145,1.0E-5,0.003878636,0.002742141,0.0027521136,1.0036368,1.0E-5
7.2,7.128185E-6,4.9287955E-6,4.9287955E-6,1.0,0.0,3.0549007E-5,2.1123245E-5,2.1123245E-5,1.0,0.0,3.7187067E-4,2.5714637E-4,2.5714637E-4,1.0,0.0,0.00371249,0.0025686075,0.0025686075,1.0,0.0
7.3,7.0913875E-6,4.8974343E-6,4.8974343E-6,1.0,0.0,3.0391306E-5,2.0988842E-5,2.0988842E-5,1.0,0.0,3.6995133E-4,2.555104E-4,2.555104E-4,1.0,0.0,0.0036933604,0.0025522856,0.0025522856,1.0,0.0
7.4,7.051521E-6,4.8612537E-6,4.8612537E-6,1.0,0.0,3.0220453E-5,2.0833784E-5,2.0833784E-5,1.0,0.0,3.6787192E-4,2.53623E-4,2.53623E-4,1.0,0.0,0.0036726352,0.0025334547,0.0025334547,1.0,0.0
7.5,6.910666E-6,4.756479E-6,4.756479E-6,1.0,0.0,2.9616802E-5,2.0384758E-5,2.0384758E-5,1.0,0.0,3.605249E-4,2.4815736E-4,2.4815736E-4,1.0,0.0,0.0035994058,0.0024789216,0.0024789216,1.0,0.0
7.6,6.341753E-6,4.328195E-6,4.328195E-6,1.0,0.0,2.7178658E-5,1.854928E-5,1.854928E-5,1.0,0.0,3.3084993E-4,2.2581527E-4,2.2581527E-4,1.0,0.0,0.0033035777,0.0022559743,0.0022559743,1.0,0.0
7.7,3.9205916E-6,2.2559125E-6,2.2559125E-6,1.0,0.0,1.6802427E-5,9.668165E-6,9.668165E-6,1.0,0.0,2.0455034E-4,1.17704294E-4,1.17704294E-4,1.0,0.0,0.0020436216,0.0011764931,0.0011764931,1.0,0.0
7.8,2.0846227E-7,8.529884E-8,8.529884E-8,1.0,0.0,8.9340944E-7,3.6556645E-7,3.6556645E-7,1.0,0.0,1.0877206E-5,4.4507656E-6,4.4507656E-6,1.0,0.0,1.0876673E-4,4.4507095E-5,4.4507095E-5,1.0,0.0
7.9,4.4969806E-9,2.283008E-9,2.283008E-9,1.0,0.0,1.9272775E-8,9.784319E-9,9.784319E-9,1.0,0.0,2.3464601E-7,1.1912408E-7,1.1912408E-7,1.0,0.0,2.3464577E-6,1.1912402E-6,1.1912402E-6,1.0,0.0
