Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.24487615E-5,1.26089635E-5,2.2608838E-5,1.7930766,1.0E-5,5.3350745E-5,5.4037322E-5,6.403678E-5,1.1850473,1.0E-5,6.4935174E-4,6.577105E-4,6.677039E-4,1.0151943,1.0E-5,0.0064745755,0.006558128,0.0065680626,1.0015148,1.0E-5
6.1,1.24487615E-5,1.26089635E-5,2.2608838E-5,1.7930766,1.0E-5,5.3350745E-5,5.4037322E-5,6.403678E-5,1.1850473,1.0E-5,6.4935174E-4,6.577105E-4,6.677039E-4,1.0151943,1.0E-5,0.0064745755,0.006558128,0.0065680626,1.0015148,1.0E-5
6.2,1.24487615E-5,1.26089635E-5,2.2608838E-5,1.7930766,1.0E-5,5.3350745E-5,5.4037322E-5,6.403678E-5,1.1850473,1.0E-5,6.4935174E-4,6.577105E-4,6.677039E-4,1.0151943,1.0E-5,0.0064745755,0.006558128,0.0065680626,1.0015148,1.0E-5
6.3,1.24487615E-5,1.26089635E-5,2.2608838E-5,1.7930766,1.0E-5,5.3350745E-5,5.4037322E-5,6.403678E-5,1.1850473,1.0E-5,6.4935174E-4,6.577105E-4,6.677039E-4,1.0151943,1.0E-5,0.0064745755,0.006558128,0.0065680626,1.0015148,1.0E-5
6.4,1.2431024E-5,1.2589553E-5,2.2589427E-5,1.7942994,1.0E-5,5.327473E-5,5.395414E-5,6.39536E-5,1.1853325,1.0E-5,6.4842677E-4,6.566983E-4,6.6669175E-4,1.0152177,1.0E-5,0.0064653796,0.006548066,0.006558001,1.0015172,1.0E-5
6.5,1.1242222E-5,1.13325705E-5,2.1332457E-5,1.8824023,1.0E-5,4.8180063E-5,4.856727E-5,5.8566784E-5,1.2058899,1.0E-5,5.864344E-4,5.911488E-4,6.011429E-4,1.0169063,1.0E-5,0.0058488925,0.0058960505,0.0059059914,1.0016861,1.0E-5
6.6,1.1234066E-5,1.1323674E-5,2.132356E-5,1.8830956,1.0E-5,4.8145106E-5,4.8529142E-5,5.8528658E-5,1.2060517,1.0E-5,5.86009E-4,5.906848E-4,6.006789E-4,1.0169195,1.0E-5,0.005844661,0.0058914353,0.0059013767,1.0016874,1.0E-5
6.7,1.12294E-5,1.1318409E-5,2.1318296E-5,1.8835064,1.0E-5,4.812511E-5,4.850658E-5,5.850609E-5,1.2061476,1.0E-5,5.857657E-4,5.9041026E-4,6.0040434E-4,1.0169274,1.0E-5,0.0058422405,0.005888704,0.005898645,1.0016881,1.0E-5
6.8,1.0252819E-5,1.023158E-5,2.0231479E-5,1.9773562,1.0E-5,4.3939912E-5,4.3848904E-5,5.3848467E-5,1.2280458,1.0E-5,5.3483713E-4,5.3373177E-4,5.4372643E-4,1.018726,1.0E-5,0.005335517,0.0053247255,0.0053346725,1.001868,1.0E-5
6.9,9.252289E-6,9.121852E-6,1.912176E-5,2.0962586,1.0E-5,3.9652066E-5,3.9093073E-5,4.9092683E-5,1.2557898,1.0E-5,4.8265693E-4,4.758559E-4,4.8585114E-4,1.0210048,1.0E-5,0.0048161,0.0047485433,0.004758496,1.0020959,1.0E-5
7.0,8.474604E-6,8.268717E-6,1.8268634E-5,2.2093675,1.0E-5,3.6319227E-5,3.5436882E-5,4.543653E-5,1.2821819,1.0E-5,4.4209688E-4,4.3136007E-4,4.4135578E-4,1.0231725,1.0E-5,0.004412184,0.0043053785,0.0043153353,1.0023127,1.0E-5
7.1,6.643643E-6,6.276336E-6,1.6276274E-5,2.5932763,1.0E-5,2.8472443E-5,2.689831E-5,3.689804E-5,1.3717606,1.0E-5,3.4659685E-4,3.2743812E-4,3.3743485E-4,1.0305301,1.0E-5,0.0034605677,0.0032696028,0.0032795703,1.0030484,1.0E-5
7.2,5.549002E-6,5.115382E-6,1.5115331E-5,2.9548783,1.0E-5,2.378122E-5,2.1922882E-5,3.1922664E-5,1.4561344,1.0E-5,2.8949787E-4,2.6687855E-4,2.768759E-4,1.0374602,1.0E-5,0.0028912104,0.002665597,0.0026755703,1.0037415,1.0E-5
7.3,4.3059727E-6,3.9654133E-6,3.9654133E-6,1.0,0.0,1.8454039E-5,1.6994518E-5,1.6994518E-5,1.0,0.0,2.2465475E-4,2.0688871E-4,2.0688871E-4,1.0,0.0,0.0022442779,0.002066971,0.002066971,1.0,0.0
