Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.1969185E-4,0.0053671715,10.327604,0.00485,0.0011778869,0.0022253902,0.009120013,4.0981636,0.00691,0.0142467655,0.02675852,0.036909427,1.3793525,0.01043,0.13367249,0.23275432,0.24331163,1.0453582,0.01376
6.1,2.5356023E-4,4.9910974E-4,0.005316704,10.652375,0.00482,0.001086234,0.0021373278,0.008992644,4.207424,0.00687,0.013144928,0.025719548,0.035822835,1.3928252,0.01037,0.123940155,0.22373785,0.23437263,1.0475323,0.0137
6.2,2.4820742E-4,4.8984424E-4,0.005287493,10.794233,0.0048,0.0010633124,0.0020976823,0.008923334,4.2539015,0.00684,0.01286919,0.025248937,0.035318118,1.3987961,0.01033,0.12148927,0.22020246,0.2308467,1.0483384,0.01365
6.3,2.3205351E-4,4.7007125E-4,0.0051778574,11.015048,0.00471,9.94136E-4,0.0020130735,0.008729526,4.3364167,0.00673,0.012036599,0.024237026,0.034111746,1.407423,0.01012,0.11405133,0.21181594,0.22236973,1.0498253,0.01339
6.4,2.0304754E-4,4.0957172E-4,0.0041780276,10.200967,0.00377,8.6991355E-4,0.0017541419,0.007174617,4.090101,0.00543,0.010539869,0.021155208,0.029142583,1.3775606,0.00816,0.100537635,0.18895757,0.19771683,1.0463557,0.0108
6.5,1.854992E-4,3.8000732E-4,0.0037887115,9.970101,0.00341,7.9475436E-4,0.0016275994,0.0066194613,4.067009,0.005,0.009633281,0.019647297,0.027088173,1.3787227,0.00759,0.0922623,0.17702797,0.18525769,1.0464883,0.01
6.6,1.6586106E-4,3.4958145E-4,0.0035284697,10.093412,0.00318,7.106394E-4,0.0014973568,0.006110439,4.080817,0.00462,0.008617763,0.01808431,0.024898805,1.3768181,0.00694,0.08291132,0.16426745,0.17188933,1.0463992,0.00912
6.7,1.4224656E-4,3.1578745E-4,0.0031648874,10.022208,0.00285,6.094856E-4,0.0013526815,0.0054471353,4.0269165,0.0041,0.0073952693,0.01634816,0.022446802,1.3730476,0.0062,0.07153955,0.14963013,0.15653513,1.0461471,0.00812
6.8,1.2317259E-4,2.846998E-4,0.0027739909,9.743565,0.00249,5.2777573E-4,0.001219578,0.004745273,3.8909137,0.00353,0.0064067547,0.014748747,0.020039547,1.3587288,0.00537,0.06225166,0.1356586,0.14176087,1.0449824,0.00706
6.9,9.859898E-5,2.551976E-4,0.0024546362,9.61857,0.0022,4.2249862E-4,0.00109325,0.004179872,3.8233447,0.00309,0.0051317946,0.013230094,0.01779884,1.3453298,0.00463,0.05014893,0.121471174,0.12682141,1.0440453,0.00609
7.0,7.3191884E-5,2.1640294E-4,0.0019060372,8.807816,0.00169,3.136418E-4,9.271148E-4,0.0033348806,3.5970523,0.00241,0.003811904,0.011229912,0.014819147,1.3196138,0.00363,0.037471764,0.10360675,0.10787358,1.041183,0.00476
7.1,7.1760296E-5,2.1336494E-4,0.0018730108,8.778437,0.00166,3.0750787E-4,9.14104E-4,0.0032719467,3.5794032,0.00236,0.003737482,0.0110731255,0.014573926,1.3161529,0.00354,0.03675245,0.10222462,0.10641723,1.0410137,0.00467
7.2,6.46614E-5,1.9491265E-4,0.0016946202,8.694255,0.0015,2.7709085E-4,8.3507557E-4,0.0029732885,3.5605023,0.00214,0.0033683628,0.01012029,0.0132780075,1.3120183,0.00319,0.033177625,0.093991384,0.0977785,1.0402921,0.00418
