Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.9150476E-6,3.2644732E-6,3.2644732E-6,1.0,0.0,2.1064321E-5,1.3990526E-5,1.3990526E-5,1.0,0.0,2.564279E-4,1.7032164E-4,1.7032164E-4,1.0,0.0,0.0025613222,0.0017144252,0.001724408,1.0058229,1.0E-5
6.1,4.9150476E-6,3.2644732E-6,3.2644732E-6,1.0,0.0,2.1064321E-5,1.3990526E-5,1.3990526E-5,1.0,0.0,2.564279E-4,1.7032164E-4,1.7032164E-4,1.0,0.0,0.0025613222,0.0017144252,0.001724408,1.0058229,1.0E-5
6.2,4.162343E-6,2.492606E-6,2.492606E-6,1.0,0.0,1.783849E-5,1.0682554E-5,1.0682554E-5,1.0,0.0,2.1716199E-4,1.300524E-4,1.300524E-4,1.0,0.0,0.002169499,0.001312259,0.0013222458,1.0076104,1.0E-5
6.3,4.162343E-6,2.492606E-6,2.492606E-6,1.0,0.0,1.783849E-5,1.0682554E-5,1.0682554E-5,1.0,0.0,2.1716199E-4,1.300524E-4,1.300524E-4,1.0,0.0,0.002169499,0.001312259,0.0013222458,1.0076104,1.0E-5
6.4,3.8768926E-6,2.1999283E-6,2.1999283E-6,1.0,0.0,1.6615148E-5,9.42823E-6,9.42823E-6,1.0,0.0,2.0227065E-4,1.147827E-4,1.147827E-4,1.0,0.0,0.0020208664,0.0011597284,0.0011697168,1.0086128,1.0E-5
6.5,3.7137002E-6,2.0331913E-6,2.0331913E-6,1.0,0.0,1.591576E-5,8.713648E-6,8.713648E-6,1.0,0.0,1.9375715E-4,1.06083535E-4,1.06083535E-4,1.0,0.0,0.001935883,0.0010728231,0.0010828124,1.0093112,1.0E-5
6.6,3.5048733E-6,1.8180473E-6,1.8180473E-6,1.0,0.0,1.5020799E-5,7.7916075E-6,7.7916075E-6,1.0,0.0,1.8286289E-4,9.485872E-5,9.485872E-5,1.0,0.0,0.0018271249,9.60677E-4,9.706674E-4,1.0103993,1.0E-5
6.7,3.3908584E-6,1.7016376E-6,1.7016376E-6,1.0,0.0,1.453217E-5,7.2927123E-6,7.2927123E-6,1.0,0.0,1.7691481E-4,8.878517E-5,8.878517E-5,1.0,0.0,0.0017677402,8.99992E-4,9.09983E-4,1.0111012,1.0E-5
6.8,3.2451449E-6,1.5547208E-6,1.5547208E-6,1.0,0.0,1.3907689E-5,6.6630723E-6,6.6630723E-6,1.0,0.0,1.6931296E-4,8.11199E-5,8.11199E-5,1.0,0.0,0.0016918402,8.233981E-4,8.333899E-4,1.0121348,1.0E-5
6.9,3.1239128E-6,1.4311257E-6,1.4311257E-6,1.0,0.0,1.3388129E-5,6.1333812E-6,6.1333812E-6,1.0,0.0,1.6298829E-4,7.467137E-5,7.467137E-5,1.0,0.0,0.001628688,7.589585E-4,7.6895097E-4,1.013166,1.0E-5
7.0,2.9940109E-6,1.302242E-6,1.302242E-6,1.0,0.0,1.2831412E-5,5.581025E-6,5.581025E-6,1.0,0.0,1.5621124E-4,6.7946865E-5,6.7946865E-5,1.0,0.0,0.0015610148,6.917569E-4,7.0175E-4,1.0144459,1.0E-5
7.1,2.7471217E-6,1.2124489E-6,1.2124489E-6,1.0,0.0,1.1773326E-5,5.1961993E-6,5.1961993E-6,1.0,0.0,1.4333082E-4,6.326189E-5,6.326189E-5,1.0,0.0,0.001432384,6.4487616E-4,6.548697E-4,1.0154969,1.0E-5
7.2,2.592675E-6,1.0777999E-6,1.0777999E-6,1.0,0.0,1.1111417E-5,4.619134E-6,4.619134E-6,1.0,0.0,1.3527309E-4,5.623651E-5,5.623651E-5,1.0,0.0,0.0013519078,5.746608E-4,5.8465503E-4,1.0173916,1.0E-5
7.3,2.4518663E-6,9.681884E-7,9.681884E-7,1.0,0.0,1.0507956E-5,4.149372E-6,4.149372E-6,1.0,0.0,1.2792686E-4,5.0517436E-5,5.0517436E-5,1.0,0.0,0.0012785323,5.174943E-4,5.274891E-4,1.0193139,1.0E-5
7.4,2.3349535E-6,9.2958925E-7,9.2958925E-7,1.0,0.0,1.0006905E-5,3.983948E-6,3.983948E-6,1.0,0.0,1.2182725E-4,4.8503483E-5,4.8503483E-5,1.0,0.0,0.0012176048,4.973348E-4,5.073298E-4,1.0200971,1.0E-5
7.5,2.1358665E-6,8.7963605E-7,8.7963605E-7,1.0,0.0,9.15368E-6,3.769863E-6,3.769863E-6,1.0,0.0,1.11440364E-4,4.589712E-5,4.589712E-5,1.0,0.0,0.0011138449,4.7118167E-4,4.8117698E-4,1.0212133,1.0E-5
7.6,1.6445446E-6,7.277464E-7,7.277464E-7,1.0,0.0,7.048029E-6,3.1189093E-6,3.1189093E-6,1.0,0.0,8.580638E-5,3.797206E-5,3.797206E-5,1.0,0.0,8.5773255E-4,3.918917E-4,4.0188778E-4,1.0255072,1.0E-5
7.7,1.3650961E-6,6.229269E-7,6.229269E-7,1.0,0.0,5.850399E-6,2.669684E-6,2.669684E-6,1.0,0.0,7.122628E-5,3.2502918E-5,3.2502918E-5,1.0,0.0,7.120345E-4,3.3709474E-4,3.4709138E-4,1.0296552,1.0E-5
7.8,1.0500993E-6,5.919788E-7,5.919788E-7,1.0,0.0,4.5004176E-6,2.5370493E-6,2.5370493E-6,1.0,0.0,5.4791206E-5,3.088814E-5,3.088814E-5,1.0,0.0,5.47777E-4,3.2080585E-4,3.3080264E-4,1.0311615,1.0E-5
7.9,5.856431E-7,5.51822E-7,5.51822E-7,1.0,0.0,2.5098966E-6,2.3649493E-6,2.3649493E-6,1.0,0.0,3.0557563E-5,2.8792878E-5,2.8792878E-5,1.0,0.0,3.055336E-4,2.9905522E-4,3.090522E-4,1.0334287,1.0E-5
8.0,4.4768265E-7,5.1951093E-7,5.1951093E-7,1.0,0.0,1.9186384E-6,2.2264733E-6,2.2264733E-6,1.0,0.0,2.3359173E-5,2.7106978E-5,2.7106978E-5,1.0,0.0,2.3356717E-4,2.8163512E-4,2.916323E-4,1.035497,1.0E-5
8.1,2.6692538E-7,3.592058E-7,3.592058E-7,1.0,0.0,1.1439654E-6,1.5394526E-6,1.5394526E-6,1.0,0.0,1.392769E-5,1.8742676E-5,1.8742676E-5,1.0,0.0,1.3926817E-4,1.9467158E-4,1.9467158E-4,1.0,0.0
8.2,1.3198862E-8,1.173757E-8,1.173757E-8,1.0,0.0,5.656655E-8,5.030387E-8,5.030387E-8,1.0,0.0,6.886975E-7,6.1244947E-7,6.1244947E-7,1.0,0.0,6.8869535E-6,6.36405E-6,6.36405E-6,1.0,0.0
