Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.1,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.2,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.3,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.4,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.5,1.6763008E-5,2.544695E-5,4.5446443E-5,1.7859287,2.0E-5,7.183948E-5,1.09054214E-4,1.2905203E-4,1.183375,2.0E-5,8.742947E-4,0.0013269986,0.0013469721,1.0150516,2.0E-5,0.00870863,0.013298591,0.013347926,1.0037098,5.0E-5
6.6,9.910213E-6,1.7887538E-5,2.788736E-5,1.5590384,1.0E-5,4.247165E-5,7.6658645E-5,8.665788E-5,1.1304384,1.0E-5,5.169696E-4,9.329231E-4,9.429138E-4,1.010709,1.0E-5,0.0051576863,0.009391472,0.009411284,1.0021096,2.0E-5
6.7,9.910213E-6,1.7887538E-5,2.788736E-5,1.5590384,1.0E-5,4.247165E-5,7.6658645E-5,8.665788E-5,1.1304384,1.0E-5,5.169696E-4,9.329231E-4,9.429138E-4,1.010709,1.0E-5,0.0051576863,0.009391472,0.009411284,1.0021096,2.0E-5
6.8,8.300162E-6,1.6145272E-5,2.6145111E-5,1.6193664,1.0E-5,3.557164E-5,6.9192196E-5,7.919151E-5,1.1445149,1.0E-5,4.3299864E-4,8.4209087E-4,8.5208245E-4,1.0118653,1.0E-5,0.004321559,0.008490248,0.0085001625,1.0011678,1.0E-5
6.9,8.183114E-6,1.6016187E-5,2.6016027E-5,1.6243583,1.0E-5,3.5070017E-5,6.8639005E-5,7.863832E-5,1.1456797,1.0E-5,4.2689382E-4,8.353609E-4,8.4535254E-4,1.0119609,1.0E-5,0.0042607468,0.00842346,0.0084333755,1.0011772,1.0E-5
7.0,7.1748823E-6,1.4794917E-5,1.4794917E-5,1.0,0.0,3.0749135E-5,6.340525E-5,6.340525E-5,1.0,0.0,3.743064E-4,7.71686E-4,7.71686E-4,1.0,0.0,0.0037367654,0.0077908663,0.0077908663,1.0,0.0
7.1,7.1671807E-6,1.4785196E-5,1.4785196E-5,1.0,0.0,3.0716128E-5,6.3363594E-5,6.3363594E-5,1.0,0.0,3.7390468E-4,7.711792E-4,7.711792E-4,1.0,0.0,0.0037327618,0.007785834,0.007785834,1.0,0.0
7.2,7.0649667E-6,1.4630292E-5,1.4630292E-5,1.0,0.0,3.0278077E-5,6.269974E-5,6.269974E-5,1.0,0.0,3.6857324E-4,7.631026E-4,7.631026E-4,1.0,0.0,0.0036796255,0.0077055003,0.0077055003,1.0,0.0
7.3,7.02082E-6,1.4572473E-5,1.4572473E-5,1.0,0.0,3.008888E-5,6.245197E-5,6.245197E-5,1.0,0.0,3.6627054E-4,7.60088E-4,7.60088E-4,1.0,0.0,0.0036566744,0.0076753614,0.0076753614,1.0,0.0
7.4,6.987146E-6,1.4531316E-5,1.4531316E-5,1.0,0.0,2.9944567E-5,6.227558E-5,6.227558E-5,1.0,0.0,3.6451413E-4,7.5794203E-4,7.5794203E-4,1.0,0.0,0.0036391679,0.007653936,0.007653936,1.0,0.0
7.5,6.9494554E-6,1.4487667E-5,1.4487667E-5,1.0,0.0,2.9783041E-5,6.2088526E-5,6.2088526E-5,1.0,0.0,3.625482E-4,7.556662E-4,7.556662E-4,1.0,0.0,0.0036195726,0.0076312865,0.0076312865,1.0,0.0
7.6,6.92694E-6,1.4445758E-5,1.4445758E-5,1.0,0.0,2.9686547E-5,6.1908926E-5,6.1908926E-5,1.0,0.0,3.6137376E-4,7.5348106E-4,7.5348106E-4,1.0,0.0,0.0036078666,0.007609527,0.007609527,1.0,0.0
7.7,6.395867E-6,1.329645E-5,1.329645E-5,1.0,0.0,2.741057E-5,5.6983543E-5,5.6983543E-5,1.0,0.0,3.336726E-4,6.935541E-4,6.935541E-4,1.0,0.0,0.0033317201,0.0070140576,0.0070140576,1.0,0.0
7.8,5.8664327E-6,1.210907E-5,1.210907E-5,1.0,0.0,2.5141611E-5,5.1894982E-5,5.1894982E-5,1.0,0.0,3.060561E-4,6.3163845E-4,6.3163845E-4,1.0,0.0,0.0030563495,0.0063918787,0.0063918787,1.0,0.0
7.9,3.7167474E-6,7.462592E-6,7.462592E-6,1.0,0.0,1.592882E-5,3.1982145E-5,3.1982145E-5,1.0,0.0,1.9391612E-4,3.893132E-4,3.893132E-4,1.0,0.0,0.0019374699,0.0039447905,0.0039447905,1.0,0.0
8.0,1.0903841E-6,1.3664915E-6,1.3664915E-6,1.0,0.0,4.6730665E-6,5.8563787E-6,5.8563787E-6,1.0,0.0,5.68931E-5,7.1299095E-5,7.1299095E-5,1.0,0.0,5.6878536E-4,7.354358E-4,7.354358E-4,1.0,0.0
8.1,2.6894583E-7,1.2375587E-7,1.2375587E-7,1.0,0.0,1.1526245E-6,5.303821E-7,5.303821E-7,1.0,0.0,1.4033113E-5,6.4573837E-6,6.4573837E-6,1.0,0.0,1.4032227E-4,7.1890594E-5,7.1890594E-5,1.0,0.0
8.2,5.2967013E-9,2.7691405E-9,2.7691405E-9,1.0,0.0,2.2700148E-8,1.1867745E-8,1.1867745E-8,1.0,0.0,2.7637427E-7,1.4448979E-7,1.4448979E-7,1.0,0.0,2.7637393E-6,1.6326524E-6,1.6326524E-6,1.0,0.0
