Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.986481E-4,0.0012390573,0.0012690201,1.024182,3.0E-5,0.0025631124,0.005294505,0.0053342935,1.007515,4.0E-5,0.030762846,0.061765924,0.061822217,1.0009114,6.0E-5,0.26835477,0.42888728,0.42893296,1.0001066,8.0E-5
6.1,5.015945E-4,0.0010312487,0.0010612177,1.029061,3.0E-5,0.00214792,0.004408235,0.0044480585,1.0090339,4.0E-5,0.025839351,0.051716916,0.051773813,1.0011002,6.0E-5,0.23032776,0.37568298,0.37573293,1.0001329,8.0E-5
6.2,4.073338E-4,8.200585E-4,8.5003395E-4,1.0365528,3.0E-5,0.0017445484,0.0035069499,0.0035468098,1.0113659,4.0E-5,0.021034058,0.04139978,0.0414573,1.0013893,6.0E-5,0.19150782,0.3161026,0.3161573,1.0001731,8.0E-5
6.3,3.464099E-4,6.832545E-4,7.13234E-4,1.0438775,3.0E-5,0.0014837692,0.0029228237,0.0029627068,1.0136454,4.0E-5,0.017915873,0.034659807,0.034717727,1.0016711,6.0E-5,0.16538359,0.27457288,0.2746309,1.0002114,8.0E-5
6.4,2.935057E-4,5.6380057E-4,5.937836E-4,1.0531803,3.0E-5,0.0012572751,0.0024125795,0.002452483,1.0165398,4.0E-5,0.015200248,0.028739393,0.028797667,1.0020278,6.0E-5,0.14201577,0.23642276,0.23648386,1.0002583,8.0E-5
6.5,2.3409708E-4,4.303054E-4,4.602925E-4,1.069688,3.0E-5,0.0010028875,0.0018420634,0.0018819898,1.0216748,4.0E-5,0.012141965,0.022065854,0.02212453,1.0026591,6.0E-5,0.11499573,0.19046868,0.19053346,1.00034,8.0E-5
6.6,1.5842178E-4,2.5999834E-4,2.8999054E-4,1.1153554,3.0E-5,6.7877385E-4,0.0011137942,0.0011537496,1.0358733,4.0E-5,0.0082328,0.013474771,0.013533962,1.0043927,6.0E-5,0.07934396,0.12705356,0.12712339,1.0005497,8.0E-5
6.7,1.5616413E-4,2.5534068E-4,2.8533302E-4,1.1174601,3.0E-5,6.691031E-4,0.0010938519,0.001133808,1.036528,4.0E-5,0.0081159435,0.01323554,0.013294745,1.0044732,6.0E-5,0.0782586,0.1250807,0.1251507,1.0005596,8.0E-5
6.8,1.5538467E-4,2.535584E-4,2.8355076E-4,1.1182859,3.0E-5,6.6576427E-4,0.0010862206,0.0011261771,1.0367849,4.0E-5,0.008075596,0.013143908,0.01320312,1.0045048,6.0E-5,0.07788358,0.12430703,0.12437708,1.0005636,8.0E-5
6.9,1.5153569E-4,2.4457197E-4,2.7456463E-4,1.1226333,3.0E-5,6.49277E-4,0.0010477466,0.0010877048,1.0381372,4.0E-5,0.007876333,0.012682267,0.012741507,1.004671,6.0E-5,0.07602952,0.120364055,0.120434426,1.0005846,8.0E-5
7.0,1.4588932E-4,2.3296787E-4,2.6296088E-4,1.1287432,3.0E-5,6.250901E-4,9.980538E-4,0.0010380138,1.040038,4.0E-5,0.0075839474,0.0120841395,0.0121434145,1.0049052,6.0E-5,0.073302895,0.1151628,0.115233585,1.0006146,8.0E-5
7.1,1.1565079E-4,1.7064763E-4,2.0064252E-4,1.1757709,3.0E-5,4.955521E-4,7.3114294E-4,7.711137E-4,1.0546689,4.0E-5,0.006016669,0.008865555,0.008925023,1.0067078,6.0E-5,0.058563538,0.08716591,0.08723893,1.0008378,8.0E-5
