Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3461156E-5,2.4243373E-5,1.4424046E-4,5.949686,1.2E-4,5.7689394E-5,1.03896054E-4,2.6387942E-4,2.5398407,1.6E-4,7.02142E-4,0.0012642039,0.0014739385,1.1659025,2.1E-4,0.0069992766,0.012613085,0.012850058,1.0187879,2.4E-4
6.1,1.3461156E-5,2.4243373E-5,1.4424046E-4,5.949686,1.2E-4,5.7689394E-5,1.03896054E-4,2.6387942E-4,2.5398407,1.6E-4,7.02142E-4,0.0012642039,0.0014739385,1.1659025,2.1E-4,0.0069992766,0.012613085,0.012850058,1.0187879,2.4E-4
6.2,1.3461156E-5,2.4243373E-5,1.4424046E-4,5.949686,1.2E-4,5.7689394E-5,1.03896054E-4,2.6387942E-4,2.5398407,1.6E-4,7.02142E-4,0.0012642039,0.0014739385,1.1659025,2.1E-4,0.0069992766,0.012613085,0.012850058,1.0187879,2.4E-4
6.3,1.3461156E-5,2.4243373E-5,1.4424046E-4,5.949686,1.2E-4,5.7689394E-5,1.03896054E-4,2.6387942E-4,2.5398407,1.6E-4,7.02142E-4,0.0012642039,0.0014739385,1.1659025,2.1E-4,0.0069992766,0.012613085,0.012850058,1.0187879,2.4E-4
6.4,1.3461156E-5,2.4243373E-5,1.4424046E-4,5.949686,1.2E-4,5.7689394E-5,1.03896054E-4,2.6387942E-4,2.5398407,1.6E-4,7.02142E-4,0.0012642039,0.0014739385,1.1659025,2.1E-4,0.0069992766,0.012613085,0.012850058,1.0187879,2.4E-4
6.5,1.3450706E-5,2.4232326E-5,1.4422942E-4,5.951943,1.2E-4,5.764461E-5,1.0384871E-4,2.638321E-4,2.5405428,1.6E-4,7.0159714E-4,0.0012636281,0.0014733628,1.1659781,2.1E-4,0.006993862,0.012607393,0.012844367,1.0187964,2.4E-4
6.6,1.3074523E-5,2.3846354E-5,1.438435E-4,6.0320954,1.2E-4,5.6032466E-5,1.0219468E-4,2.6217834E-4,2.5654793,1.6E-4,6.8198174E-4,0.0012435134,0.0014532523,1.1686664,2.1E-4,0.006798926,0.012408505,0.012645527,1.0191016,2.4E-4
6.7,1.3050216E-5,2.3821605E-5,1.4381875E-4,6.037324,1.2E-4,5.59283E-5,1.0208862E-4,2.6207228E-4,2.5671058,1.6E-4,6.8071426E-4,0.0012422237,0.0014519627,1.1688417,2.1E-4,0.0067863287,0.012395751,0.012632776,1.0191215,2.4E-4
6.8,1.29049395E-5,2.3669872E-5,1.4366703E-4,6.069616,1.2E-4,5.530571E-5,1.0143838E-4,2.6142216E-4,2.5771523,1.6E-4,6.73139E-4,0.0012343159,0.0014440567,1.1699247,2.1E-4,0.0067110364,0.012317552,0.012554596,1.0192444,2.4E-4
6.9,1.2867369E-5,2.362917E-5,1.4362634E-4,6.078348,1.2E-4,5.51447E-5,1.0126397E-4,2.6124777E-4,2.579869,1.6E-4,6.711799E-4,0.0012321948,0.0014419361,1.1702176,2.1E-4,0.006691564,0.012296576,0.012533626,1.0192776,2.4E-4
7.0,1.2495996E-5,2.302449E-5,1.4302172E-4,6.211722,1.2E-4,5.3553173E-5,9.8672666E-5,2.586569E-4,2.621363,1.6E-4,6.518148E-4,0.0012006806,0.0014104286,1.1746908,2.1E-4,0.0064990623,0.011984845,0.012221969,1.0197853,2.4E-4
7.1,1.2452067E-5,2.296935E-5,1.429666E-4,6.224233,1.2E-4,5.3364907E-5,9.843638E-5,2.5842062E-4,2.6252553,1.6E-4,6.4952404E-4,0.001197807,0.0014075554,1.1751105,2.1E-4,0.0064762887,0.011956418,0.0121935485,1.0198328,2.4E-4
7.2,1.2002777E-5,2.2344246E-5,1.4234157E-4,6.37039,1.2E-4,5.143946E-5,9.5757554E-5,2.5574223E-4,2.6707265,1.6E-4,6.2609545E-4,0.0011652275,0.0013749828,1.1800123,2.1E-4,0.006243344,0.011634086,0.011871294,1.0203891,2.4E-4
7.3,1.1923425E-5,2.2213315E-5,1.4221064E-4,6.4020457,1.2E-4,5.109939E-5,9.519646E-5,2.5518122E-4,2.680575,1.6E-4,6.219575E-4,0.0011584035,0.0013681601,1.181074,2.1E-4,0.0062021962,0.011566596,0.011803821,1.0205094,2.4E-4
7.4,1.16105175E-5,2.158007E-5,1.2157791E-4,5.6338053,1.0E-4,4.975841E-5,9.248275E-5,2.324698E-4,2.513656,1.4E-4,6.0564023E-4,0.0011253986,0.0013151848,1.1686391,1.9E-4,0.006039923,0.011240455,0.0114579825,1.0193522,2.2E-4
7.5,1.1037265E-5,2.0255404E-5,8.025419E-5,3.9621124,6.0E-5,4.7301706E-5,8.6806E-5,1.7679819E-4,2.0367048,9.0E-5,5.757461E-4,0.001056353,0.0011862157,1.1229349,1.3E-4,0.005742567,0.010555,0.010703417,1.0140613,1.5E-4
7.6,1.0720915E-5,1.968905E-5,7.968787E-5,4.047319,6.0E-5,4.5945973E-5,8.437893E-5,1.7437134E-4,2.066527,9.0E-5,5.592486E-4,0.0010268317,0.0011566981,1.1264731,1.3E-4,0.005578433,0.010262562,0.010401125,1.0135018,1.4E-4
7.7,9.276279E-6,1.7090919E-5,7.708989E-5,4.5105762,6.0E-5,3.9754876E-5,7.324475E-5,1.6323816E-4,2.228667,9.0E-5,4.839081E-4,8.9139177E-4,0.0010212759,1.1457094,1.3E-4,0.0048285574,0.008919791,0.009058543,1.0155554,1.4E-4
7.8,5.8346777E-6,1.1656465E-5,1.1656465E-5,1.0,0.0,2.5005522E-5,4.9955324E-5,4.9955324E-5,1.0,0.0,3.043997E-4,6.0803647E-4,6.0803647E-4,1.0,0.0,0.0030398308,0.0061049643,0.0061049643,1.0,0.0
7.9,4.690204E-6,8.9272235E-6,8.9272235E-6,1.0,0.0,2.0100719E-5,3.825897E-5,3.825897E-5,1.0,0.0,2.4469878E-4,4.6570352E-4,4.6570352E-4,1.0,0.0,0.002444295,0.0046860925,0.0046860925,1.0,0.0
8.0,2.9570454E-6,5.1027428E-6,5.1027428E-6,1.0,0.0,1.267299E-5,2.1868715E-5,2.1868715E-5,1.0,0.0,1.5428272E-4,2.662191E-4,2.662191E-4,1.0,0.0,0.0015417566,0.0026827096,0.0026827096,1.0,0.0
8.1,1.6376824E-6,2.3315297E-6,2.3315297E-6,1.0,0.0,7.01862E-6,9.992232E-6,9.992232E-6,1.0,0.0,8.544835E-5,1.2164864E-4,1.2164864E-4,1.0,0.0,8.54155E-4,0.0012310229,0.0012310229,1.0,0.0
8.2,6.9631557E-7,4.96E-7,4.96E-7,1.0,0.0,2.984206E-6,2.1257126E-6,2.1257126E-6,1.0,0.0,3.63321E-5,2.5880245E-5,2.5880245E-5,1.0,0.0,3.6326164E-4,2.6765247E-4,2.6765247E-4,1.0,0.0
8.3,1.7876137E-7,9.226641E-8,9.226641E-8,1.0,0.0,7.661199E-7,3.954274E-7,3.954274E-7,1.0,0.0,9.32747E-6,4.8143183E-6,4.8143183E-6,1.0,0.0,9.3270784E-5,5.0461196E-5,5.0461196E-5,1.0,0.0
