Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.7221631E-4,1.437542E-4,1.5375276E-4,1.0695531,1.0E-5,7.378611E-4,6.159461E-4,6.2593987E-4,1.0162252,1.0E-5,0.008946515,0.007473759,0.007493609,1.002656,2.0E-5,0.08594794,0.07334246,0.073379524,1.0005053,4.0E-5
6.1,1.7221631E-4,1.437542E-4,1.5375276E-4,1.0695531,1.0E-5,7.378611E-4,6.159461E-4,6.2593987E-4,1.0162252,1.0E-5,0.008946515,0.007473759,0.007493609,1.002656,2.0E-5,0.08594794,0.07334246,0.073379524,1.0005053,4.0E-5
6.2,1.7221631E-4,1.437542E-4,1.5375276E-4,1.0695531,1.0E-5,7.378611E-4,6.159461E-4,6.2593987E-4,1.0162252,1.0E-5,0.008946515,0.007473759,0.007493609,1.002656,2.0E-5,0.08594794,0.07334246,0.073379524,1.0005053,4.0E-5
6.3,1.716926E-4,1.4293563E-4,1.5293421E-4,1.0699515,1.0E-5,7.3561794E-4,6.1243965E-4,6.224335E-4,1.0163181,1.0E-5,0.008919428,0.007431359,0.0074512106,1.0026712,2.0E-5,0.08569809,0.072950184,0.072987266,1.0005083,4.0E-5
6.4,1.6392978E-4,1.4155255E-4,1.5155114E-4,1.0706352,1.0E-5,7.02367E-4,6.0651486E-4,6.165088E-4,1.0164776,1.0E-5,0.008517839,0.007359714,0.0073795663,1.0026975,2.0E-5,0.08198654,0.072095975,0.072133094,1.0005149,4.0E-5
6.5,1.5742714E-4,1.3196503E-4,1.4196371E-4,1.0757676,1.0E-5,6.745133E-4,5.6544365E-4,5.7543797E-4,1.0176753,1.0E-5,0.00818132,0.006862879,0.0068827416,1.0028943,2.0E-5,0.078865945,0.067495905,0.06753321,1.0005527,4.0E-5
6.6,1.3038084E-4,1.2084239E-4,1.3084119E-4,1.0827425,1.0E-5,5.5865536E-4,5.177945E-4,5.2778935E-4,1.0193027,1.0E-5,0.006780438,0.006286172,0.0063060466,1.0031615,2.0E-5,0.0657725,0.061666444,0.06170398,1.0006087,4.0E-5
6.7,1.2867592E-4,1.1807223E-4,1.2807106E-4,1.0846839,1.0E-5,5.5135164E-4,5.059271E-4,5.15922E-4,1.0197557,1.0E-5,0.0066920654,0.0061425082,0.0061623855,1.003236,2.0E-5,0.06494093,0.060365066,0.06040265,1.0006226,4.0E-5
6.8,1.2801298E-4,1.1743954E-4,1.2743835E-4,1.0851402,1.0E-5,5.485117E-4,5.032165E-4,5.1321153E-4,1.0198622,1.0E-5,0.0066577005,0.0061097024,0.00612958,1.0032535,2.0E-5,0.06461738,0.060075805,0.060113404,1.0006258,4.0E-5
6.9,1.269149E-4,1.1584123E-4,1.2584006E-4,1.086315,1.0E-5,5.4380763E-4,4.9636926E-4,5.063643E-4,1.0201362,1.0E-5,0.006600777,0.0060268007,0.0060466803,1.0032985,2.0E-5,0.06408122,0.059341047,0.059378672,1.0006341,4.0E-5
