Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.279495E-5,1.0460426E-4,1.0460426E-4,1.0,0.0,3.5478722E-4,4.4822527E-4,4.4822527E-4,1.0,0.0,0.004310982,0.0054439357,0.0054538813,1.0018269,1.0E-5,0.042283054,0.05316278,0.053172246,1.0001781,1.0E-5
6.1,4.6961468E-5,5.7904388E-5,5.7904388E-5,1.0,0.0,2.0124791E-4,2.4813905E-4,2.4813905E-4,1.0,0.0,0.00244744,0.0030169531,0.0030169531,1.0,0.0,0.024206603,0.029767191,0.029767191,1.0,0.0
6.2,3.5079658E-5,4.225577E-5,4.225577E-5,1.0,0.0,1.5033272E-4,1.8108384E-4,1.8108384E-4,1.0,0.0,0.0018287642,0.0022024836,0.0022024836,1.0,0.0,0.018137876,0.021808757,0.021808757,1.0,0.0
6.3,3.5079658E-5,4.225577E-5,4.225577E-5,1.0,0.0,1.5033272E-4,1.8108384E-4,1.8108384E-4,1.0,0.0,0.0018287642,0.0022024836,0.0022024836,1.0,0.0,0.018137876,0.021808757,0.021808757,1.0,0.0
6.4,2.7196904E-5,3.2164466E-5,3.2164466E-5,1.0,0.0,1.16552954E-4,1.3784053E-4,1.3784053E-4,1.0,0.0,0.0014181085,0.0016769273,0.0016769273,1.0,0.0,0.014090929,0.016644292,0.016644292,1.0,0.0
6.5,2.5584688E-5,3.0172849E-5,3.0172849E-5,1.0,0.0,1.0964406E-4,1.2930589E-4,1.2930589E-4,1.0,0.0,0.0013340989,0.0015731734,0.0015731734,1.0,0.0,0.013261181,0.015621884,0.015621884,1.0,0.0
6.6,2.2034688E-5,2.5800748E-5,2.5800748E-5,1.0,0.0,9.443096E-5,1.1056999E-4,1.1056999E-4,1.0,0.0,0.0011490905,0.0013453659,0.0013453659,1.0,0.0,0.011431668,0.013373198,0.013373198,1.0,0.0
6.7,1.9394853E-5,2.2590746E-5,2.2590746E-5,1.0,0.0,8.311815E-5,9.681392E-5,9.681392E-5,1.0,0.0,0.0010114936,0.0011780773,0.0011780773,1.0,0.0,0.01006902,0.011719029,0.011719029,1.0,0.0
6.8,1.7615313E-5,2.0446385E-5,2.0446385E-5,1.0,0.0,7.549201E-5,8.7624445E-5,8.7624445E-5,1.0,0.0,9.1872766E-4,0.0010663099,0.0010663099,1.0,0.0,0.009149387,0.010612504,0.010612504,1.0,0.0
6.9,1.5621423E-5,1.8063205E-5,1.8063205E-5,1.0,0.0,6.6947236E-5,7.741146E-5,7.741146E-5,1.0,0.0,8.147778E-4,9.420806E-4,9.420806E-4,1.0,0.0,0.008117969,0.009381316,0.009381316,1.0,0.0
7.0,1.3444376E-5,1.5478838E-5,1.5478838E-5,1.0,0.0,5.7617483E-5,6.633621E-5,6.633621E-5,1.0,0.0,7.0126704E-4,8.073468E-4,8.073468E-4,1.0,0.0,0.006990582,0.008044472,0.008044472,1.0,0.0
7.1,1.2268361E-5,1.4100676E-5,1.4100676E-5,1.0,0.0,5.2577634E-5,6.043008E-5,6.043008E-5,1.0,0.0,6.399447E-4,7.354905E-4,7.354905E-4,1.0,0.0,0.0063810493,0.00733087,0.00733087,1.0,0.0
7.2,1.0922655E-5,1.2537908E-5,1.2537908E-5,1.0,0.0,4.681054E-5,5.37328E-5,5.37328E-5,1.0,0.0,5.697693E-4,6.5400306E-4,6.5400306E-4,1.0,0.0,0.0056831064,0.0065210653,0.0065210653,1.0,0.0
7.3,6.1106753E-6,6.941328E-6,6.941328E-6,1.0,0.0,2.6188345E-5,2.9748213E-5,2.9748213E-5,1.0,0.0,3.1879646E-4,3.621247E-4,3.621247E-4,1.0,0.0,0.0031833951,0.0036153917,0.0036153917,1.0,0.0
7.4,4.933187E-6,5.599503E-6,5.599503E-6,1.0,0.0,2.114206E-5,2.399765E-5,2.399765E-5,1.0,0.0,2.5737417E-4,2.921326E-4,2.921326E-4,1.0,0.0,0.002570763,0.0029175275,0.0029175275,1.0,0.0
7.5,1.7489613E-6,1.973028E-6,1.973028E-6,1.0,0.0,7.495527E-6,8.455809E-6,8.455809E-6,1.0,0.0,9.125422E-5,1.0294483E-4,1.0294483E-4,1.0,0.0,9.1216754E-4,0.0010289935,0.0010289935,1.0,0.0
7.6,1.6988751E-7,1.7541296E-7,1.7541296E-7,1.0,0.0,7.2808916E-7,7.517696E-7,7.517696E-7,1.0,0.0,8.864449E-6,9.152759E-6,9.152759E-6,1.0,0.0,8.8640954E-5,9.1524016E-5,9.1524016E-5,1.0,0.0
