Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.652694E-5,3.598509E-5,3.598509E-5,1.0,0.0,1.5653463E-4,1.5421271E-4,1.5421271E-4,1.0,0.0,0.0019041431,0.0018759249,0.0018759249,1.0,0.0,0.018879099,0.019342216,0.019352023,1.000507,1.0E-5
6.1,3.652694E-5,3.598509E-5,3.598509E-5,1.0,0.0,1.5653463E-4,1.5421271E-4,1.5421271E-4,1.0,0.0,0.0019041431,0.0018759249,0.0018759249,1.0,0.0,0.018879099,0.019342216,0.019352023,1.000507,1.0E-5
6.2,3.652694E-5,3.598509E-5,3.598509E-5,1.0,0.0,1.5653463E-4,1.5421271E-4,1.5421271E-4,1.0,0.0,0.0019041431,0.0018759249,0.0018759249,1.0,0.0,0.018879099,0.019342216,0.019352023,1.000507,1.0E-5
6.3,3.652694E-5,3.598509E-5,3.598509E-5,1.0,0.0,1.5653463E-4,1.5421271E-4,1.5421271E-4,1.0,0.0,0.0019041431,0.0018759249,0.0018759249,1.0,0.0,0.018879099,0.019342216,0.019352023,1.000507,1.0E-5
6.4,3.646941E-5,3.5906312E-5,3.5906312E-5,1.0,0.0,1.5628811E-4,1.5387514E-4,1.5387514E-4,1.0,0.0,0.0019011468,0.0018718224,0.0018718224,1.0,0.0,0.018849645,0.019301953,0.01931176,1.0005081,1.0E-5
6.5,3.646941E-5,3.5906312E-5,3.5906312E-5,1.0,0.0,1.5628811E-4,1.5387514E-4,1.5387514E-4,1.0,0.0,0.0019011468,0.0018718224,0.0018718224,1.0,0.0,0.018849645,0.019301953,0.01931176,1.0005081,1.0E-5
6.6,3.6442503E-5,3.5869536E-5,3.5869536E-5,1.0,0.0,1.561728E-4,1.5371754E-4,1.5371754E-4,1.0,0.0,0.0018997455,0.0018699071,0.0018699071,1.0,0.0,0.018835869,0.019283155,0.019292962,1.0005085,1.0E-5
6.7,3.6432113E-5,3.5855042E-5,3.5855042E-5,1.0,0.0,1.5612828E-4,1.5365543E-4,1.5365543E-4,1.0,0.0,0.0018992044,0.0018691524,0.0018691524,1.0,0.0,0.018830549,0.019275751,0.019285558,1.0005088,1.0E-5
6.8,3.6409598E-5,3.582395E-5,3.582395E-5,1.0,0.0,1.560318E-4,1.5352218E-4,1.5352218E-4,1.0,0.0,0.0018980318,0.0018675328,0.0018675328,1.0,0.0,0.018819023,0.01925984,0.019269647,1.0005093,1.0E-5
6.9,3.638078E-5,3.5784175E-5,3.5784175E-5,1.0,0.0,1.5590832E-4,1.5335175E-4,1.5335175E-4,1.0,0.0,0.0018965311,0.0018654615,0.0018654615,1.0,0.0,0.018804269,0.01923949,0.0192493,1.0005097,1.0E-5
7.0,3.6294874E-5,3.5665613E-5,3.5665613E-5,1.0,0.0,1.5554018E-4,1.5284368E-4,1.5284368E-4,1.0,0.0,0.0018920569,0.0018592863,0.0018592863,1.0,0.0,0.018760284,0.019178826,0.019188635,1.0005114,1.0E-5
7.1,3.6260717E-5,3.562174E-5,3.562174E-5,1.0,0.0,1.5539382E-4,1.5265567E-4,1.5265567E-4,1.0,0.0,0.001890278,0.0018570012,0.0018570012,1.0,0.0,0.018742796,0.019156376,0.019166185,1.000512,1.0E-5
7.2,3.6210204E-5,3.555558E-5,3.555558E-5,1.0,0.0,1.5517735E-4,1.5237217E-4,1.5237217E-4,1.0,0.0,0.001887647,0.0018535556,0.0018535556,1.0,0.0,0.01871693,0.019122502,0.01913231,1.000513,1.0E-5
7.3,3.6119454E-5,3.5442663E-5,3.5442663E-5,1.0,0.0,1.5478847E-4,1.5188831E-4,1.5188831E-4,1.0,0.0,0.0018829206,0.0018476745,0.0018476745,1.0,0.0,0.018670462,0.01906449,0.019074298,1.0005145,1.0E-5
7.4,3.607848E-5,3.5389483E-5,3.5389483E-5,1.0,0.0,1.5461289E-4,1.5166041E-4,1.5166041E-4,1.0,0.0,0.0018807866,0.0018449045,0.0018449045,1.0,0.0,0.018649481,0.01903716,0.01904697,1.0005153,1.0E-5
7.5,3.5856774E-5,3.519584E-5,3.519584E-5,1.0,0.0,1.5366284E-4,1.5083062E-4,1.5083062E-4,1.0,0.0,0.0018692396,0.0018348189,0.0018348189,1.0,0.0,0.018535944,0.018936578,0.018946389,1.0005181,1.0E-5
7.6,3.286655E-5,3.368375E-5,3.368375E-5,1.0,0.0,1.4084904E-4,1.4435095E-4,1.4435095E-4,1.0,0.0,0.001713488,0.0017560583,0.0017560583,1.0,0.0,0.017003361,0.018138582,0.0181484,1.0005413,1.0E-5
7.7,2.8882527E-5,3.0742263E-5,3.0742263E-5,1.0,0.0,1.237764E-4,1.3174591E-4,1.3174591E-4,1.0,0.0,0.0015059357,0.0016028276,0.0016028276,1.0,0.0,0.014957713,0.016608573,0.016618408,1.0005921,1.0E-5
7.8,2.4950225E-5,2.7968437E-5,2.7968437E-5,1.0,0.0,1.0692515E-4,1.1985923E-4,1.1985923E-4,1.0,0.0,0.0013010362,0.0014583103,0.0014583103,1.0,0.0,0.012934455,0.015157589,0.0151674375,1.0006497,1.0E-5
7.9,1.9881603E-5,2.2789274E-5,2.2789274E-5,1.0,0.0,8.520408E-5,9.766467E-5,9.766467E-5,1.0,0.0,0.001036866,0.0011884196,0.0011884196,1.0,0.0,0.010320415,0.012442668,0.012452544,1.0007937,1.0E-5
8.0,1.563292E-5,1.6967013E-5,1.6967013E-5,1.0,0.0,6.6996516E-5,7.2713745E-5,7.2713745E-5,1.0,0.0,8.153773E-4,8.84931E-4,8.84931E-4,1.0,0.0,0.00812392,0.009351121,0.009361028,1.0010594,1.0E-5
8.1,1.0045313E-5,8.904175E-6,8.904175E-6,1.0,0.0,4.305063E-5,3.8160197E-5,3.8160197E-5,1.0,0.0,5.2401534E-4,4.645019E-4,4.645019E-4,1.0,0.0,0.0052278144,0.004981984,0.004981984,1.0,0.0
8.2,4.1554413E-6,1.7400293E-6,1.7400293E-6,1.0,0.0,1.7808914E-5,7.4572476E-6,7.4572476E-6,1.0,0.0,2.1680194E-4,9.078824E-5,9.078824E-5,1.0,0.0,0.0021659054,0.0010478249,0.0010478249,1.0,0.0
8.3,1.2758221E-6,4.0868184E-7,4.0868184E-7,1.0,0.0,5.4677976E-6,1.7514925E-6,1.7514925E-6,1.0,0.0,6.65684E-5,2.1324218E-5,2.1324218E-5,1.0,0.0,6.6548464E-4,2.5513614E-4,2.5513614E-4,1.0,0.0
