Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.0667746E-5,3.6842248E-5,3.6842248E-5,1.0,0.0,1.742787E-4,1.5788582E-4,1.5788582E-4,1.0,0.0,0.0021197782,0.0019205663,0.0019205663,1.0,0.0,0.020996714,0.019797854,0.019807655,1.0004951,1.0E-5
6.1,4.0667746E-5,3.6842248E-5,3.6842248E-5,1.0,0.0,1.742787E-4,1.5788582E-4,1.5788582E-4,1.0,0.0,0.0021197782,0.0019205663,0.0019205663,1.0,0.0,0.020996714,0.019797854,0.019807655,1.0004951,1.0E-5
6.2,4.0667746E-5,3.6842248E-5,3.6842248E-5,1.0,0.0,1.742787E-4,1.5788582E-4,1.5788582E-4,1.0,0.0,0.0021197782,0.0019205663,0.0019205663,1.0,0.0,0.020996714,0.019797854,0.019807655,1.0004951,1.0E-5
6.3,4.0667746E-5,3.6842248E-5,3.6842248E-5,1.0,0.0,1.742787E-4,1.5788582E-4,1.5788582E-4,1.0,0.0,0.0021197782,0.0019205663,0.0019205663,1.0,0.0,0.020996714,0.019797854,0.019807655,1.0004951,1.0E-5
6.4,4.0577226E-5,3.6713536E-5,3.6713536E-5,1.0,0.0,1.738908E-4,1.5733425E-4,1.5733425E-4,1.0,0.0,0.0021150648,0.001913864,0.001913864,1.0,0.0,0.020950472,0.019732164,0.019741967,1.0004967,1.0E-5
6.5,4.0577226E-5,3.6713536E-5,3.6713536E-5,1.0,0.0,1.738908E-4,1.5733425E-4,1.5733425E-4,1.0,0.0,0.0021150648,0.001913864,0.001913864,1.0,0.0,0.020950472,0.019732164,0.019741967,1.0004967,1.0E-5
6.6,4.053861E-5,3.665861E-5,3.665861E-5,1.0,0.0,1.7372532E-4,1.5709888E-4,1.5709888E-4,1.0,0.0,0.0021130538,0.0019110041,0.0019110041,1.0,0.0,0.020930743,0.019704131,0.019713935,1.0004975,1.0E-5
6.7,4.0516545E-5,3.6627534E-5,3.6627534E-5,1.0,0.0,1.7363077E-4,1.5696573E-4,1.5696573E-4,1.0,0.0,0.002111905,0.0019093859,0.0019093859,1.0,0.0,0.020919468,0.019688267,0.01969807,1.0004979,1.0E-5
6.8,4.049434E-5,3.659885E-5,3.659885E-5,1.0,0.0,1.7353562E-4,1.568428E-4,1.568428E-4,1.0,0.0,0.0021107488,0.0019078918,0.0019078918,1.0,0.0,0.020908125,0.019673564,0.019683367,1.0004983,1.0E-5
6.9,4.046386E-5,3.656104E-5,3.656104E-5,1.0,0.0,1.73405E-4,1.5668078E-4,1.5668078E-4,1.0,0.0,0.0021091616,0.0019059229,0.0019059229,1.0,0.0,0.020892553,0.019654166,0.019663969,1.0004988,1.0E-5
