Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3379373E-5,1.1033386E-5,2.1033276E-5,1.9063301,1.0E-5,5.7338908E-5,4.728509E-5,5.728462E-5,1.2114731,1.0E-5,6.978776E-4,5.7554536E-4,5.855396E-4,1.0173649,1.0E-5,0.0069569005,0.0057410835,0.005751026,1.0017319,1.0E-5
6.1,1.3379373E-5,1.1033386E-5,2.1033276E-5,1.9063301,1.0E-5,5.7338908E-5,4.728509E-5,5.728462E-5,1.2114731,1.0E-5,6.978776E-4,5.7554536E-4,5.855396E-4,1.0173649,1.0E-5,0.0069569005,0.0057410835,0.005751026,1.0017319,1.0E-5
6.2,1.3379373E-5,1.1033386E-5,2.1033276E-5,1.9063301,1.0E-5,5.7338908E-5,4.728509E-5,5.728462E-5,1.2114731,1.0E-5,6.978776E-4,5.7554536E-4,5.855396E-4,1.0173649,1.0E-5,0.0069569005,0.0057410835,0.005751026,1.0017319,1.0E-5
6.3,1.3379373E-5,1.1033386E-5,2.1033276E-5,1.9063301,1.0E-5,5.7338908E-5,4.728509E-5,5.728462E-5,1.2114731,1.0E-5,6.978776E-4,5.7554536E-4,5.855396E-4,1.0173649,1.0E-5,0.0069569005,0.0057410835,0.005751026,1.0017319,1.0E-5
6.4,1.3379373E-5,1.1033386E-5,2.1033276E-5,1.9063301,1.0E-5,5.7338908E-5,4.728509E-5,5.728462E-5,1.2114731,1.0E-5,6.978776E-4,5.7554536E-4,5.855396E-4,1.0173649,1.0E-5,0.0069569005,0.0057410835,0.005751026,1.0017319,1.0E-5
6.5,1.26563245E-5,1.0262169E-5,2.0262067E-5,1.9744428,1.0E-5,5.4240263E-5,4.397999E-5,5.397955E-5,1.2273661,1.0E-5,6.601751E-4,5.353259E-4,5.4532057E-4,1.0186702,1.0E-5,0.006582173,0.0053408565,0.005350803,1.0018624,1.0E-5
6.6,1.26563245E-5,1.0262169E-5,2.0262067E-5,1.9744428,1.0E-5,5.4240263E-5,4.397999E-5,5.397955E-5,1.2273661,1.0E-5,6.601751E-4,5.353259E-4,5.4532057E-4,1.0186702,1.0E-5,0.006582173,0.0053408565,0.005350803,1.0018624,1.0E-5
6.7,1.2502474E-5,1.00981715E-5,2.009807E-5,1.9902682,1.0E-5,5.3580934E-5,4.3277167E-5,5.3276734E-5,1.2310587,1.0E-5,6.521526E-4,5.267732E-4,5.3676794E-4,1.0189735,1.0E-5,0.0065024206,0.0052557355,0.005265683,1.0018927,1.0E-5
6.8,1.2454966E-5,1.0050391E-5,2.0050291E-5,1.9949762,1.0E-5,5.3377335E-5,4.30724E-5,5.307197E-5,1.2321572,1.0E-5,6.4967526E-4,5.2428135E-4,5.342761E-4,1.0190637,1.0E-5,0.006477792,0.005230935,0.0052408823,1.0019017,1.0E-5
6.9,1.2225574E-5,9.824013E-6,1.9823914E-5,2.017904,1.0E-5,5.2394265E-5,4.210224E-5,5.210182E-5,1.2375071,1.0E-5,6.3771347E-4,5.1247526E-4,5.2247016E-4,1.0195031,1.0E-5,0.006358865,0.005113422,0.005123371,1.0019456,1.0E-5
