Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,16.815,0.0,88.0,7.0,2.0,0.93641,0.00155,9.09478
2.6,13.35369,0.0,70.0,6.0,1.0,0.91467,0.00155,7.22499
2.7,10.61019,0.0,56.0,5.0,1.0,0.88709,0.00155,5.73767
2.8,8.42769,0.0,45.0,4.0,0.0,0.85522,0.00155,4.55922
2.9,6.69679,0.0,36.0,3.0,0.0,0.81797,0.00155,3.62326
3.0,5.31393,0.0,28.0,2.0,0.0,0.77632,0.00155,2.87585
3.1,4.2285,0.0,23.0,2.0,0.0,0.73008,0.00155,2.28851
3.2,3.36482,0.0,18.0,1.0,0.0,0.68042,0.00155,1.82067
3.3,2.67094,0.0,15.0,1.0,0.0,0.62671,0.00155,1.44345
3.4,2.1205,0.0,12.0,1.0,0.0,0.57338,0.00155,1.14677
3.5,1.68474,0.0,10.0,1.0,0.0,0.51828,0.00155,0.91042
3.6,1.33815,0.0,8.0,0.0,0.0,0.46433,0.00155,0.72242
3.7,1.0615,0.0,6.0,0.0,0.0,0.4112,0.00155,0.57361
3.8,0.84219,0.0,5.0,0.0,0.0,0.36091,0.00155,0.45537
3.9,0.66909,0.0,4.0,0.0,0.0,0.31392,0.00155,0.36173
4.0,0.53152,0.0,4.0,0.0,0.0,0.26992,0.00155,0.28714
4.1,0.42243,0.0,3.0,0.0,0.0,0.23208,0.00155,0.22938
4.2,0.33596,0.0,3.0,0.0,0.0,0.1975,0.00155,0.18255
4.3,0.26787,0.0,2.0,0.0,0.0,0.1668,0.00155,0.14595
4.4,0.21172,0.0,2.0,0.0,0.0,0.13854,0.00155,0.11585
4.5,0.16763,0.0,2.0,0.0,0.0,0.1149,0.00155,0.09215
4.6,0.13274,0.0,1.0,0.0,0.0,0.09457,0.00155,0.07296
4.7,0.10562,0.0,1.0,0.0,0.0,0.07776,0.00155,0.05826
4.8,0.08384,0.0,1.0,0.0,0.0,0.06385,0.00155,0.04621
4.9,0.06671,0.0,1.0,0.0,0.0,0.05213,0.00155,0.03648
5.0,0.05266,0.0,1.0,0.0,0.0,0.04239,0.00155,0.02864
5.1,0.0414,0.0,1.0,0.0,0.0,0.03432,0.00155,0.02256
5.2,0.0325,0.0,1.0,0.0,0.0,0.02756,0.00155,0.01757
5.3,0.02563,0.0,0.0,0.0,0.0,0.0222,0.00155,0.014
5.4,0.02004,0.0,0.0,0.0,0.0,0.01761,0.00155,0.01081
5.5,0.01583,0.0,0.0,0.0,0.0,0.01414,0.00155,0.00864
5.6,0.01235,0.0,0.0,0.0,0.0,0.01119,0.00155,0.00679
5.7,0.00945,0.0,0.0,0.0,0.0,0.00867,0.00155,0.00521
5.8,0.00741,0.0,0.0,0.0,0.0,0.00686,0.00155,0.0041
5.9,0.00586,0.0,0.0,0.0,0.0,0.00545,0.00155,0.00325
6.0,0.00447,0.0,0.0,0.0,0.0,0.00421,0.00155,0.00252
6.1,0.00348,0.0,0.0,0.0,0.0,0.0033,0.00155,0.00197
6.2,0.00259,0.0,0.0,0.0,0.0,0.0025,0.00154,0.00146
6.3,0.00222,0.0,0.0,0.0,0.0,0.00217,0.00154,0.0013
6.4,0.00188,0.0,0.0,0.0,0.0,0.00186,0.00154,0.00107
6.5,6.8E-4,0.0,0.0,0.0,0.0,6.8E-4,4.4E-4,4.1E-4
6.6,6.1E-4,0.0,0.0,0.0,0.0,6.1E-4,4.4E-4,3.8E-4
6.7,3.8E-4,0.0,0.0,0.0,0.0,3.8E-4,2.6E-4,2.2E-4
6.8,2.8E-4,0.0,0.0,0.0,0.0,2.8E-4,2.1E-4,1.6E-4
6.9,2.2E-4,0.0,0.0,0.0,0.0,2.2E-4,1.7E-4,1.3E-4
7.0,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,2.0E-5
7.1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0,1.0E-5
7.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
7.3,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
