Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,81.03585,2.0,437.0,33.0,7.0,0.99378,0.0077,36.51222
2.6,64.34855,1.0,348.0,26.0,6.0,0.99036,0.0077,28.99324
2.7,51.10663,1.0,277.0,21.0,5.0,0.98556,0.0077,23.0312
2.8,40.59923,1.0,220.0,16.0,3.0,0.97822,0.0077,18.29453
2.9,32.25577,0.0,175.0,13.0,3.0,0.96886,0.0077,14.5364
3.0,25.61992,0.0,139.0,10.0,2.0,0.95698,0.0077,11.54284
3.1,20.35874,0.0,111.0,8.0,1.0,0.9402,0.0077,9.17221
3.2,16.17067,0.0,89.0,6.0,1.0,0.91998,0.0077,7.28578
3.3,12.8401,0.0,70.0,5.0,1.0,0.89319,0.0077,5.78331
3.4,10.20228,0.0,57.0,4.0,0.0,0.86231,0.0077,4.59415
3.5,8.10515,0.0,45.0,3.0,0.0,0.82679,0.0077,3.65059
3.6,6.43857,0.0,36.0,2.0,0.0,0.78657,0.0077,2.89968
3.7,5.11648,0.0,29.0,2.0,0.0,0.74244,0.0077,2.30552
3.8,4.06293,0.0,23.0,1.0,0.0,0.69479,0.0077,1.83145
3.9,3.23044,0.0,19.0,1.0,0.0,0.64251,0.0077,1.45545
4.0,2.56382,0.0,15.0,1.0,0.0,0.58959,0.0077,1.15658
4.1,2.03426,0.0,12.0,1.0,0.0,0.53469,0.0077,0.9182
4.2,1.61723,0.0,10.0,0.0,0.0,0.48236,0.0077,0.73001
4.3,1.28536,0.0,8.0,0.0,0.0,0.43057,0.0077,0.58142
4.4,1.01932,0.0,7.0,0.0,0.0,0.37898,0.0077,0.46151
4.5,0.80786,0.0,6.0,0.0,0.0,0.3304,0.0077,0.36662
4.6,0.63973,0.0,5.0,0.0,0.0,0.28597,0.0077,0.29008
4.7,0.50874,0.0,4.0,0.0,0.0,0.2459,0.0077,0.23117
4.8,0.40448,0.0,3.0,0.0,0.0,0.2103,0.0077,0.18448
4.9,0.3213,0.0,3.0,0.0,0.0,0.17833,0.0077,0.14677
5.0,0.2537,0.0,2.0,0.0,0.0,0.14952,0.0077,0.11569
5.1,0.20025,0.0,2.0,0.0,0.0,0.12429,0.0077,0.09141
5.2,0.15782,0.0,2.0,0.0,0.0,0.10294,0.0077,0.07167
5.3,0.12378,0.0,1.0,0.0,0.0,0.08456,0.0077,0.05681
5.4,0.09762,0.0,1.0,0.0,0.0,0.0695,0.0077,0.04466
5.5,0.07705,0.0,1.0,0.0,0.0,0.05717,0.0077,0.03567
5.6,0.06046,0.0,1.0,0.0,0.0,0.04647,0.0077,0.02819
5.7,0.04696,0.0,1.0,0.0,0.0,0.03736,0.0077,0.02196
5.8,0.03651,0.0,1.0,0.0,0.0,0.02992,0.0077,0.01693
5.9,0.02803,0.0,0.0,0.0,0.0,0.02366,0.0077,0.01302
6.0,0.02146,0.0,0.0,0.0,0.0,0.01874,0.00769,0.01012
6.1,0.01646,0.0,0.0,0.0,0.0,0.01481,0.00769,0.00768
6.2,0.01236,0.0,0.0,0.0,0.0,0.01149,0.00766,0.00586
6.3,0.01056,0.0,0.0,0.0,0.0,0.01007,0.00765,0.00515
6.4,0.00919,0.0,0.0,0.0,0.0,0.00885,0.00759,0.00453
6.5,0.00327,0.0,0.0,0.0,0.0,0.00314,0.00215,0.00156
6.6,0.0029,0.0,0.0,0.0,0.0,0.00278,0.00211,0.00143
6.7,0.00178,0.0,0.0,0.0,0.0,0.00168,0.00123,8.8E-4
6.8,0.00124,0.0,0.0,0.0,0.0,0.0012,8.7E-4,6.1E-4
6.9,9.0E-4,0.0,0.0,0.0,0.0,8.9E-4,7.0E-4,5.0E-4
7.0,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,3.0E-5,9.0E-5
7.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,2.0E-5,5.0E-5
7.2,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,2.0E-5,3.0E-5
7.3,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,2.0E-5,2.0E-5
7.4,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,1.0E-5,2.0E-5
7.5,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
