Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.872328E-5,4.7411977E-5,5.74115E-5,1.2109072,1.0E-5,1.6594635E-4,2.031793E-4,2.2317523E-4,1.0984153,2.0E-5,0.0020185246,0.0024711532,0.0024911037,1.0080733,2.0E-5,0.02000288,0.024462376,0.024481887,1.0007976,2.0E-5
6.1,3.872328E-5,4.7411977E-5,5.74115E-5,1.2109072,1.0E-5,1.6594635E-4,2.031793E-4,2.2317523E-4,1.0984153,2.0E-5,0.0020185246,0.0024711532,0.0024911037,1.0080733,2.0E-5,0.02000288,0.024462376,0.024481887,1.0007976,2.0E-5
6.2,3.872328E-5,4.7411977E-5,5.74115E-5,1.2109072,1.0E-5,1.6594635E-4,2.031793E-4,2.2317523E-4,1.0984153,2.0E-5,0.0020185246,0.0024711532,0.0024911037,1.0080733,2.0E-5,0.02000288,0.024462376,0.024481887,1.0007976,2.0E-5
6.3,2.8356371E-5,3.3697666E-5,4.3697328E-5,1.2967465,1.0E-5,1.2152165E-4,1.44411E-4,1.644081E-4,1.1384736,2.0E-5,0.0014785219,0.0017568537,0.0017768185,1.011364,2.0E-5,0.014687235,0.017436784,0.017456437,1.001127,2.0E-5
6.4,2.8356371E-5,3.3697666E-5,4.3697328E-5,1.2967465,1.0E-5,1.2152165E-4,1.44411E-4,1.644081E-4,1.1384736,2.0E-5,0.0014785219,0.0017568537,0.0017768185,1.011364,2.0E-5,0.014687235,0.017436784,0.017456437,1.001127,2.0E-5
6.5,2.4448687E-5,2.8676299E-5,3.867601E-5,1.3487101,1.0E-5,1.0477588E-4,1.2289289E-4,1.4289044E-4,1.1627233,2.0E-5,0.0012748998,0.0014952407,0.0015152108,1.0133557,2.0E-5,0.012676105,0.014856688,0.014876391,1.0013262,2.0E-5
6.6,2.1298161E-5,2.4714986E-5,3.471474E-5,1.4046028,1.0E-5,9.127464E-5,1.0591726E-4,1.2591513E-4,1.1888067,2.0E-5,0.0011107022,0.001288813,0.0013087871,1.0154982,2.0E-5,0.011051672,0.012816821,0.012836565,1.0015404,2.0E-5
6.7,1.8959729E-5,2.18267E-5,2.18267E-5,1.0,0.0,8.125345E-5,9.3539784E-5,1.0353885E-4,1.1068964,1.0E-5,9.888117E-4,0.0011382776,0.0011482663,1.0087752,1.0E-5,0.009844234,0.011327147,0.0113370335,1.0008729,1.0E-5
6.8,1.6691629E-5,1.905561E-5,1.905561E-5,1.0,0.0,7.153359E-5,8.166443E-5,9.166362E-5,1.1224424,1.0E-5,8.7057345E-4,9.938279E-4,0.001003818,1.0100521,1.0E-5,0.008671708,0.0098956,0.009905502,1.0010005,1.0E-5
6.9,1.450505E-5,1.6419373E-5,1.6419373E-5,1.0,0.0,6.216302E-5,7.036689E-5,8.036619E-5,1.1421022,1.0E-5,7.5657194E-4,8.5638906E-4,8.6638046E-4,1.0116669,1.0E-5,0.007540013,0.008531824,0.008541739,1.001162,1.0E-5
7.0,1.2940855E-5,1.45630565E-5,1.45630565E-5,1.0,0.0,5.545963E-5,6.241164E-5,7.2411014E-5,1.1602166,1.0E-5,6.750118E-4,7.5960264E-4,7.6959503E-4,1.0131547,1.0E-5,0.006729651,0.007570682,0.0075806063,1.0013108,1.0E-5
7.1,1.2544658E-5,1.4102263E-5,1.4102263E-5,1.0,0.0,5.3761712E-5,6.04369E-5,7.04363E-5,1.1654519,1.0E-5,6.5435225E-4,7.355765E-4,7.455691E-4,1.0135847,1.0E-5,0.006524288,0.007332013,0.0073419395,1.0013539,1.0E-5
7.2,1.2489416E-5,1.4039614E-5,1.4039614E-5,1.0,0.0,5.3524967E-5,6.016842E-5,7.0167815E-5,1.1661901,1.0E-5,6.514716E-4,7.323099E-4,7.4230257E-4,1.0136454,1.0E-5,0.006495651,0.0072995625,0.0073094894,1.0013599,1.0E-5
7.3,1.2368307E-5,1.3903519E-5,1.3903519E-5,1.0,0.0,5.3005948E-5,5.958518E-5,6.958458E-5,1.167817,1.0E-5,6.451563E-4,7.2521373E-4,7.352065E-4,1.013779,1.0E-5,0.0064328653,0.0072290646,0.007238992,1.0013733,1.0E-5
7.4,1.2161707E-5,1.3671174E-5,1.3671174E-5,1.0,0.0,5.212056E-5,5.8589463E-5,6.858887E-5,1.1706692,1.0E-5,6.3438306E-4,7.1309885E-4,7.230917E-4,1.0140133,1.0E-5,0.006325751,0.007108697,0.007118626,1.0013968,1.0E-5
7.5,1.1707948E-5,1.3168061E-5,1.3168061E-5,1.0,0.0,5.0175953E-5,5.6433357E-5,6.643279E-5,1.1771902,1.0E-5,6.10721E-4,6.868651E-4,6.968582E-4,1.0145489,1.0E-5,0.0060904534,0.006848007,0.006857938,1.0014503,1.0E-5
7.6,1.0319538E-5,1.1599362E-5,1.1599362E-5,1.0,0.0,4.4225842E-5,4.9710634E-5,5.9710135E-5,1.2011542,1.0E-5,5.383166E-4,6.050641E-4,6.15058E-4,1.0165172,1.0E-5,0.0053701443,0.0060347,0.0060446397,1.0016471,1.0E-5
7.7,8.937764E-6,1.0039768E-5,1.0039768E-5,1.0,0.0,3.830414E-5,4.3026896E-5,5.3026466E-5,1.2324028,1.0E-5,4.6625308E-4,5.237316E-4,5.3372636E-4,1.0190837,1.0E-5,0.0046527605,0.0052254847,0.005235432,1.0019037,1.0E-5
7.8,3.108007E-7,3.287267E-7,3.287267E-7,1.0,0.0,1.3320023E-6,1.4088281E-6,1.4088281E-6,1.0,0.0,1.6217007E-5,1.7152352E-5,1.7152352E-5,1.0,0.0,1.6215823E-4,1.7151065E-4,1.7151065E-4,1.0,0.0
7.9,2.5591178E-9,2.6712779E-9,2.6712779E-9,1.0,0.0,1.0967647E-8,1.1448334E-8,1.1448334E-8,1.0,0.0,1.335311E-7,1.3938346E-7,1.3938346E-7,1.0,0.0,1.3353102E-6,1.3938346E-6,1.3938346E-6,1.0,0.0
