Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0684236E-5,2.5724856E-5,2.5724856E-5,1.0,0.0,8.864371E-5,1.1024482E-4,1.2024372E-4,1.0906972,1.0E-5,0.0010787029,0.0013414214,0.001351408,1.0074447,1.0E-5,0.010734817,0.013335564,0.013345431,1.0007399,1.0E-5
6.1,2.0684236E-5,2.5724856E-5,2.5724856E-5,1.0,0.0,8.864371E-5,1.1024482E-4,1.2024372E-4,1.0906972,1.0E-5,0.0010787029,0.0013414214,0.001351408,1.0074447,1.0E-5,0.010734817,0.013335564,0.013345431,1.0007399,1.0E-5
6.2,2.0684236E-5,2.5724856E-5,2.5724856E-5,1.0,0.0,8.864371E-5,1.1024482E-4,1.2024372E-4,1.0906972,1.0E-5,0.0010787029,0.0013414214,0.001351408,1.0074447,1.0E-5,0.010734817,0.013335564,0.013345431,1.0007399,1.0E-5
6.3,2.0240292E-5,2.522406E-5,2.522406E-5,1.0,0.0,8.6741224E-5,1.08098735E-4,1.1809765E-4,1.0924981,1.0E-5,0.0010555626,0.0013153245,0.0013253113,1.0075927,1.0E-5,0.010505628,0.013077685,0.013087554,1.0007547,1.0E-5
6.4,2.0240292E-5,2.522406E-5,2.522406E-5,1.0,0.0,8.6741224E-5,1.08098735E-4,1.1809765E-4,1.0924981,1.0E-5,0.0010555626,0.0013153245,0.0013253113,1.0075927,1.0E-5,0.010505628,0.013077685,0.013087554,1.0007547,1.0E-5
6.5,1.9962767E-5,2.4912793E-5,2.4912793E-5,1.0,0.0,8.55519E-5,1.0676484E-4,1.16763775E-4,1.0936538,1.0E-5,0.0010410968,0.0012991037,0.0013090908,1.0076876,1.0E-5,0.010362327,0.012917372,0.0129272435,1.0007641,1.0E-5
6.6,1.8937297E-5,2.3406817E-5,2.3406817E-5,1.0,0.0,8.115732E-5,1.00311154E-4,1.1031015E-4,1.0996798,1.0E-5,9.876423E-4,0.0012206188,0.0012306066,1.0081825,1.0E-5,0.009832645,0.012141135,0.012151013,1.0008136,1.0E-5
6.7,1.8621096E-5,2.3006449E-5,2.3006449E-5,1.0,0.0,7.980225E-5,9.8595425E-5,1.0859444E-4,1.1014146,1.0E-5,9.711593E-4,0.0011997529,0.0012097409,1.0083251,1.0E-5,0.009669261,0.01193474,0.01194462,1.0008279,1.0E-5
6.8,1.7830353E-5,2.1892656E-5,2.1892656E-5,1.0,0.0,7.641356E-5,9.382237E-5,1.0382143E-4,1.1065744,1.0E-5,9.29938E-4,0.001141703,0.0011516915,1.0087489,1.0E-5,0.009260561,0.011360972,0.011370859,1.0008702,1.0E-5
6.9,1.3135183E-5,1.5345922E-5,1.5345922E-5,1.0,0.0,5.6292425E-5,6.576662E-5,7.576596E-5,1.1520429,1.0E-5,6.8514474E-4,8.004209E-4,8.1041286E-4,1.0124835,1.0E-5,0.006830362,0.007975601,0.007985521,1.0012438,1.0E-5
7.0,1.1507512E-5,1.3186031E-5,1.3186031E-5,1.0,0.0,4.9316975E-5,5.651037E-5,6.6509805E-5,1.1769487,1.0E-5,6.002687E-4,6.878023E-4,6.977955E-4,1.0145291,1.0E-5,0.0059864987,0.006856722,0.0068666534,1.0014484,1.0E-5
7.1,9.715903E-6,1.0884825E-5,1.0884825E-5,1.0,0.0,4.1638916E-5,4.664844E-5,5.6647972E-5,1.2143594,1.0E-5,5.068359E-4,5.67801E-4,5.777954E-4,1.0176018,1.0E-5,0.0050568148,0.005664048,0.0056739915,1.0017555,1.0E-5
7.2,9.233269E-6,1.0304217E-5,1.0304217E-5,1.0,0.0,3.9570554E-5,4.4160206E-5,5.4159766E-5,1.2264382,1.0E-5,4.81665E-4,5.3752214E-4,5.4751674E-4,1.0185939,1.0E-5,0.0048062233,0.0053626527,0.0053725992,1.0018548,1.0E-5
7.3,8.8041315E-6,9.823834E-6,9.823834E-6,1.0,0.0,3.7731446E-5,4.2101492E-5,5.210107E-5,1.2375113,1.0E-5,4.592835E-4,5.124693E-4,5.224642E-4,1.0195034,1.0E-5,0.0045833546,0.0051133037,0.0051232525,1.0019457,1.0E-5
7.4,8.708749E-6,9.72276E-6,9.72276E-6,1.0,0.0,3.7322676E-5,4.1668332E-5,5.1667914E-5,1.2399805,1.0E-5,4.5430884E-4,5.0719804E-4,5.17193E-4,1.0197061,1.0E-5,0.004533812,0.0050608325,0.005070782,1.001966,1.0E-5
7.5,8.612678E-6,9.620307E-6,9.620307E-6,1.0,0.0,3.6910955E-5,4.1229257E-5,5.1228846E-5,1.2425362,1.0E-5,4.492982E-4,5.018548E-4,5.118498E-4,1.019916,1.0E-5,0.004483909,0.0050076423,0.005017592,1.001987,1.0E-5
7.6,8.319024E-6,9.298986E-6,9.298986E-6,1.0,0.0,3.5652476E-5,3.985221E-5,4.985181E-5,1.2509171,1.0E-5,4.3398244E-4,4.8509683E-4,4.95092E-4,1.0206045,1.0E-5,0.0043313587,0.0048408047,0.0048507564,1.0020558,1.0E-5
