Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.169034E-5,4.727538E-5,4.727538E-5,1.0,0.0,1.7866064E-4,2.0259793E-4,2.1259591E-4,1.0493488,1.0E-5,0.0021730233,0.0024646677,0.002474643,1.0040474,1.0E-5,0.021518968,0.024455458,0.024465214,1.0003989,1.0E-5
6.1,1.73813E-5,1.6888729E-5,1.6888729E-5,1.0,0.0,7.4489166E-5,7.237832E-5,7.237832E-5,1.0,0.0,9.065282E-4,8.8086055E-4,8.8086055E-4,1.0,0.0,0.009028391,0.008774883,0.008774883,1.0,0.0
6.2,1.4622182E-5,1.3700909E-5,1.3700909E-5,1.0,0.0,6.2664985E-5,5.8716883E-5,5.8716883E-5,1.0,0.0,7.6267915E-4,7.1464747E-4,7.1464747E-4,1.0,0.0,0.007600669,0.0071239844,0.0071239844,1.0,0.0
6.3,1.3552434E-5,1.2507916E-5,1.2507916E-5,1.0,0.0,5.8080568E-5,5.360427E-5,5.360427E-5,1.0,0.0,7.069015E-4,6.524397E-4,6.524397E-4,1.0,0.0,0.00704657,0.0065056537,0.0065056537,1.0,0.0
6.4,1.30977305E-5,1.2004121E-5,1.2004121E-5,1.0,0.0,5.613192E-5,5.1445237E-5,5.1445237E-5,1.0,0.0,6.831918E-4,6.2616874E-4,6.2616874E-4,1.0,0.0,0.006810953,0.006244438,0.006244438,1.0,0.0
6.5,1.225205E-5,1.1072464E-5,1.1072464E-5,1.0,0.0,5.2507727E-5,4.745257E-5,4.745257E-5,1.0,0.0,6.3909404E-4,5.775846E-4,5.775846E-4,1.0,0.0,0.006372592,0.005761192,0.005761192,1.0,0.0
6.6,1.1352241E-5,1.008589E-5,1.008589E-5,1.0,0.0,4.8651553E-5,4.3224536E-5,4.3224536E-5,1.0,0.0,5.921717E-4,5.2613375E-4,5.2613375E-4,1.0,0.0,0.0059059616,0.0052491752,0.0052491752,1.0,0.0
6.7,1.0864116E-5,9.538457E-6,9.538457E-6,1.0,0.0,4.6559664E-5,4.087847E-5,4.087847E-5,1.0,0.0,5.667165E-4,4.975837E-4,4.975837E-4,1.0,0.0,0.005652734,0.0049649775,0.0049649775,1.0,0.0
6.8,1.0666365E-5,9.320906E-6,9.320906E-6,1.0,0.0,4.571219E-5,3.9946142E-5,3.9946142E-5,1.0,0.0,5.564038E-4,4.8623775E-4,4.8623775E-4,1.0,0.0,0.005550127,0.004852019,0.004852019,1.0,0.0
6.9,1.0038665E-5,8.611911E-6,8.611911E-6,1.0,0.0,4.302214E-5,3.6907677E-5,3.6907677E-5,1.0,0.0,5.236687E-4,4.4926014E-4,4.4926014E-4,1.0,0.0,0.005224364,0.0044837776,0.0044837776,1.0,0.0
