Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.711876E-5,1.0554262E-4,1.0554262E-4,1.0,0.0,3.3046713E-4,4.5225464E-4,4.6225011E-4,1.0221014,1.0E-5,0.004016016,0.0054933755,0.0055132657,1.0036207,2.0E-5,0.039442103,0.053693376,0.053712305,1.0003525,2.0E-5
6.1,4.607858E-5,6.0491417E-5,6.0491417E-5,1.0,0.0,1.9746469E-4,2.5922587E-4,2.6922327E-4,1.0385664,1.0E-5,0.0024014818,0.0031518082,0.003171745,1.0063256,2.0E-5,0.023756953,0.03110129,0.031120667,1.0006231,2.0E-5
6.2,4.607858E-5,6.0491417E-5,6.0491417E-5,1.0,0.0,1.9746469E-4,2.5922587E-4,2.6922327E-4,1.0385664,1.0E-5,0.0024014818,0.0031518082,0.003171745,1.0063256,2.0E-5,0.023756953,0.03110129,0.031120667,1.0006231,2.0E-5
6.3,3.327423E-5,4.2640444E-5,4.2640444E-5,1.0,0.0,1.4259605E-4,1.8273361E-4,1.8273361E-4,1.0,0.0,0.0017347244,0.0022227524,0.0022227524,1.0,0.0,0.017212452,0.02202918,0.02202918,1.0,0.0
6.4,2.7732503E-5,3.512899E-5,3.512899E-5,1.0,0.0,1.1884817E-4,1.5054553E-4,1.5054553E-4,1.0,0.0,0.001446016,0.0018315843,0.0018315843,1.0,0.0,0.014366428,0.018187772,0.018187772,1.0,0.0
6.5,2.7689714E-5,3.507868E-5,3.507868E-5,1.0,0.0,1.186648E-4,1.5032994E-4,1.5032994E-4,1.0,0.0,0.0014437864,0.001828964,0.001828964,1.0,0.0,0.014344421,0.018161999,0.018161999,1.0,0.0
6.6,2.2976905E-5,2.8821374E-5,2.8821374E-5,1.0,0.0,9.846873E-5,1.2351567E-4,1.2351567E-4,1.0,0.0,0.0011981975,0.0015030047,0.0015030047,1.0,0.0,0.011917574,0.014951761,0.014951761,1.0,0.0
6.7,1.9871539E-5,2.4995465E-5,2.4995465E-5,1.0,0.0,8.516096E-5,1.0712043E-4,1.0712043E-4,1.0,0.0,0.0010363415,0.0013036535,0.0013036535,1.0,0.0,0.010315218,0.012983841,0.012983841,1.0,0.0
6.8,6.5640475E-6,7.622356E-6,7.622356E-6,1.0,0.0,2.813133E-5,3.266685E-5,3.266685E-5,1.0,0.0,3.424451E-4,3.9764916E-4,3.9764916E-4,1.0,0.0,0.0034191788,0.0039696647,0.0039696647,1.0,0.0
6.9,5.6219683E-6,6.5160507E-6,6.5160507E-6,1.0,0.0,2.4093928E-5,2.7925646E-5,2.7925646E-5,1.0,0.0,2.933041E-4,3.399443E-4,3.399443E-4,1.0,0.0,0.0029291727,0.003394501,0.003394501,1.0,0.0
7.0,3.875591E-6,4.494598E-6,4.494598E-6,1.0,0.0,1.6609569E-5,1.9262432E-5,1.9262432E-5,1.0,0.0,2.0220275E-4,2.34497E-4,2.34497E-4,1.0,0.0,0.0020201886,0.002342705,0.002342705,1.0,0.0
7.1,1.6017933E-6,1.8611752E-6,1.8611752E-6,1.0,0.0,6.8648105E-6,7.976447E-6,7.976447E-6,1.0,0.0,8.357586E-5,9.710998E-5,9.710998E-5,1.0,0.0,8.3544437E-4,9.707807E-4,9.707807E-4,1.0,0.0
