Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.556969E-4,8.7570667E-4,8.8569795E-4,1.0114094,1.0E-5,0.0023793848,0.003748364,0.0037583264,1.0026578,1.0E-5,0.028586963,0.044859797,0.04486935,1.0002129,1.0E-5,0.25176284,0.3514995,0.351506,1.0000185,1.0E-5
6.1,1.925858E-4,3.3084137E-4,3.3084137E-4,1.0,0.0,8.2510663E-4,0.0014172494,0.0014172494,1.0,0.0,0.0099994885,0.017156033,0.017156033,1.0,0.0,0.095613256,0.15649909,0.15649909,1.0,0.0
6.2,9.4306815E-5,1.9060382E-4,1.9060382E-4,1.0,0.0,4.0410945E-4,8.166191E-4,8.166191E-4,1.0,0.0,0.0049089384,0.009897257,0.009897257,1.0,0.0,0.048019063,0.09538598,0.09538598,1.0,0.0
6.3,9.283051E-5,1.875372E-4,1.875372E-4,1.0,0.0,3.9778434E-4,8.034845E-4,8.034845E-4,1.0,0.0,0.0048322747,0.009738784,0.009738784,1.0,0.0,0.047285385,0.09403356,0.09403356,1.0,0.0
6.4,9.138826E-5,1.8510594E-4,1.8510594E-4,1.0,0.0,3.916052E-4,7.930712E-4,7.930712E-4,1.0,0.0,0.0047573745,0.009613125,0.009613125,1.0,0.0,0.046568092,0.09291519,0.09291519,1.0,0.0
6.5,9.000255E-5,1.8263987E-4,1.8263987E-4,1.0,0.0,3.8566816E-4,7.8250875E-4,7.8250875E-4,1.0,0.0,0.0046854047,0.009485659,0.009485659,1.0,0.0,0.045878403,0.091790654,0.091790654,1.0,0.0
6.6,8.8109264E-5,1.7935078E-4,1.7935078E-4,1.0,0.0,3.7755648E-4,7.68421E-4,7.68421E-4,1.0,0.0,0.0045870654,0.009315636,0.009315636,1.0,0.0,0.04493529,0.09028853,0.09028853,1.0,0.0
6.7,8.738073E-5,1.779997E-4,1.779997E-4,1.0,0.0,3.7443507E-4,7.6263404E-4,7.6263404E-4,1.0,0.0,0.0045492216,0.009245815,0.009245815,1.0,0.0,0.04457213,0.08968237,0.08968237,1.0,0.0
6.8,8.710195E-5,1.7743706E-4,1.7743706E-4,1.0,0.0,3.7324068E-4,7.602241E-4,7.602241E-4,1.0,0.0,0.0045347405,0.009216732,0.009216732,1.0,0.0,0.04443313,0.08942378,0.08942378,1.0,0.0
6.9,8.6801556E-5,1.7683068E-4,1.7683068E-4,1.0,0.0,3.7195362E-4,7.576269E-4,7.576269E-4,1.0,0.0,0.0045191357,0.009185378,0.009185378,1.0,0.0,0.044283327,0.08914467,0.08914467,1.0,0.0
7.0,8.5571606E-5,1.742959E-4,1.742959E-4,1.0,0.0,3.6668387E-4,7.467698E-4,7.467698E-4,1.0,0.0,0.004455241,0.0090542985,0.0090542985,1.0,0.0,0.043669727,0.08797168,0.08797168,1.0,0.0
7.1,7.82589E-5,1.5882011E-4,1.5882011E-4,1.0,0.0,3.3535215E-4,6.8048085E-4,6.8048085E-4,1.0,0.0,0.0040752706,0.008253569,0.008253569,1.0,0.0,0.040013418,0.08078921,0.08078921,1.0,0.0
7.2,7.690929E-5,1.5613598E-4,1.5613598E-4,1.0,0.0,3.2956956E-4,6.6898344E-4,6.6898344E-4,1.0,0.0,0.004005129,0.008114639,0.008114639,1.0,0.0,0.0393371,0.079544574,0.079544574,1.0,0.0
7.3,7.5543794E-5,1.5300729E-4,1.5300729E-4,1.0,0.0,3.2371894E-4,6.5558153E-4,6.5558153E-4,1.0,0.0,0.003934157,0.007952672,0.007952672,1.0,0.0,0.038652334,0.07807747,0.07807747,1.0,0.0
7.4,7.4214564E-5,1.4991847E-4,1.4991847E-4,1.0,0.0,3.1802364E-4,6.423503E-4,6.423503E-4,1.0,0.0,0.003865065,0.007792745,0.007792745,1.0,0.0,0.03798529,0.076615945,0.076615945,1.0,0.0
7.5,6.149578E-5,1.1820736E-4,1.1820736E-4,1.0,0.0,2.6352672E-4,5.0650473E-4,5.0650473E-4,1.0,0.0,0.0032037178,0.006149295,0.006149295,1.0,0.0,0.03157923,0.061445583,0.061445583,1.0,0.0
7.6,6.0643448E-5,1.1643752E-4,1.1643752E-4,1.0,0.0,2.598746E-4,4.989226E-4,4.989226E-4,1.0,0.0,0.0031593828,0.0060575,0.0060575,1.0,0.0,0.031148417,0.060584955,0.060584955,1.0,0.0
7.7,5.1652263E-5,9.7362434E-5,9.7362434E-5,1.0,0.0,2.2134806E-4,4.1720088E-4,4.1720088E-4,1.0,0.0,0.002691582,0.0050676027,0.0050676027,1.0,0.0,0.026592141,0.05115169,0.05115169,1.0,0.0
7.8,4.8090482E-5,9.0766946E-5,9.0766946E-5,1.0,0.0,2.060858E-4,3.889432E-4,3.889432E-4,1.0,0.0,0.0025062072,0.0047251116,0.0047251116,1.0,0.0,0.024781305,0.04771952,0.04771952,1.0,0.0
7.9,3.970278E-5,7.154224E-5,7.154224E-5,1.0,0.0,1.7014367E-4,3.065736E-4,3.065736E-4,1.0,0.0,0.002069531,0.00372615,0.00372615,1.0,0.0,0.020503636,0.037807334,0.037807334,1.0,0.0
8.0,2.8982335E-5,4.328413E-5,4.328413E-5,1.0,0.0,1.2420409E-4,1.8549022E-4,1.8549022E-4,1.0,0.0,0.0015111357,0.0022560058,0.0022560058,1.0,0.0,0.015009012,0.023298599,0.023298599,1.0,0.0
8.1,1.8836186E-5,2.0145564E-5,2.0145564E-5,1.0,0.0,8.0724014E-5,8.6335276E-5,8.6335276E-5,1.0,0.0,9.823717E-4,0.0010506258,0.0010506258,1.0,0.0,0.009780403,0.011254798,0.011254798,1.0,0.0
8.2,8.643924E-6,6.0384327E-6,6.0384327E-6,1.0,0.0,3.704486E-5,2.5878742E-5,2.5878742E-5,1.0,0.0,4.5092785E-4,3.150282E-4,3.150282E-4,1.0,0.0,0.0045001395,0.003555621,0.003555621,1.0,0.0
8.3,1.983087E-6,8.599996E-7,8.599996E-7,1.0,0.0,8.498917E-6,3.6857075E-6,3.6857075E-6,1.0,0.0,1.034694E-4,4.4872588E-5,4.4872588E-5,1.0,0.0,0.0010342124,5.2569003E-4,5.2569003E-4,1.0,0.0
