Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,11.28743,2.0,34.0,8.0,7.0,0.9986,0.00549,6.06844
2.6,8.98085,1.0,27.0,6.0,5.0,0.99458,0.00549,4.82889
2.7,7.13303,1.0,22.0,5.0,4.0,0.98452,0.00549,3.83546
2.8,5.66686,0.0,18.0,4.0,3.0,0.96487,0.00549,3.0468
2.9,4.49867,0.0,14.0,3.0,2.0,0.93182,0.00549,2.41924
3.0,3.57493,0.0,12.0,2.0,2.0,0.88437,0.00549,1.92092
3.1,2.84128,0.0,10.0,2.0,1.0,0.82493,0.00549,1.52582
3.2,2.25393,0.0,8.0,1.0,1.0,0.75213,0.00549,1.21105
3.3,1.7904,0.0,7.0,1.0,0.0,0.67344,0.00549,0.96182
3.4,1.42134,0.0,6.0,1.0,0.0,0.59437,0.00549,0.76515
3.5,1.12857,0.0,5.0,1.0,0.0,0.51488,0.00549,0.60738
3.6,0.89647,0.0,4.0,0.0,0.0,0.44017,0.00549,0.4821
3.7,0.71312,0.0,4.0,0.0,0.0,0.37366,0.00549,0.38368
3.8,0.56584,0.0,3.0,0.0,0.0,0.31365,0.00549,0.30513
3.9,0.44983,0.0,3.0,0.0,0.0,0.26103,0.00549,0.24183
4.0,0.3572,0.0,2.0,0.0,0.0,0.21574,0.00549,0.1924
4.1,0.28459,0.0,2.0,0.0,0.0,0.17809,0.00549,0.15358
4.2,0.22771,0.0,2.0,0.0,0.0,0.14683,0.00549,0.12293
4.3,0.18141,0.0,2.0,0.0,0.0,0.12058,0.00549,0.0982
4.4,0.14507,0.0,1.0,0.0,0.0,0.09903,0.00549,0.07888
4.5,0.11586,0.0,1.0,0.0,0.0,0.08076,0.00549,0.06325
4.6,0.09253,0.0,1.0,0.0,0.0,0.06598,0.00549,0.05028
4.7,0.07463,0.0,1.0,0.0,0.0,0.05424,0.00549,0.04075
4.8,0.05926,0.0,1.0,0.0,0.0,0.04373,0.00549,0.0322
4.9,0.04743,0.0,1.0,0.0,0.0,0.03572,0.00549,0.02576
5.0,0.03756,0.0,1.0,0.0,0.0,0.02884,0.00549,0.0205
5.1,0.03015,0.0,0.0,0.0,0.0,0.02364,0.00549,0.01666
5.2,0.02446,0.0,0.0,0.0,0.0,0.01971,0.00549,0.01378
5.3,0.01989,0.0,0.0,0.0,0.0,0.01633,0.00549,0.01125
5.4,0.01613,0.0,0.0,0.0,0.0,0.01349,0.00549,0.00927
5.5,0.01327,0.0,0.0,0.0,0.0,0.01134,0.00549,0.00769
5.6,0.01088,0.0,0.0,0.0,0.0,0.0095,0.00549,0.00628
5.7,0.00918,0.0,0.0,0.0,0.0,0.00811,0.00549,0.00546
5.8,0.00772,0.0,0.0,0.0,0.0,0.00692,0.00549,0.00474
5.9,0.00637,0.0,0.0,0.0,0.0,0.00587,0.00549,0.004
6.0,0.00566,0.0,0.0,0.0,0.0,0.00535,0.00521,0.00356
6.1,0.00442,0.0,0.0,0.0,0.0,0.00418,0.00408,0.00276
6.2,0.00356,0.0,0.0,0.0,0.0,0.00346,0.00339,0.0022
6.3,0.00244,0.0,0.0,0.0,0.0,0.0024,0.00233,0.00155
6.4,0.0018,0.0,0.0,0.0,0.0,0.00179,0.00173,0.00107
6.5,0.0014,0.0,0.0,0.0,0.0,0.0014,0.00134,7.8E-4
6.6,0.00113,0.0,0.0,0.0,0.0,0.00113,0.00108,6.3E-4
6.7,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,5.0E-5,4.0E-5
6.8,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,4.0E-5,4.0E-5
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
