Time (days),ComCat Data
0.0,0.0
0.0034672127,1.0
0.0069344253,2.0
0.010401637,4.0
0.013868851,6.0
0.017336063,6.0
0.020803275,7.0
0.024270488,7.0
0.027737701,7.0
0.031204913,7.0
0.034672126,8.0
0.03813934,9.0
0.04160655,9.0
0.045073763,9.0
0.048540976,9.0
0.05200819,11.0
0.055475403,12.0
0.058942612,13.0
0.062409826,13.0
0.065877035,14.0
0.06934425,15.0
0.07281146,15.0
0.07627868,15.0
0.07974589,15.0
0.0832131,16.0
0.086680315,16.0
0.090147525,16.0
0.09361474,16.0
0.09708195,16.0
0.10054916,16.0
0.10401638,16.0
0.10748359,16.0
0.110950805,17.0
0.114418015,17.0
0.117885225,18.0
0.12135244,18.0
0.12481965,19.0
0.12828687,19.0
0.13175407,19.0
0.13522129,19.0
0.1386885,19.0
0.14215572,20.0
0.14562292,20.0
0.14909014,20.0
0.15255736,21.0
0.15602456,21.0
0.15949178,21.0
0.162959,21.0
0.1664262,21.0
0.16989341,21.0
0.17336063,21.0
0.17682785,21.0
0.18029505,21.0
0.18376227,22.0
0.18722948,22.0
0.19069669,22.0
0.1941639,22.0
0.19763112,22.0
0.20109832,22.0
0.20456554,23.0
0.20803276,23.0
0.21149997,23.0
0.21496718,23.0
0.2184344,23.0
0.22190161,23.0
0.22536881,23.0
0.22883603,23.0
0.23230325,23.0
0.23577045,23.0
0.23923767,23.0
0.24270488,23.0
0.24617209,23.0
0.2496393,24.0
0.2531065,25.0
0.25657374,25.0
0.26004094,25.0
0.26350814,26.0
0.26697537,27.0
0.27044258,28.0
0.2739098,28.0
0.277377,28.0
0.2808442,28.0
0.28431144,28.0
0.28777865,28.0
0.29124585,28.0
0.29471308,28.0
0.29818028,28.0
0.30164748,28.0
0.30511472,28.0
0.30858192,28.0
0.31204912,28.0
0.31551635,28.0
0.31898355,28.0
0.32245076,28.0
0.325918,28.0
0.3293852,28.0
0.3328524,28.0
0.33631963,28.0
0.33978683,28.0
0.34325406,28.0
0.34672126,28.0
0.35018846,28.0
0.3536557,28.0
0.3571229,28.0
0.3605901,28.0
0.36405733,28.0
0.36752453,28.0
0.37099174,28.0
0.37445897,28.0
0.37792617,29.0
0.38139337,29.0
0.3848606,29.0
0.3883278,30.0
0.391795,30.0
0.39526224,30.0
0.39872944,30.0
0.40219665,30.0
0.40566388,30.0
0.40913108,30.0
0.41259828,30.0
0.4160655,30.0
0.41953272,30.0
0.42299995,30.0
0.42646715,30.0
0.42993435,30.0
0.43340158,30.0
0.4368688,30.0
0.440336,30.0
0.44380322,30.0
0.44727042,30.0
0.45073763,30.0
0.45420486,30.0
0.45767206,31.0
0.46113926,31.0
0.4646065,32.0
0.4680737,33.0
0.4715409,33.0
0.47500813,35.0
0.47847533,35.0
0.48194253,36.0
0.48540977,37.0
0.48887697,37.0
0.49234417,37.0
0.4958114,37.0
0.4992786,38.0
0.5027458,39.0
0.506213,39.0
0.5096803,39.0
0.5131475,39.0
0.5166147,39.0
0.5200819,39.0
0.5235491,39.0
0.5270163,40.0
0.53048354,40.0
0.53395075,40.0
0.53741795,40.0
0.54088515,40.0
0.54435235,40.0
0.5478196,40.0
0.5512868,41.0
0.554754,41.0
0.5582212,42.0
0.5616884,42.0
0.5651556,42.0
0.5686229,42.0
0.5720901,42.0
0.5755573,42.0
0.5790245,43.0
0.5824917,43.0
0.5859589,43.0
0.58942616,43.0
0.59289336,45.0
0.59636056,45.0
0.59982777,45.0
0.60329497,46.0
0.6067622,47.0
0.61022943,47.0
0.61369663,47.0
0.61716384,47.0
0.62063104,47.0
0.62409824,48.0
0.6275655,48.0
0.6310327,48.0
0.6344999,48.0
0.6379671,49.0
0.6414343,49.0
0.6449015,49.0
0.6483688,49.0
0.651836,49.0
0.6553032,49.0
0.6587704,49.0
0.6622376,49.0
0.6657048,49.0
0.66917205,49.0
0.67263925,50.0
0.67610645,50.0
0.67957366,50.0
0.68304086,50.0
0.6865081,50.0
0.6899753,50.0
0.6934425,50.0
0.6969097,50.0
0.7003769,50.0
0.70384413,50.0
0.7073114,50.0
0.7107786,50.0
0.7142458,50.0
0.717713,50.0
0.7211802,51.0
0.7246474,51.0
0.72811466,51.0
0.73158187,52.0
0.73504907,52.0
0.7385163,52.0
0.7419835,52.0
0.7454507,52.0
0.74891794,52.0
0.75238514,52.0
0.75585234,52.0
0.75931954,52.0
0.76278675,52.0
0.766254,52.0
0.7697212,52.0
0.7731884,52.0
0.7766556,52.0
0.7801228,52.0
0.78359,52.0
0.7870573,52.0
0.7905245,52.0
0.7939917,52.0
0.7974589,52.0
0.8009261,52.0
0.8043933,52.0
0.80786055,52.0
0.81132776,52.0
0.81479496,52.0
0.81826216,52.0
0.82172936,52.0
0.82519656,52.0
0.8286638,52.0
0.832131,52.0
0.83559823,52.0
0.83906543,52.0
0.84253263,52.0
0.8459999,52.0
0.8494671,52.0
0.8529343,52.0
0.8564015,52.0
0.8598687,52.0
0.8633359,52.0
0.86680317,52.0
0.8702704,52.0
0.8737376,52.0
0.8772048,52.0
0.880672,52.0
0.8841392,52.0
0.88760644,52.0
0.89107364,52.0
0.89454085,52.0
0.89800805,52.0
0.90147525,52.0
0.90494245,52.0
0.9084097,52.0
0.9118769,52.0
0.9153441,52.0
0.9188113,52.0
0.9222785,52.0
0.9257458,52.0
0.929213,52.0
0.9326802,52.0
0.9361474,52.0
0.9396146,52.0
0.9430818,52.0
0.94654906,52.0
0.95001626,52.0
0.95348346,52.0
0.95695066,52.0
0.96041787,52.0
0.96388507,52.0
0.96735233,52.0
0.97081953,52.0
0.97428674,52.0
0.97775394,52.0
0.98122114,52.0
0.98468834,52.0
0.9881556,52.0
0.9916228,52.0
0.99509,52.0
0.9985572,52.0
1.0020244,52.0
1.0054916,52.0
1.0089588,52.0
1.012426,52.0
1.0158933,52.0
1.0193605,52.0
1.0228277,52.0
1.026295,52.0
1.0297621,52.0
1.0332294,52.0
1.0366966,52.0
1.0401638,52.0
1.043631,52.0
1.0470982,52.0
1.0505654,52.0
1.0540326,52.0
1.0574999,52.0
1.0609671,52.0
1.0644343,52.0
1.0679015,52.0
1.0713687,52.0
1.0748359,52.0
1.0783031,52.0
1.0817703,52.0
1.0852375,52.0
1.0887047,52.0
1.0921719,52.0
1.0956392,52.0
1.0991064,52.0
1.1025736,52.0
1.1060408,52.0
1.109508,52.0
1.1129752,52.0
1.1164424,52.0
1.1199096,52.0
1.1233768,52.0
1.126844,52.0
1.1303113,52.0
1.1337785,52.0
1.1372458,52.0
1.140713,52.0
1.1441802,52.0
1.1476474,52.0
1.1511146,52.0
1.1545818,52.0
1.158049,52.0
1.1615162,52.0
1.1649834,52.0
1.1684506,52.0
1.1719178,52.0
1.1753851,52.0
1.1788523,52.0
1.1823195,52.0
1.1857867,52.0
1.1892539,52.0
1.1927211,52.0
1.1961883,52.0
1.1996555,52.0
1.2031227,52.0
1.2065899,52.0
1.2100571,52.0
1.2135243,52.0
1.2169917,52.0
1.2204589,52.0
1.2239261,52.0
1.2273933,52.0
1.2308605,52.0
1.2343277,52.0
1.2377949,52.0
1.2412621,52.0
1.2447293,52.0
1.2481965,52.0
1.2516637,52.0
1.255131,52.0
1.2585982,52.0
1.2620654,52.0
1.2655326,52.0
1.2689998,52.0
1.272467,52.0
1.2759342,52.0
1.2794014,52.0
1.2828686,52.0
1.2863358,52.0
1.289803,52.0
1.2932702,52.0
1.2967376,52.0
1.3002048,52.0
1.303672,52.0
1.3071392,52.0
1.3106064,52.0
1.3140736,52.0
1.3175408,52.0
