Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4088538E-5,1.576836E-5,1.576836E-5,1.0,0.0,6.037805E-5,6.7577006E-5,7.757633E-5,1.1479694,1.0E-5,7.3485484E-4,8.224521E-4,8.324439E-4,1.0121487,1.0E-5,0.007324295,0.008195375,0.008205294,1.0012102,1.0E-5
6.1,1.4088538E-5,1.576836E-5,1.576836E-5,1.0,0.0,6.037805E-5,6.7577006E-5,7.757633E-5,1.1479694,1.0E-5,7.3485484E-4,8.224521E-4,8.324439E-4,1.0121487,1.0E-5,0.007324295,0.008195375,0.008205294,1.0012102,1.0E-5
6.2,1.4088538E-5,1.576836E-5,1.576836E-5,1.0,0.0,6.037805E-5,6.7577006E-5,7.757633E-5,1.1479694,1.0E-5,7.3485484E-4,8.224521E-4,8.324439E-4,1.0121487,1.0E-5,0.007324295,0.008195375,0.008205294,1.0012102,1.0E-5
6.3,1.2882862E-5,1.4423379E-5,1.4423379E-5,1.0,0.0,5.5211098E-5,6.181308E-5,7.181246E-5,1.1617681,1.0E-5,6.7198783E-4,7.523248E-4,7.623173E-4,1.0132822,1.0E-5,0.0066995937,0.0074988496,0.0075087743,1.0013236,1.0E-5
6.4,1.2882862E-5,1.4423379E-5,1.4423379E-5,1.0,0.0,5.5211098E-5,6.181308E-5,7.181246E-5,1.1617681,1.0E-5,6.7198783E-4,7.523248E-4,7.623173E-4,1.0132822,1.0E-5,0.0066995937,0.0074988496,0.0075087743,1.0013236,1.0E-5
6.5,1.2762329E-5,1.4289554E-5,1.4289554E-5,1.0,0.0,5.469455E-5,6.123957E-5,7.123895E-5,1.1632831,1.0E-5,6.657027E-4,7.453471E-4,7.553396E-4,1.0134065,1.0E-5,0.00663712,0.007429539,0.007439465,1.001336,1.0E-5
6.6,1.2762329E-5,1.4289554E-5,1.4289554E-5,1.0,0.0,5.469455E-5,6.123957E-5,7.123895E-5,1.1632831,1.0E-5,6.657027E-4,7.453471E-4,7.553396E-4,1.0134065,1.0E-5,0.00663712,0.007429539,0.007439465,1.001336,1.0E-5
6.7,1.2557959E-5,1.4063156E-5,1.4063156E-5,1.0,0.0,5.3818712E-5,6.0269336E-5,7.026873E-5,1.1659119,1.0E-5,6.5504585E-4,7.335425E-4,7.435352E-4,1.0136225,1.0E-5,0.006531183,0.007312273,0.0073222,1.0013576,1.0E-5
6.8,1.1871544E-5,1.3300383E-5,1.3300383E-5,1.0,0.0,5.0877054E-5,5.7000456E-5,6.6999884E-5,1.1754272,1.0E-5,6.1925204E-4,6.9376966E-4,7.037627E-4,1.014404,1.0E-5,0.0061752927,0.0069170617,0.0069269924,1.0014358,1.0E-5
6.9,1.0500373E-5,1.1768154E-5,1.1768154E-5,1.0,0.0,4.5000823E-5,5.043402E-5,6.0433515E-5,1.1982689,1.0E-5,5.4774724E-4,6.1386987E-4,6.238637E-4,1.01628,1.0E-5,0.005463991,0.006122613,0.0061325515,1.0016233,1.0E-5
7.0,8.524332E-6,9.56377E-6,9.56377E-6,1.0,0.0,3.653234E-5,4.0986983E-5,5.0986575E-5,1.2439699,1.0E-5,4.4469046E-4,4.989096E-4,5.0890463E-4,1.0200337,1.0E-5,0.0044380166,0.004978632,0.0049885823,1.0019985,1.0E-5
7.1,6.006849E-6,6.732698E-6,6.732698E-6,1.0,0.0,2.5743384E-5,2.8854132E-5,3.8853843E-5,1.3465608,1.0E-5,3.1338062E-4,3.5124805E-4,3.612445E-4,1.0284599,1.0E-5,0.0031293905,0.0035074828,0.0035174477,1.002841,1.0E-5
7.2,2.9122193E-6,3.2565483E-6,3.2565483E-6,1.0,0.0,1.248088E-5,1.3956571E-5,2.395643E-5,1.7164984,1.0E-5,1.5194413E-4,1.6990976E-4,1.7990806E-4,1.0588448,1.0E-5,0.0015184027,0.0016979716,0.0017079547,1.0058794,1.0E-5
7.3,7.2194007E-7,8.011778E-7,8.011778E-7,1.0,0.0,3.0940253E-6,3.4336174E-6,3.4336174E-6,1.0,0.0,3.7669106E-5,4.1803953E-5,4.1803953E-5,1.0,0.0,3.766272E-4,4.1800615E-4,4.1800615E-4,1.0,0.0
7.4,3.112171E-8,3.209446E-8,3.209446E-8,1.0,0.0,1.3337875E-7,1.3754767E-7,1.3754767E-7,1.0,0.0,1.6238852E-6,1.6746417E-6,1.6746417E-6,1.0,0.0,1.6238733E-5,1.6746299E-5,1.6746299E-5,1.0,0.0
