Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.940016E-5,6.851161E-5,6.851161E-5,1.0,0.0,2.1169778E-4,2.93586E-4,3.0358305E-4,1.0340515,1.0E-5,0.002574374,0.0035683715,0.0035783357,1.0027924,1.0E-5,0.025447546,0.035092145,0.035101794,1.000275,1.0E-5
6.1,4.940016E-5,6.851161E-5,6.851161E-5,1.0,0.0,2.1169778E-4,2.93586E-4,3.0358305E-4,1.0340515,1.0E-5,0.002574374,0.0035683715,0.0035783357,1.0027924,1.0E-5,0.025447546,0.035092145,0.035101794,1.000275,1.0E-5
6.2,4.472471E-5,6.157515E-5,6.157515E-5,1.0,0.0,1.9166325E-4,2.6386444E-4,2.738618E-4,1.0378883,1.0E-5,0.0023310026,0.0032077094,0.0032176774,1.0031075,1.0E-5,0.02306703,0.031601414,0.0316111,1.0003065,1.0E-5
6.3,4.472471E-5,6.157515E-5,6.157515E-5,1.0,0.0,1.9166325E-4,2.6386444E-4,2.738618E-4,1.0378883,1.0E-5,0.0023310026,0.0032077094,0.0032176774,1.0031075,1.0E-5,0.02306703,0.031601414,0.0316111,1.0003065,1.0E-5
6.4,4.0001003E-5,5.4603024E-5,5.4603024E-5,1.0,0.0,1.714216E-4,2.3399114E-4,2.439888E-4,1.0427266,1.0E-5,0.0020850603,0.002845058,0.0028550294,1.0035049,1.0E-5,0.02065605,0.028078754,0.028088473,1.0003462,1.0E-5
6.5,3.8033053E-5,5.1735515E-5,5.1735515E-5,1.0,0.0,1.6298861E-4,2.217044E-4,2.3170219E-4,1.0450951,1.0E-5,0.0019825802,0.0026958797,0.0027058525,1.0036994,1.0E-5,0.019649856,0.026627,0.026636733,1.0003656,1.0E-5
6.6,3.653754E-5,4.957711E-5,4.957711E-5,1.0,0.0,1.5658008E-4,2.124563E-4,2.2245417E-4,1.0470585,1.0E-5,0.0019046954,0.0025835766,0.0025935506,1.0038606,1.0E-5,0.018884527,0.025532639,0.025542384,1.0003817,1.0E-5
6.7,3.372024E-5,4.5548593E-5,4.5548593E-5,1.0,0.0,1.4450731E-4,1.9519385E-4,1.9519385E-4,1.0,0.0,0.0017579567,0.0023739098,0.0023739098,1.0,0.0,0.017441148,0.023485329,0.023485329,1.0,0.0
6.8,2.9650024E-5,3.975838E-5,3.975838E-5,1.0,0.0,1.2706534E-4,1.7038191E-4,1.7038191E-4,1.0,0.0,0.0015459227,0.002072412,0.002072412,1.0,0.0,0.015352124,0.020527681,0.020527681,1.0,0.0
6.9,2.860775E-5,3.8139046E-5,3.8139046E-5,1.0,0.0,1.2259888E-4,1.6344283E-4,1.6344283E-4,1.0,0.0,0.0014916194,0.001988105,0.001988105,1.0,0.0,0.014816469,0.019702233,0.019702233,1.0,0.0
7.0,2.6696067E-5,3.5363497E-5,3.5363497E-5,1.0,0.0,1.144067E-4,1.5154907E-4,1.5154907E-4,1.0,0.0,0.0013920115,0.0018435564,0.0018435564,1.0,0.0,0.013833242,0.018282903,0.018282903,1.0,0.0
7.1,2.456087E-5,3.2275457E-5,3.2275457E-5,1.0,0.0,1.0525662E-4,1.383161E-4,1.383161E-4,1.0,0.0,0.001280746,0.0016827065,0.0016827065,1.0,0.0,0.012733897,0.016701076,0.016701076,1.0,0.0
7.2,2.295761E-5,3.006311E-5,3.006311E-5,1.0,0.0,9.8386045E-5,1.288356E-4,1.288356E-4,1.0,0.0,0.0011971919,0.0015674541,0.0015674541,1.0,0.0,0.011907627,0.015565611,0.015565611,1.0,0.0
7.3,2.1256936E-5,2.7758775E-5,2.7758775E-5,1.0,0.0,9.109797E-5,1.189608E-4,1.189608E-4,1.0,0.0,0.0011085535,0.0014473945,0.0014473945,1.0,0.0,0.011030397,0.014381103,0.014381103,1.0,0.0
7.4,1.8784336E-5,2.4496463E-5,2.4496463E-5,1.0,0.0,8.050181E-5,1.0498066E-4,1.0498066E-4,1.0,0.0,9.796688E-4,0.0012773979,0.0012773979,1.0,0.0,0.009753612,0.012701767,0.012701767,1.0,0.0
7.5,1.7248298E-5,2.2439013E-5,2.2439013E-5,1.0,0.0,7.391918E-5,9.61637E-5,9.61637E-5,1.0,0.0,8.9959445E-4,0.0011701718,0.0011701718,1.0,0.0,0.008959615,0.011641325,0.011641325,1.0,0.0
7.6,1.0653709E-5,1.38251135E-5,1.38251135E-5,1.0,0.0,4.5657955E-5,5.9249156E-5,5.9249156E-5,1.0,0.0,5.557438E-4,7.211225E-4,7.211225E-4,1.0,0.0,0.0055435603,0.007188361,0.007188361,1.0,0.0
7.7,3.286316E-6,4.116824E-6,4.116824E-6,1.0,0.0,1.4084137E-5,1.7643413E-5,1.7643413E-5,1.0,0.0,1.7146087E-4,2.1478753E-4,2.1478753E-4,1.0,0.0,0.0017132863,0.0021457728,0.0021457728,1.0,0.0
7.8,5.1855085E-7,5.999012E-7,5.999012E-7,1.0,0.0,2.222359E-6,2.5710028E-6,2.5710028E-6,1.0,0.0,2.7056883E-5,3.130152E-5,3.130152E-5,1.0,0.0,2.705359E-4,3.1296466E-4,3.1296466E-4,1.0,0.0
