Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.0396248E-5,4.498467E-5,4.498467E-5,1.0,0.0,1.7311527E-4,1.9277839E-4,2.0277647E-4,1.0518631,1.0E-5,0.002105641,0.002344762,0.0023547385,1.0042548,1.0E-5,0.020858008,0.023222106,0.023251409,1.0012618,3.0E-5
6.1,4.0396248E-5,4.498467E-5,4.498467E-5,1.0,0.0,1.7311527E-4,1.9277839E-4,2.0277647E-4,1.0518631,1.0E-5,0.002105641,0.002344762,0.0023547385,1.0042548,1.0E-5,0.020858008,0.023222106,0.023251409,1.0012618,3.0E-5
6.2,2.2295266E-5,2.4463236E-5,2.4463236E-5,1.0,0.0,9.554764E-5,1.048384E-4,1.048384E-4,1.0,0.0,0.0011626717,0.0012756911,0.0012756911,1.0,0.0,0.011566074,0.012686935,0.012706682,1.0015564,2.0E-5
6.3,1.572643E-5,1.7136823E-5,1.7136823E-5,1.0,0.0,6.7397246E-5,7.3441515E-5,7.3441515E-5,1.0,0.0,8.202525E-4,8.937942E-4,8.937942E-4,1.0,0.0,0.008172315,0.008903107,0.008922929,1.0022264,2.0E-5
6.4,1.5714395E-5,1.712464E-5,1.712464E-5,1.0,0.0,6.734567E-5,7.338931E-5,7.338931E-5,1.0,0.0,8.1962504E-4,8.9315913E-4,8.9315913E-4,1.0,0.0,0.008166086,0.008896807,0.008916629,1.002228,2.0E-5
6.5,1.2733495E-5,1.3832682E-5,1.3832682E-5,1.0,0.0,5.457098E-5,5.9281618E-5,5.9281618E-5,1.0,0.0,6.641992E-4,7.215214E-4,7.215214E-4,1.0,0.0,0.0066221743,0.007192485,0.007192485,1.0,0.0
6.6,1.0983784E-5,1.1912782E-5,1.1912782E-5,1.0,0.0,4.7072506E-5,5.105381E-5,5.105381E-5,1.0,0.0,5.7295704E-4,6.214082E-4,6.214082E-4,1.0,0.0,0.0057148207,0.006197258,0.006197258,1.0,0.0
6.7,9.104806E-6,9.860807E-6,9.860807E-6,1.0,0.0,3.902001E-5,4.225994E-5,4.225994E-5,1.0,0.0,4.7496508E-4,5.143972E-4,5.143972E-4,1.0,0.0,0.004739512,0.005132464,0.005132464,1.0,0.0
6.8,6.2162403E-6,6.71827E-6,6.71827E-6,1.0,0.0,2.6640759E-5,2.879228E-5,2.879228E-5,1.0,0.0,3.2430296E-4,3.5049187E-4,3.5049187E-4,1.0,0.0,0.003238301,0.0034996152,0.0034996152,1.0,0.0
6.9,4.1792696E-6,4.5126167E-6,4.5126167E-6,1.0,0.0,1.7911032E-5,1.9339652E-5,1.9339652E-5,1.0,0.0,2.1804498E-4,2.3543638E-4,2.3543638E-4,1.0,0.0,0.0021783116,0.0023520235,0.0023520235,1.0,0.0
7.0,2.7478413E-6,2.9684613E-6,2.9684613E-6,1.0,0.0,1.177641E-5,1.2721922E-5,1.2721922E-5,1.0,0.0,1.4336836E-4,1.5487964E-4,1.5487964E-4,1.0,0.0,0.001432759,0.00154784,0.00154784,1.0,0.0
7.1,8.128648E-7,8.74223E-7,8.74223E-7,1.0,0.0,3.4837017E-6,3.746668E-6,3.746668E-6,1.0,0.0,4.2413245E-5,4.5615332E-5,4.5615332E-5,1.0,0.0,4.2405148E-4,4.5611878E-4,4.5611878E-4,1.0,0.0
7.2,4.8641045E-8,4.942272E-8,4.942272E-8,1.0,0.0,2.084616E-7,2.1181165E-7,2.1181165E-7,1.0,0.0,2.538017E-6,2.5788038E-6,2.5788038E-6,1.0,0.0,2.537988E-5,2.5787751E-5,2.5787751E-5,1.0,0.0
7.3,5.3911844E-9,5.478111E-9,5.478111E-9,1.0,0.0,2.3105075E-8,2.3477618E-8,2.3477618E-8,1.0,0.0,2.8130427E-7,2.8583997E-7,2.8583997E-7,1.0,0.0,2.8130391E-6,2.8583975E-6,2.8583975E-6,1.0,0.0
