Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,38.45562,8.0,89.0,18.0,15.0,1.0,0.00256,13.44991
2.6,30.54471,6.0,71.0,14.0,12.0,0.99999,0.00256,10.68267
2.7,24.26594,4.0,57.0,11.0,9.0,0.99976,0.00256,8.48838
2.8,19.26109,3.0,46.0,9.0,7.0,0.99913,0.00256,6.73569
2.9,15.30447,2.0,37.0,7.0,6.0,0.9966,0.00256,5.35238
3.0,12.15527,1.0,30.0,6.0,4.0,0.98963,0.00256,4.24949
3.1,9.65146,0.0,24.0,4.0,3.0,0.97378,0.00256,3.37494
3.2,7.67452,0.0,20.0,3.0,2.0,0.94621,0.00256,2.68339
3.3,6.09332,0.0,16.0,3.0,2.0,0.90512,0.00256,2.13193
3.4,4.83823,0.0,13.0,2.0,1.0,0.85021,0.00256,1.69501
3.5,3.84336,0.0,11.0,2.0,1.0,0.78386,0.00256,1.34526
3.6,3.05168,0.0,9.0,1.0,0.0,0.70783,0.00256,1.06818
3.7,2.4248,0.0,7.0,1.0,0.0,0.62771,0.00256,0.84865
3.8,1.9239,0.0,6.0,1.0,0.0,0.54945,0.00256,0.67492
3.9,1.52901,0.0,5.0,0.0,0.0,0.47406,0.00256,0.5368
4.0,1.21437,0.0,5.0,0.0,0.0,0.40405,0.00256,0.42636
4.1,0.96355,0.0,4.0,0.0,0.0,0.34068,0.00256,0.33812
4.2,0.76409,0.0,3.0,0.0,0.0,0.28586,0.00256,0.26868
4.3,0.60527,0.0,3.0,0.0,0.0,0.23677,0.00256,0.21232
4.4,0.47957,0.0,2.0,0.0,0.0,0.19583,0.00256,0.16719
4.5,0.38147,0.0,2.0,0.0,0.0,0.16113,0.00256,0.13267
4.6,0.30163,0.0,2.0,0.0,0.0,0.13197,0.00256,0.10523
4.7,0.23982,0.0,2.0,0.0,0.0,0.10813,0.00256,0.0835
4.8,0.19012,0.0,1.0,0.0,0.0,0.0879,0.00256,0.06624
4.9,0.15023,0.0,1.0,0.0,0.0,0.07079,0.00256,0.05191
5.0,0.11913,0.0,1.0,0.0,0.0,0.05743,0.00256,0.04112
5.1,0.09396,0.0,1.0,0.0,0.0,0.04638,0.00256,0.03252
5.2,0.07438,0.0,1.0,0.0,0.0,0.03755,0.00256,0.02567
5.3,0.05886,0.0,1.0,0.0,0.0,0.03029,0.00256,0.02015
5.4,0.04565,0.0,0.0,0.0,0.0,0.02402,0.00256,0.0155
5.5,0.03566,0.0,0.0,0.0,0.0,0.01912,0.00256,0.01215
5.6,0.02817,0.0,0.0,0.0,0.0,0.01523,0.00256,0.00961
5.7,0.02173,0.0,0.0,0.0,0.0,0.01175,0.00256,0.00708
5.8,0.01674,0.0,0.0,0.0,0.0,0.00908,0.00256,0.00524
5.9,0.0125,0.0,0.0,0.0,0.0,0.00688,0.00238,0.00385
6.0,0.01011,0.0,0.0,0.0,0.0,0.00559,0.00237,0.00303
6.1,0.00754,0.0,0.0,0.0,0.0,0.00413,0.00179,0.00215
6.2,0.00612,0.0,0.0,0.0,0.0,0.00348,0.00177,0.00179
6.3,0.00503,0.0,0.0,0.0,0.0,0.0029,0.00174,0.00148
6.4,0.00362,0.0,0.0,0.0,0.0,0.0022,0.00148,0.00114
6.5,0.00299,0.0,0.0,0.0,0.0,0.00189,0.0014,9.8E-4
6.6,0.00219,0.0,0.0,0.0,0.0,0.00138,0.00113,7.6E-4
6.7,0.00185,0.0,0.0,0.0,0.0,0.00122,0.0011,6.9E-4
6.8,0.00168,0.0,0.0,0.0,0.0,0.00112,0.00107,6.2E-4
6.9,0.00129,0.0,0.0,0.0,0.0,9.2E-4,9.1E-4,5.2E-4
7.0,0.00115,0.0,0.0,0.0,0.0,8.4E-4,8.3E-4,4.7E-4
7.1,0.00102,0.0,0.0,0.0,0.0,7.8E-4,7.8E-4,4.3E-4
7.2,8.5E-4,0.0,0.0,0.0,0.0,6.6E-4,6.6E-4,3.8E-4
7.3,6.8E-4,0.0,0.0,0.0,0.0,5.5E-4,5.5E-4,3.2E-4
7.4,5.2E-4,0.0,0.0,0.0,0.0,4.8E-4,4.8E-4,2.6E-4
7.5,4.3E-4,0.0,0.0,0.0,0.0,3.9E-4,3.9E-4,1.9E-4
7.6,2.6E-4,0.0,0.0,0.0,0.0,2.5E-4,2.5E-4,1.2E-4
7.7,1.7E-4,0.0,0.0,0.0,0.0,1.6E-4,1.6E-4,6.0E-5
7.8,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,1.0E-5
7.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
