Magnitude,ComCat Data
0.0,153.0
0.1,153.0
0.2,153.0
0.3,153.0
0.4,153.0
0.5,153.0
0.6,153.0
0.7,153.0
0.8,153.0
0.9,153.0
1.0,151.0
1.1,151.0
1.2,150.0
1.3,149.0
1.4,142.0
1.5,132.0
1.6,117.0
1.7,96.0
1.8,84.0
1.9,65.0
2.0,55.0
2.1,48.0
2.2,41.0
2.3,38.0
2.4,32.0
2.5,29.0
2.6,24.0
2.7,21.0
2.8,17.0
2.9,13.0
3.0,12.0
3.1,9.0
3.2,8.0
3.3,6.0
3.4,5.0
3.5,5.0
3.6,4.0
3.7,3.0
3.8,3.0
3.9,2.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
