Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.8306974E-7,6.8833054E-7,6.8833054E-7,1.0,0.0,2.9274386E-6,2.9499854E-6,2.9499854E-6,1.0,0.0,3.564098E-5,3.5915575E-5,3.5915575E-5,1.0,0.0,3.5635266E-4,3.591071E-4,3.691035E-4,1.0278368,1.0E-5
6.1,6.8306974E-7,6.8833054E-7,6.8833054E-7,1.0,0.0,2.9274386E-6,2.9499854E-6,2.9499854E-6,1.0,0.0,3.564098E-5,3.5915575E-5,3.5915575E-5,1.0,0.0,3.5635266E-4,3.591071E-4,3.691035E-4,1.0278368,1.0E-5
6.2,6.8306974E-7,6.8833054E-7,6.8833054E-7,1.0,0.0,2.9274386E-6,2.9499854E-6,2.9499854E-6,1.0,0.0,3.564098E-5,3.5915575E-5,3.5915575E-5,1.0,0.0,3.5635266E-4,3.591071E-4,3.691035E-4,1.0278368,1.0E-5
6.3,4.227652E-7,4.2676848E-7,4.2676848E-7,1.0,0.0,1.8118495E-6,1.8290066E-6,1.8290066E-6,1.0,0.0,2.2059045E-5,2.2267946E-5,2.2267946E-5,1.0,0.0,2.2056856E-4,2.2265897E-4,2.3265675E-4,1.0449017,1.0E-5
6.4,4.227652E-7,4.2676848E-7,4.2676848E-7,1.0,0.0,1.8118495E-6,1.8290066E-6,1.8290066E-6,1.0,0.0,2.2059045E-5,2.2267946E-5,2.2267946E-5,1.0,0.0,2.2056856E-4,2.2265897E-4,2.3265675E-4,1.0449017,1.0E-5
6.5,3.1538403E-7,3.1894538E-7,3.1894538E-7,1.0,0.0,1.3516451E-6,1.3669081E-6,1.3669081E-6,1.0,0.0,1.6456155E-5,1.6641983E-5,1.6641983E-5,1.0,0.0,1.6454936E-4,1.6640776E-4,1.764061E-4,1.0600834,1.0E-5
6.6,3.1538403E-7,3.1894538E-7,3.1894538E-7,1.0,0.0,1.3516451E-6,1.3669081E-6,1.3669081E-6,1.0,0.0,1.6456155E-5,1.6641983E-5,1.6641983E-5,1.0,0.0,1.6454936E-4,1.6640776E-4,1.764061E-4,1.0600834,1.0E-5
6.7,3.1538403E-7,3.1894538E-7,3.1894538E-7,1.0,0.0,1.3516451E-6,1.3669081E-6,1.3669081E-6,1.0,0.0,1.6456155E-5,1.6641983E-5,1.6641983E-5,1.0,0.0,1.6454936E-4,1.6640776E-4,1.764061E-4,1.0600834,1.0E-5
6.8,3.1538403E-7,3.1894538E-7,3.1894538E-7,1.0,0.0,1.3516451E-6,1.3669081E-6,1.3669081E-6,1.0,0.0,1.6456155E-5,1.6641983E-5,1.6641983E-5,1.0,0.0,1.6454936E-4,1.6640776E-4,1.764061E-4,1.0600834,1.0E-5
6.9,3.0402092E-7,3.0749567E-7,3.0749567E-7,1.0,0.0,1.3029462E-6,1.3178379E-6,1.3178379E-6,1.0,0.0,1.5863254E-5,1.6044562E-5,1.6044562E-5,1.0,0.0,1.5862122E-4,1.6043443E-4,1.7043282E-4,1.0623207,1.0E-5
7.0,2.3673063E-7,2.3952163E-7,2.3952163E-7,1.0,0.0,1.0145594E-6,1.0265209E-6,1.0265209E-6,1.0,0.0,1.235219E-5,1.2497823E-5,1.2497823E-5,1.0,0.0,1.2351504E-4,1.2497148E-4,1.2497148E-4,1.0,0.0
7.1,1.632138E-7,1.6520103E-7,1.6520103E-7,1.0,0.0,6.9948754E-7,7.080042E-7,7.080042E-7,1.0,0.0,8.516227E-6,8.619919E-6,8.619919E-6,1.0,0.0,8.5159016E-5,8.619602E-5,8.619602E-5,1.0,0.0
7.2,1.1523723E-7,1.1661028E-7,1.1661028E-7,1.0,0.0,4.9387376E-7,4.9975824E-7,4.9975824E-7,1.0,0.0,6.0128964E-6,6.084541E-6,6.084541E-6,1.0,0.0,6.0127335E-5,6.084385E-5,6.084385E-5,1.0,0.0
