Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.1704893E-6,4.266801E-6,4.266801E-6,1.0,0.0,1.7873403E-5,1.8286164E-5,1.8286164E-5,1.0,0.0,2.1758694E-4,2.226115E-4,2.3260928E-4,1.0449113,1.0E-5,0.0021737402,0.002223906,0.0022638172,1.0179464,4.0E-5
6.1,4.1704893E-6,4.266801E-6,4.266801E-6,1.0,0.0,1.7873403E-5,1.8286164E-5,1.8286164E-5,1.0,0.0,2.1758694E-4,2.226115E-4,2.3260928E-4,1.0449113,1.0E-5,0.0021737402,0.002223906,0.0022638172,1.0179464,4.0E-5
6.2,3.457312E-6,3.5409828E-6,3.5409828E-6,1.0,0.0,1.4816967E-5,1.5175553E-5,1.5175553E-5,1.0,0.0,1.8038164E-4,1.8474678E-4,1.9474493E-4,1.0541182,1.0E-5,0.001802353,0.0018459414,0.0018858676,1.0216292,4.0E-5
6.3,3.457312E-6,3.5409828E-6,3.5409828E-6,1.0,0.0,1.4816967E-5,1.5175553E-5,1.5175553E-5,1.0,0.0,1.8038164E-4,1.8474678E-4,1.9474493E-4,1.0541182,1.0E-5,0.001802353,0.0018459414,0.0018858676,1.0216292,4.0E-5
6.4,3.0957337E-6,3.173006E-6,3.173006E-6,1.0,0.0,1.3267363E-5,1.35985265E-5,1.35985265E-5,1.0,0.0,1.6151817E-4,1.6554953E-4,1.7554789E-4,1.0603949,1.0E-5,0.0016140083,0.0016542682,0.0016942021,1.0241399,4.0E-5
6.5,3.0957337E-6,3.173006E-6,3.173006E-6,1.0,0.0,1.3267363E-5,1.35985265E-5,1.35985265E-5,1.0,0.0,1.6151817E-4,1.6554953E-4,1.7554789E-4,1.0603949,1.0E-5,0.0016140083,0.0016542682,0.0016942021,1.0241399,4.0E-5
6.6,2.9459152E-6,3.0202727E-6,3.0202727E-6,1.0,0.0,1.262529E-5,1.2943962E-5,1.2943962E-5,1.0,0.0,1.5370206E-4,1.575814E-4,1.6757981E-4,1.0634493,1.0E-5,0.0015359579,0.0015747021,0.0016146392,1.0253617,4.0E-5
6.7,2.8634809E-6,2.9361215E-6,2.9361215E-6,1.0,0.0,1.2272003E-5,1.2583318E-5,1.2583318E-5,1.0,0.0,1.4940138E-4,1.5319117E-4,1.6318963E-4,1.0652679,1.0E-5,0.0014930099,0.0015308611,0.0015707999,1.0260891,4.0E-5
6.8,2.7999822E-6,2.8712052E-6,2.8712052E-6,1.0,0.0,1.1999869E-5,1.2305108E-5,1.2305108E-5,1.0,0.0,1.460886E-4,1.4980443E-4,1.5980293E-4,1.0667437,1.0E-5,0.001459926,0.0014970398,0.0015369799,1.0266794,4.0E-5
6.9,2.551052E-6,2.6153762E-6,2.6153762E-6,1.0,0.0,1.0933034E-5,1.1208707E-5,1.1208707E-5,1.0,0.0,1.3310155E-4,1.364575E-4,1.4645614E-4,1.073273,1.0E-5,0.0013302186,0.0013637412,0.0014036866,1.029291,4.0E-5
