Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.1,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.2,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.3,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.4,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.5,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.6,2.2156251E-5,2.4152792E-5,2.4152792E-5,1.0,0.0,9.495191E-5,1.03508464E-4,1.1350743E-4,1.0966004,1.0E-5,0.0011554264,0.0012595941,0.0012695815,1.0079291,1.0E-5,0.011494373,0.0125351995,0.012554948,1.0015755,2.0E-5
6.7,1.0601296E-5,1.1403803E-5,1.1403803E-5,1.0,0.0,4.5433335E-5,4.8872556E-5,4.8872556E-5,1.0,0.0,5.5301044E-4,5.948658E-4,5.948658E-4,1.0,0.0,0.005516363,0.0059332396,0.00594318,1.0016754,1.0E-5
6.8,1.0246747E-5,1.1020052E-5,1.1020052E-5,1.0,0.0,4.391389E-5,4.7227968E-5,4.7227968E-5,1.0,0.0,5.345204E-4,5.748536E-4,5.748536E-4,1.0,0.0,0.0053323656,0.0057341587,0.0057441015,1.0017339,1.0E-5
6.9,9.049551E-6,9.719927E-6,9.719927E-6,1.0,0.0,3.878322E-5,4.165619E-5,4.165619E-5,1.0,0.0,4.7208337E-4,5.070502E-4,5.070502E-4,1.0,0.0,0.0047108172,0.005059352,0.0050693015,1.0019666,1.0E-5
